Time,Block,NR/2023/16191/A,NR/2023/16888/D,NR/2023/13636/A,NR/2023/13385/A,NR/2023/13383/A,NR/2023/16437/F,NR/2023/16185/A,NR/2023/13242/A,NR/2023/16968/C,NR/2023/16962/C,NR/2023/13148/A,NR/2023/16865/F,NR/2023/13376/A,NR/2023/16291/F,NR/2023/15770/A,NR/2023/13253/A,NR/2023/16073/A,NR/2023/16954/D,NR/2023/16967/C,NR/2023/16889/D,NR/2023/16971/C,NR/2023/16520/F,ER/2023/10768/C,NR/2023/13908/A,NR/2023/13519/A,NR/2023/13165/A,NR/2023/13254/A,NR/2023/13150/A,ER/2023/10784/C,NR/2023/13387/A,NR/2023/16077/A,NR/2023/16291/F/II,Total
,,MANIKARAN,IEXL,NVVNL,NVVNL,APPCPL,NVVNL,MANIKARAN,APPCPL,SJVNL,GBHHPL,KEIPL,SJVNL,APPCPL,ITCLH,NVVNL,APPCPL,APPCPL,NVVNL,SJVNL,IEXL,TPDDL,IEXL,HPXL,TPTCL,STATKRAFT,GMRETL,APPCPL,KEIPL,IEXL,NVVNL,APPCPL,ITCLH,Total

,,HIMACHAL PRADESH,TAMIL NADU,NA,MP,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,SIKKIM,NA,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,MEGHALAYA,ANDHRA PRADESH,NA,UTTARAKHAND,GOA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,UTTAR PRADESH,DELHI,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,MEGHALAYA,DELHI,NA,HIMACHAL PRADESH,ANDHRA PRADESH,
,,HP,OPGPGPLU4TN,KAMENG,JP BINA,HP,KAMENG,HP,SIKKIM,RSRPL_BKN,GBHHPL,Meghalaya_Ben,BCMLB001,Meghalaya_Ben,ITCWIND,SKS Raigarh,UTTARAKHAND,GOA_Beneficiary,SOLAPUR_SOLAR,SORANG_HEP,OPGPGUNIT1TN,CHANJUII,PPGCL,BYPL,JPL,HP,Meghalaya_Ben,Meghalaya_Ben,Meghalaya_Ben,BYPL,JPNIGRIE_JNSTPP,HP,ITCWIND,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,BRPL,BYPL,TPDDL,BRPL,BYPL,NDMC,DIAPL,BYPL,NDMC,BYPL,ITCLH,NDMC,BYPL,BRPL,MES (Delhi),NDMC,BRPL,TPDDL,BRPL,VLSEZ,BRPL,BYPL,BYPL,BYPL,BYPL,IPCL_WB,BRPL,BRPL,ITCLH,
,,North-North,South-East-North,North East-East-North,West-North,North-North,North East-East-North,North-North,East-North,North-North,North-North,North East-East-North,North-North,North East-East-North,South-East-North,West-North,North-North,West-North,West-North,North-North,South-East-North,North-North,North-North,North-East,West-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-East,West-North,North-North,South-West-North,
1,00:00-00:15,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.060000,63.060000,48.510000,24.260000,0,0.000000,4.850000,10.000000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.810000,1478.19

2,00:15-00:30,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.060000,63.060000,48.510000,24.260000,0,0.000000,4.850000,10.000000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.810000,1478.19

3,00:30-00:45,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.060000,63.060000,48.510000,24.260000,0,0.000000,4.850000,10.000000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.810000,1478.19

4,00:45-01:00,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.060000,63.060000,48.510000,24.260000,0,0.000000,4.850000,10.000000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.810000,1478.19

5,01:00-01:15,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.160000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.910000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.470000,1477.86

6,01:15-01:30,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.160000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.910000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.470000,1477.86

7,01:30-01:45,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.160000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.910000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.470000,1477.86

8,01:45-02:00,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.160000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.910000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.470000,1477.86

9,02:00-02:15,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.820000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.630000,1477.77

10,02:15-02:30,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.820000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.630000,1477.77

11,02:30-02:45,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.820000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.630000,1477.77

12,02:45-03:00,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,36.610000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.820000,0.000000,120.000000,175.680000,58.640000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.630000,1477.77

13,03:00-03:15,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.720000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.630000,1382.42

14,03:15-03:30,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.720000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.630000,1382.42

15,03:30-03:45,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.720000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.630000,1382.42

16,03:45-04:00,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.720000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.630000,1382.42

17,04:00-04:15,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.630000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.580000,1382.28

18,04:15-04:30,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.630000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.580000,1382.28

19,04:30-04:45,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.630000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.580000,1382.28

20,04:45-05:00,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,29.690000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.630000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.580000,1382.28

21,05:00-05:15,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,0.000000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.540000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.580000,1352.5

22,05:15-05:30,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,0.000000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.540000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.580000,1352.5

23,05:30-05:45,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,0.000000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.540000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.580000,1352.5

24,05:45-06:00,142.620000,67.910000,19.230000,30.720000,46.280000,148.580000,77.620000,0.000000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.540000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,107.980000,0.580000,1352.5

25,06:00-06:15,142.620000,67.910000,19.230000,30.720000,0.000000,148.580000,77.620000,0.000000,0,3.030000,0.000000,0.000000,20.370000,0.000000,63.060000,48.510000,24.260000,0,0.000000,4.850000,9.450000,0.000000,120.000000,175.680000,0.000000,22.310000,19.690000,63.260000,36.000000,100.420000,0.000000,0.680000,1198.25

