Block,Time,JHAJJAR,KGSU1AND2,NLCEXP,NLCTS2EXP,RAPPB,VALLURNTECL,ANTA_RF,KHSTPP-I,KOLDAM,NJPC,RSTPSU1TO6,TEHRI,UNCHAHAR3,URI,ANTA_LF,AURY_CRF,AURY_LF,BRBCL,MAPS,NLCIIST1,UNCHAHAR2,BSIUL,KGSU3AND4,KISHANGANGA,KKNPPU2,KOTESHWR,KUDGI,NLCIIST2,SALAL,TALST2,UNCHAHAR1,URI2,DADRI_LF,CHAMERA2,FSTPP I & II,KKNP,RAMPUR,RAPPC,TANDA2,AURY_GF,DADRI_GF,CHAMERA1,CHAMERA3,NAPP,PARBATI3,RIHAND1,SASAN,SEWA2,TANAKPUR,TelanganaSTPP,DULHASTI,NNTPP,RIHAND3,RSTPSU7,SIMHST2,TALA,ANTA_GF,AURY_RF,DADRT2,DHAULIGNGA,KHSTPP-II,NTPL,RIHAND2,SIMHST1,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR4,ANTA_CRF,DADRI_CRF,DADRI_RF
1,00:00-00:15,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,5.76,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

2,00:15-00:30,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,5.76,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

3,00:30-00:45,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,5.76,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

4,00:45-01:00,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,5.76,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

5,01:00-01:15,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,5.76,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

6,01:15-01:30,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,5.76,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

7,01:30-01:45,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

8,01:45-02:00,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

9,02:00-02:15,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

10,02:15-02:30,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

11,02:30-02:45,654.3,0,0,0,0,0,44.83,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

12,02:45-03:00,654.3,0,0,0,0,0,45.05,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

13,03:00-03:15,654.3,0,0,0,0,0,45.05,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

14,03:15-03:30,654.3,0,0,0,0,0,45.05,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

15,03:30-03:45,654.3,0,0,0,0,0,45.05,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

16,03:45-04:00,654.3,0,0,0,0,0,45.05,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

17,04:00-04:15,654.3,0,0,0,0,0,45.05,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,9.29,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

18,04:15-04:30,654.3,0,0,0,0,0,45.05,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,41.83,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

19,04:30-04:45,654.3,0,0,0,0,0,45.25,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,41.83,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

20,04:45-05:00,654.3,0,0,0,0,0,45.25,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,41.83,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

21,05:00-05:15,654.3,0,0,0,0,0,45.25,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,41.83,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

22,05:15-05:30,654.3,0,0,0,0,0,45.25,33.69,0,0,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,41.83,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

23,05:30-05:45,654.3,0,0,0,0,0,45.25,33.69,0,21.31,0,0,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,41.83,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,0,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

24,05:45-06:00,654.3,0,0,0,0,0,45.25,33.69,0,46.79,0,15.56,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,9.29,0,10.27,4.31,23.57,0,19.73,0,0,26.39,0,0,0,0,9.67,44.11,0,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

25,06:00-06:15,654.3,0,0,0,0,0,45.25,33.69,0,70.17,0,15.56,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,3.73,19.73,0,0,26.39,0,0,0,0,9.67,44.11,3.82,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,0,148.3,0,118.75,0,125.96,0,0,0,0,69.38

26,06:15-06:30,654.3,0,0,0,0,0,45.47,33.69,0,93.56,0,31.12,26.39,1.11,0,0,0,20,0,0,42.39,0,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,13.17,19.73,0,0,26.39,0,0,0,0,9.67,44.11,16.55,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,7.92,148.3,0,118.75,0,125.96,0,0,0,0,69.38

27,06:30-06:45,624.3,0,0,0,0,0,45.47,33.69,0,93.56,0,46.68,26.39,1.11,0,0,0,20,0,0,42.39,1.1,0,0,0,8.88,0,0,1.4,0,10.27,4.31,23.57,13.17,19.73,0,0,26.39,0,0,0,12.01,9.67,44.11,16.55,92,279.18,0,0,0,16.48,0,124.32,0,0,0,0,71.46,683.14,10.57,148.3,0,118.75,0,125.96,0,0,0,0,69.38

28,06:45-07:00,594.3,0,0,0,0,0,45.47,33.69,0,93.56,0,62.24,26.39,1.11,0,0,0,20,0,0,42.39,13.04,0,0,0,9.86,0,0,1.4,0,10.27,4.31,23.57,26.34,19.73,0,0,26.39,0,0,0,12.25,19.38,44.11,16.55,92,279.18,0,0,0,32.95,0,124.32,0,0,0,0,71.46,683.14,16.59,148.3,0,118.75,0,125.96,0,0,0,0,69.38

29,07:00-07:15,594.3,0,0,0,0,0,45.47,33.69,0,93.56,0,62.24,26.39,1.11,0,0,0,20,0,0,42.39,13.04,0,0,0,9.86,0,0,1.4,0,10.27,4.31,23.57,26.34,19.73,0,0,26.39,0,0,0,28.1,19.38,44.11,16.55,92,279.18,7.9,5.76,0,32.95,0,124.32,0,0,0,0,71.46,682.79,19.81,148.3,0,118.75,0,125.96,0,0,0,0,69.38

