Time,Block,NR/2023/15380/C,NR/2023/11954/A,NR/2023/13573/A,NR/2023/11315/A,NR/2023/14187/F,NR/2023/13284/A,NR/2023/14688/F,NR/2023/13858/A,NR/2023/11328/A,NR/2023/15384/C,NR/2023/11654/A,NR/2023/13859/A,NR/2023/13983/F,NR/2023/11470/A,NR/2023/15377/C,NR/2023/12646/A,NR/2023/13983/F/II,NR/2023/15375/D,NR/2023/11739/A,NR/2023/11325/A,NR/2023/15381/C,NR/2023/11203/A,NR/2023/11458/A,NR/2023/15370/D,NR/2023/14688/F/II,NR/2023/15383/C,NR/2023/15376/D,NR/2023/15388/C,NR/2023/11697/A,NR/2023/13283/A,NR/2023/11469/A,ER/2023/9493/C,Total
,,SJVNL,KEIPL,NVVNL,GMRETL,GBHHPL,APPCPL,GMRETL,MANIKARAN,APPCPL,HPXL,TPTCL,MANIKARAN,ITCLH,NVVNL,GBHHPL,MANIKARAN,ITCLH,KEIPL,NVVNL,APPCPL,SJVNL,KEIPL,STATKRAFT,NVVNL,GMRETL,IEXL,NVVNL,TPDDL,APPCPL,APPCPL,NVVNL,HPXL,Total

,,UTTAR PRADESH,MEGHALAYA,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,UTTARAKHAND,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,ANDHRA PRADESH,MAHARASHTRA,MP,MEGHALAYA,NA,MEGHALAYA,TAMIL NADU,NA,GOA,KARNATAKA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,GOA,NA,DELHI,
,,BCMLB001,Meghalaya_Ben,SKS Raigarh,Meghalaya_Ben,GBHHPL,HP,GOA_Beneficiary,HP,UTTARAKHAND,Teesta_III,JPL-2,HP,ITCWIND,KAMENG,GBHHPL,TANGEDCO,ITCWIND,LMEL MSEB,JP BINA,Meghalaya_Ben,DIKCHU,Meghalaya_Ben,TANGEDCO,KAMENG,GOA_Beneficiary,NSLSUGAR,SOLAPUR_SOLAR,CHANJUII,HP,GOA_Beneficiary,JPNIGRIE_JNSTPP,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,
,,NDMC,BYPL,NDMC,BYPL,DIAPL,BRPL,TPDDL,BRPL,BYPL,BRPL,BRPL,BRPL,ITCLH,BRPL,DIAPL,BRPL,ITCLH,BYPL,BRPL,BYPL,NDMC,BYPL,BYPL,TPDDL,TPDDL,MES (Delhi),MES (Delhi),TPDDL,BYPL,BRPL,BRPL,VLSEZ,
,,North-North,North East-East-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,East-North,West-North,North-North,South-East-North,North East-East-North,North-North,South-West-North,South-West-North,West-North,West-North,North East-East-North,East-North,North East-East-North,South-West-North,North East-East-North,West-East-North,South-East-North,West-North,North-North,North-North,West-North,West-North,North-East,
1,00:00-00:15,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,240.660000,152.710000,188.470000,0.240000,21.250000,1.010000,23.130000,0.630000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1601.2

2,00:15-00:30,0.000000,36.470000,62.820000,22.230000,3.870000,81.860000,0.000000,84.570000,48.320000,177.840000,152.710000,188.470000,0.240000,21.250000,0.000000,23.130000,0.630000,18.360000,42.520000,24.160000,0.000000,63.060000,98.580000,193.300000,24.160000,6.770000,0,17.780000,35.080000,24.160000,85.030000,0.000000,1537.37
