Block,Time,KHSTPP-II,MAPS,NLCIIST1,NLCIIST2,PARBATI3,RIHAND3,SASAN,SEWA2,SIMHST1,SINGRAULI,ANTA_LF,ANTA_RF,CHAMERA1,KGSU3AND4,NLCEXP,NLCTS2EXP,NNTPP,RAPPC,ANTA_CRF,AURY_GF,FSTPP I & II,KKNP,NJPC,SIMHST2,TANAKPUR,AURY_LF,DADRI_GF,KHSTPP-I,NTPL,RAPPB,SALAL,TALA,TALST2,UNCHAHAR2,URI2,AURY_CRF,DADRI_CRF,BRBCL,BSIUL,CHAMERA2,KGSU1AND2,KOLDAM,RIHAND1,RIHAND2,RSTPSU7,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,AURY_RF,DADRI_LF,CHAMERA3,JHAJJAR,KKNPPU2,KOTESHWR,KUDGI,NAPP,PARBATI2,SINGRAULI_HYDRO,UNCHAHAR4,DADRT2,KISHANGANGA,RAPPD,RSTPSU1TO6,TANDA2,URI,DHAULIGNGA,DULHASTI,RAMPUR,TEHRI,TEHRIPSP,UNCHAHAR3,ANTA_GF,DADRI_RF
1,00:00-00:15,49.43,0,0,0,32.71,130.84,416.25,18.34,0,98.76,0,52.09,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.11,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,99.69,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.04,6.97,39.97,0,5.73,28.71,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

2,00:15-00:30,49.43,0,0,0,32.71,130.84,416.25,18.34,0,98.76,0,52.09,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.11,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,106.34,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.39,6.97,39.97,0,5.73,28.71,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

3,00:30-00:45,49.43,0,0,0,32.71,130.84,416.25,18.34,0,98.76,0,52.09,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.23,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,112.98,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.39,6.97,39.97,0,5.73,30.91,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

4,00:45-01:00,49.43,0,0,0,32.71,130.84,416.25,18.34,0,98.76,0,52.09,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.25,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,119.63,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.39,6.97,39.97,0,5.73,30.91,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

5,01:00-01:15,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.34,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.37,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.39,6.97,39.97,0,5.73,30.91,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

6,01:15-01:30,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.34,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.4,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.39,6.97,39.97,0,5.73,30.91,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

7,01:30-01:45,49.43,0,0,0,33.46,130.84,416.25,18.34,0,98.76,0,52.34,42.15,0,0,0,0,65.43,0,0,20.3,0,175.8,0,13.11,0,0,45.53,0,0,84.83,24.44,0,44.52,37.41,0,0,24.99,19.56,47.12,0,8.63,48.09,125.27,0,0,21.65,0,82.48,0,33.95,652.48,0,45.08,0,24.36,38.71,0,2.94,689.39,4.65,39.97,0,5.73,28.71,42.46,38.32,5.68,76.19,192.57,27.38,0,106.06

