Block,Time,LT-59,LT-36,L_NR_2022_08,L_NR_2021_12,L_NR_2012_07,LT-31,L_NR_2021_17,L_NR_2021_13,LT-05,L_NR_2012_04,L_NR_2019_07,L_NR_2019_05,L_NR_2012_02,L_NR_2023_07,L_NR_2018_61,SH-07,L_NR_2019_11,L_NR_2019_06,L_NR_2021_16,SH-06,L_NR_2022_10,L_NR_2020_06,L_NR_2020_07,L_NR_2021_14,L_NR_2020_02,L_NR_2023_10,L_NR_2020_05,L_NR_2023_04,LT-35,L_NR_2021_15,L_NR_2019_19,L_NR_2022_09,L_NR_2012_01
1,00:00-00:15,0.000000,0.000000,32.61,0,74.170000,0.000000,0,0,116.090000,272.050000,0,0,223.450000,0,22.72,30.950000,0.000000,0,0,30.950000,81.67,38.33,38.34,0,9.020000,0,115,28.690000,0.000000,0,0,81.67,101.320000

2,00:15-00:30,0.000000,0.000000,32.34,0,74.170000,0.000000,0,0,116.090000,272.050000,0,0,223.450000,0,22.33,30.950000,0.000000,0,0,30.950000,81.67,38.33,38.34,0,9.020000,0,115,28.690000,0.000000,0,0,81.67,101.320000

3,00:30-00:45,0.000000,0.000000,33.11,0,74.170000,0.000000,0,0,116.090000,272.050000,0,0,223.450000,0,23.8,42.510000,0.000000,0,0,42.510000,80,38.33,38.34,0,9.020000,0,115,28.690000,0.000000,0,0,80,101.320000

4,00:45-01:00,0.000000,0.000000,32.53,0,74.170000,0.000000,0,0,116.090000,272.050000,0,0,223.450000,0,23.42,42.510000,0.000000,0,0,42.510000,80,38.33,38.34,0,9.020000,0,115,28.690000,0.000000,0,0,80,101.320000

5,01:00-01:15,10.350000,0.000000,35.1,0,74.170000,0.000000,0,0,116.090000,272.050000,0,0,223.450000,0,23.02,42.510000,10.780000,0,0,42.510000,80,38.33,38.34,0,8.880000,0,115,28.690000,0.000000,0,0,80,101.320000

6,01:15-01:30,10.350000,0.000000,36.07,0,74.170000,0.000000,0,0,116.090000,272.050000,0,0,223.450000,0,22.69,42.510000,10.780000,0,0,42.510000,80,38.33,38.34,0,8.880000,0,115,28.690000,0.000000,0,0,80,101.320000

7,01:30-01:45,10.350000,0.000000,36.44,0,56.100000,0.000000,0,0,116.090000,272.050000,0,0,134.150000,0,21.74,42.510000,10.780000,0,0,42.510000,74,38.33,38.34,0,8.880000,0,115,28.690000,0.000000,0,0,74,101.320000

8,01:45-02:00,10.350000,0.000000,38.13,0,56.100000,0.000000,0,0,116.090000,272.050000,0,0,134.150000,0,29.66,42.510000,10.780000,0,0,42.510000,74,38.33,38.34,0,8.880000,0,115,28.690000,0.000000,0,0,74,101.320000

9,02:00-02:15,10.350000,0.000000,40,0,56.100000,0.000000,0,0,116.090000,272.050000,0,0,134.150000,0,29.59,42.510000,10.780000,0,0,42.510000,74,38.33,38.34,0,8.740000,0,115,28.690000,0.000000,0,0,74,101.320000

10,02:15-02:30,10.350000,0.000000,40,0,56.100000,0.000000,0,0,116.090000,272.050000,0,0,134.150000,0,29.24,42.510000,10.780000,0,0,42.510000,74,38.33,38.34,0,8.740000,0,115,28.690000,0.000000,0,0,74,101.320000

11,02:30-02:45,10.350000,0.000000,40,0,56.100000,0.000000,0,0,116.090000,272.050000,0,0,161.210000,0,29.11,30.950000,10.780000,0,0,30.950000,74,38.33,38.34,0,8.740000,0,115,28.690000,0.000000,0,0,74,101.320000

12,02:45-03:00,10.350000,0.000000,40,0,56.100000,0.000000,0,0,116.090000,272.050000,0,0,161.210000,0,28.57,30.950000,10.780000,0,0,30.950000,76.67,38.33,38.34,0,8.740000,0,115,28.690000,0.000000,0,0,76.67,101.320000

13,03:00-03:15,10.350000,0.000000,40,0,56.100000,0.000000,0,0,116.090000,272.050000,0,0,161.210000,0,28.05,30.950000,10.780000,0,0,30.950000,79.33,38.33,38.34,0,8.610000,0,115,28.690000,0.000000,0,0,79.33,101.320000

