Block,Time,AURY_CRF,DHAULIGNGA,SINGRAULI_HYDRO,RAPPC,DADRT2,RIHAND2,DADRI_CRF,UNCHAHAR4,KISHANGANGA,SALAL,TANDA2,RIHAND1,AURY_GF,UNCHAHAR1,ANTA_LF,PARBATI3,CHAMERA2,AURY_RF,NJPC,KOTESHWR,TEHRI,RAMPUR,DADRI_LF,UNCHAHAR2,DADRI_GF,UNCHAHAR3,NAPP,CHAMERA3,RIHAND3,URI2,JHAJJAR,RAPPB,TANAKPUR,AURY_LF,ANTA_CRF,SINGRAULI,DULHASTI,BSIUL,SEWA2,DADRI_RF,KOLDAM,ANTA_GF,CHAMERA1,URI,ANTA_RF,KHSTPP-I,TALA,KHSTPP-II,BRBCL,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.647455,52.152728,411.091040,96.255180,0.000000,0.000000,0.000000,12.360194,0.000000,88.964000,0.000000,8.356524,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,30.729036,0.000000,19.388834,41.103689,0.000000,119.584659,31.479563,349.087000,0.000000,0.000000,0.000000,0.000000,134.712770,0.000000,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,39.500016,0.000000,40.241125,0.000000,126.725253,18.946652,15.089648,404.948669,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.647455,52.152728,411.091040,96.255180,0.000000,0.000000,0.000000,12.360194,0.000000,88.964000,0.000000,8.356524,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,30.729036,0.000000,19.388834,41.103689,0.000000,119.584659,31.479563,349.087000,0.000000,5.698144,0.000000,0.000000,134.712770,0.000000,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,39.500016,0.000000,40.241125,0.000000,126.725253,19.328946,15.089648,404.950590,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.647455,52.152728,362.741040,96.255180,0.000000,0.000000,0.000000,12.360194,0.000000,88.964000,0.000000,6.623950,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,30.729036,0.000000,14.949820,41.103689,0.000000,119.584659,31.479563,347.385080,0.000000,5.698144,0.000000,0.000000,134.712770,15.935050,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,33.094608,0.000000,40.241125,0.000000,126.725253,17.580880,15.089648,404.950590,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.647455,52.152728,362.741040,96.255180,0.000000,0.000000,0.000000,12.360194,0.000000,88.964000,0.000000,6.623950,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,30.729036,0.000000,14.949820,41.103689,0.000000,119.584659,31.479563,347.385080,0.000000,5.698144,0.000000,0.000000,134.712770,15.935050,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,33.094608,0.000000,40.241125,0.000000,126.725253,15.318375,15.089648,404.950590,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.647455,52.152728,362.741040,96.255180,0.000000,0.000000,0.000000,24.720388,0.000000,88.964000,0.000000,6.623950,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,23.362720,0.000000,14.949820,41.103689,0.000000,119.584659,31.479563,347.385080,0.000000,5.698144,0.000000,0.000000,134.712770,15.935050,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,33.094608,0.000000,33.824596,0.000000,132.731290,14.872328,11.604000,404.950590,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.647455,52.152728,362.741040,96.255180,0.000000,0.000000,0.000000,76.756805,0.000000,88.964000,0.000000,6.623950,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,23.362720,0.000000,14.949820,41.103689,0.000000,119.584659,31.479563,347.385080,0.000000,5.698144,0.000000,0.000000,134.712770,15.935050,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,33.094608,0.000000,33.824596,0.000000,132.731290,14.146027,11.604000,404.950590,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.647455,52.152728,362.741040,96.255180,0.000000,0.000000,0.000000,76.756805,0.000000,88.964000,0.000000,6.623950,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,23.362720,0.000000,14.949820,41.103689,0.000000,119.584659,31.479563,347.385080,0.000000,6.441380,0.000000,0.000000,134.712770,15.935050,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,33.094608,0.000000,33.824596,0.000000,127.896290,14.908431,11.604000,404.950590,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.647455,52.152728,362.741040,96.255180,0.000000,0.000000,0.000000,76.756805,0.000000,88.964000,0.000000,6.623950,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,23.362720,0.000000,14.949820,41.103689,0.000000,119.584659,31.479563,347.385080,0.000000,0.000000,0.000000,0.000000,134.712770,15.935050,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,33.094608,0.000000,33.824596,0.000000,122.964590,13.991126,11.604000,404.950590,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,0.647455,52.152728,362.741040,96.255180,0.000000,0.000000,0.000000,76.756805,0.000000,88.964000,0.000000,6.623950,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,23.362720,0.000000,14.949820,41.103689,0.000000,119.584659,31.479563,347.385080,0.000000,0.000000,0.000000,0.000000,134.712770,15.935050,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,33.094608,0.000000,38.674682,0.000000,122.964590,15.899052,11.604000,404.950590,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,0.647455,52.152728,362.741040,96.255180,0.000000,0.000000,0.000000,24.720388,0.000000,88.964000,0.000000,6.623950,0.000000,0.000000,0.000000,0.000000,0.000000,8.581158,0.000000,0.000000,0.000000,23.362720,0.000000,14.949820,41.103689,0.000000,119.584659,31.479563,347.385080,0.000000,0.000000,0.000000,0.000000,134.712770,15.935050,12.611227,15.282514,0.000000,0.000000,0.000000,0.000000,33.094608,0.000000,38.674682,0.000000,122.964590,17.725393,11.604000,404.950590,0,0,0,0,0

