Block,Time Block,DHAULIGNGA,FSTPP I & II,DULHASTI,KOLDAM,DADRT2,CHAMERA3,CHAMERA2,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,CHAMERA1,BSIUL,BRBCL,ANTA_CRF,ANTA_GF,ANTA_RF,AURY_CRF,ANTA_LF,TEHRI,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,URI,KHSTPP-I,SALAL,SEWA2,TANDA2,SASAN,SIMHST1,SINGRAULI_HYDRO,TALST2,SIMHST2,TANAKPUR,RSTPSU7,SINGRAULI,TALA,KGSU3AND4,RIHAND2,RIHAND1,RSTPSU1TO6,RAPPC,RIHAND3,RAPPB,PARBATI3,NLCTS2EXP,NLCIIST2,NTPL,NNTPP,RAMPUR,KUDGI,NAPP,NJPC,NLCEXP,MAPS,KOTESHWR,NLCIIST1,JHAJJAR,KGSU1AND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,14.09,0,0,365.25,0,0,87.31,0,0,0,0,0,0,0,0,0,0,0,0,18.59,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.53,28.18,1.35,0,0,329.67,0,0,0,0,5.53,0,109.93,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

2,00:15-00:30,0,11.11,0,0,365.25,0,0,83.61,0,0,0,0,0,0,0,0,0,0,0,0,19.22,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.53,23.66,1.35,0,0,329.67,0,0,0,0,5.53,0,104.31,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

3,00:30-00:45,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,16.01,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,5.53,0,104.31,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

4,00:45-01:00,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,5.53,0,104.31,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

5,01:00-01:15,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,5.53,0,104.31,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

6,01:15-01:30,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,0,0,104.31,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

7,01:30-01:45,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,1.59,20.78,1.35,0,0,329.67,0,0,0,0,0,0,104.31,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

8,01:45-02:00,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,13.97,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,1.59,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

9,02:00-02:15,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,1.07,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

10,02:15-02:30,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,13.54,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,1.07,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

11,02:30-02:45,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,1.07,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

12,02:45-03:00,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,14.68,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,1.07,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

13,03:00-03:15,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,13.97,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

14,03:15-03:30,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,15.56,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

15,03:30-03:45,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

16,03:45-04:00,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

17,04:00-04:15,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

18,04:15-04:30,0,9.62,0,0,365.25,0,0,78.37,0,0,0,0,0,0,0,0,0,0,0,0,18.06,0,0,0,0,0,0,0,11.54,0,0,4.14,14.27,22.53,0.75,20.78,1.35,0,0,329.67,0,0,0,0,0,0,83.72,0,0,114.09,88.39,0,51.82,119.45,0,0,0,0,0,0,0,0,42.48,0,0,0,8.53,0,345.89,0,0,0,0,0,0

