Time,Block,NR/2024/19143/A/13668,NR/2024/19030/A/13656,NR/2024/18976/A/13706,NR/2024/18855/A/13967,NR/2024/18919/A/14209,NR/2024/18977/A/13707,NR/2024/19297/C,NR/2024/19316/C,NR/2024/18936/A/13693,NR/2024/19306/C,NR/2024/18935/A/13692,NR/2024/18978/A/13708,NR/2024/19024/A/13759,NR/2024/19245/A/13963,NR/2024/19121/A/13965,NR/2024/19317/C,NR/2024/19115/A/13671,NR/2024/19075/A/13649,NR/2024/18996/A/14178,NR/2024/19308/C,NR/2024/19291/C,NR/2024/19313/C,NR/2024/18986/A/13679,NR/2024/19172/A/14320,NR/2024/19043/A/13650,NR/2024/18934/A/13691,NR/2024/19296/C,Total
,,IEXL,IEXL,PXIL,GMRETL,APPCPL,PXIL,NVVNL,IEXL,PXIL,HPXL,PXIL,PXIL,DIAPL,DIAPL,GMRETL,PXIL,IEXL,IEXL,PTC,HPXL,TPDDL,IEXL,ITCLH,TPDDL,IEXL,PXIL,NVVNL,Total

,,DELHI,NA,ODISHA,RAJASTHAN,NAGALAND,NA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,CHATTISGARH,MAHARASHTRA,ODISHA,MAHARASHTRA,MEGHALAYA,NA,NA,ANDHRA PRADESH,NA,NA,TAMIL NADU,NA,
,,EDWPCL12,JHABUA_IPP,FACORPOWER,RUVNL,Nagaland_Ben,MEENAKSHI,KAMENG,JPL-2,SAKTHISUGARSLTD,GBHHPL,SAKTHISUGARS_ELMTN,BIRLACARBONTN,GBHHPL,GBHHPL,RUVNL,CSEB_Beneficiary,SWPL,VSL,JPL_DHULE,Meghalaya_Ben,JHAJJAR,JPL,ITCWIND,JHAJJAR,MBMP,SAKTHISUGRAR_TN,SOLAPUR_SOLAR,
,,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,UPPCL,BRPL,BRPL,BYPL,BYPL,BRPL,TPDDL,TPDDL,BRPL,BYPL,BRPL,BRPL,DIAPL,DIAPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,TPDDL,TPDDL,ITCLH,TPDDL,BRPL,BRPL,MES (Delhi),
,,North-North,West-East-North,East-West-North,North-North,North East-East-North,South-West-North,North East-East-North,West-East-North,South-West-North,North-North,South-West-North,South-West-North,North-North,North-North,North-North,West-North,West-East-North,East-North,West-North,North East-East-North,North-North,West-East-North,South-West-North,North-North,West-East-North,South-West-North,West-North,
1,00:00-00:15,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,145.110000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,212.830000,0.000000,0.000000,0.000000,0.000000,0.000000,96.740000,0.530000,0.000000,0.000000,0.000000,0,591.28

2,00:15-00:30,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,145.110000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,222.500000,0.000000,0.000000,0.000000,0.000000,0.000000,96.740000,0.530000,0.000000,0.000000,0.000000,0,600.95

3,00:30-00:45,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,145.110000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,193.480000,0.000000,0.000000,0.000000,0.000000,0.000000,96.740000,0.530000,0.000000,0.000000,0.000000,0,571.93

4,00:45-01:00,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,145.110000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,212.830000,0.000000,0.000000,0.000000,0.000000,0.000000,96.740000,0.530000,0.000000,0.000000,0.000000,0,591.28

5,01:00-01:15,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,184.92

6,01:15-01:30,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,184.92

7,01:30-01:45,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,184.92

8,01:45-02:00,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,48.370000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,184.92

9,02:00-02:15,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

10,02:15-02:30,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

11,02:30-02:45,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

12,02:45-03:00,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

13,03:00-03:15,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

14,03:15-03:30,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

15,03:30-03:45,2.000000,0.000000,0.000000,66.930000,9.670000,0.000000,52.630000,0.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0,136.55

