Time,Block,NR/2023/13654/D,NR/2023/13678/C,NR/2023/13053/F,NR/2023/10720/A,NR/2023/11712/A,NR/2023/13653/D,NR/2023/10705/A,NR/2023/10959/A,NR/2023/12916/F,NR/2023/12706/A,NR/2023/10432/A,NR/2023/12917/F,NR/2023/13369/F,NR/2023/10651/A,NR/2023/12919/F,NR/2023/13665/C,NR/2023/10956/A,NR/2023/10561/A,NR/2023/13655/C,NR/2023/12923/F,NR/2023/10436/A,NR/2023/12924/F,NR/2023/12872/F,NR/2023/11888/A,NR/2023/11953/A,NR/2023/10435/A,NR/2023/10460/A,NR/2023/12169/A,NR/2023/13641/D,NR/2023/12920/F,NR/2023/12814/F,NR/2023/10488/A,NR/2023/13642/D,ER/2023/8392/C,NR/2023/13053/F/II,NR/2023/13643/D,NR/2023/12813/F,NR/2023/13658/C,NR/2023/13677/C,NR/2023/12922/F,NR/2023/13315/F,NR/2023/11709/A,NR/2023/13660/C,NR/2023/12915/F,SR/2023/6285/C,NR/2023/10650/A,NR/2023/10947/A,NR/2023/12661/A,NR/2023/11266/A,NR/2023/11507/A,NR/2023/10786/A,NR/2023/12921/F,Total
,,TS1PL_BKN,TS1PL_BKN,GMRETL,KEIPL,MANIKARAN,TS1PL_BKN,KEIPL,NVVNL,SHPPBPL,HPXL,TPTCL,SHPPBPL,SJVNL,KEIPL,SHPPBPL,IEXL,NVVNL,PTC,GBHHPL,SHPPBPL,APPCPL,SHPPBPL,ITCLH,KEIPL,KEIPL,NVVNL,GMRETL,APPCPL,NVVNL,SHPPBPL,MANIKARAN,TPTCL,NVVNL,HPXL,GMRETL,NVVNL,MANIKARAN,PXIL,TS1PL_BKN,SHPPBPL,IEXL,MANIKARAN,TPDDL,SHPPBPL,HPXL,KEIPL,APPCPL,NVVNL,TPTCL,TPTCL,STATKRAFT,SHPPBPL,Total

,,NA,NA,NA,TAMIL NADU,TAMIL NADU,NA,KERALA,NA,HIMACHAL PRADESH,MAHARASHTRA,ODISHA,HIMACHAL PRADESH,WEST BENGAL,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,MEGHALAYA,MEGHALAYA,NA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,DELHI,NA,NA,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,JAMMU AND KASHMIR,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,KERALA,HIMACHAL PRADESH,NA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,
,,TS1PL_BKN,TS1PL_BKN,GMR WARORA,TANGEDCO,TANGEDCO,TS1PL_BKN,KSEB,KAMENG,SHPPBPL,B_S_ISPAT_MH,NBVLIPP,SHPPBPL,IPCL_WB,Meghalaya_Ben,SHPPBPL,Teesta_III,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,GBHHPL,SHPPBPL,Meghalaya_Ben,SHPPBPL,ITCWIND,Meghalaya_Ben,Meghalaya_Ben,SEIL,Meghalaya_Ben,HP,SOLAPUR_SOLAR,SHPPBPL,HP,APNRL,KAMENG,BYPL,GMR WARORA,SORANG_HEP,HP,BYPL,TS1PL_BKN,SHPPBPL,SAPU1234,TANGEDCO,CHANJUII,SHPPBPL,BYPL,KSEB,HP,SKS Raigarh,KWHEP,JPL,TANGEDCO,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,KERALA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,TPDDL,BYPL,BRPL,BRPL,BRPL,BRPL,BAL224,NDMC,TPDDL,BAL234,NDMC,BYPL,AISHER,BRPL,BRPL,TPDDL,DIAPL,MHIL,BYPL,UHL,ITCLH,BYPL,BYPL,TPDDL,BYPL,BRPL,MES (Delhi),BMDRC,BRPL,TPDDL,TPDDL,VL-CPP 1215,TPDDL,TPDDL,BRPL,ASIL_UP,BYPL,JHPL-DL,MES (Delhi),BRPL,TPDDL,BAL184,KSEB,BYPL,BYPL,NDMC,BRPL,BRPL,BYPL,MAX-HPTL,
,,North-North,North-North,West-North,South-West-North,South-West-North,North-North,South-West-North,North East-East-North,North-North,West-North,East-North,North-North,East-North,North East-East-North,North-North,East-West-North,West-North,West-North,North-North,North-North,North East-East-North,North-North,South-West-North,North East-East-North,North East-East-North,South-West-North,North East-East-North,North-North,West-North,North-North,North-North,East-North,North East-East-North,North-East,West-East-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-North,North-North,North-East-South,South-West-North,North-North,West-North,North-North,West-North,South-West-North,North-North,
1,00:00-00:15,0,0,22.050000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,155.800000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,2.140000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1983.02

2,00:15-00:30,0,0,22.050000,23.710000,64.350000,0,232.350000,25.040000,0.520000,6.770000,43.550000,0.920000,0.000000,63.140000,0.820000,115.160000,100.160000,48.380000,34.650000,0.610000,24.190000,0.610000,0.480000,7.630000,36.510000,12.570000,23.220000,54.190000,0,0.930000,85.640000,48.380000,110.240000,0.000000,2.140000,0.000000,62.900000,0.000000,0,1.020000,4.840000,23.170000,16.910000,0.370000,0.00,83.220000,23.220000,62.900000,74.820000,300.460000,98.710000,0.930000,1942.38
