Column1,Time,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_36,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1766,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/1899,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/7739,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/2197,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/1599,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/3428,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,GNARE/NR/2024/12/20/3668,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/12/01/1475,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024
1,00:00-00:15,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.22,142.69,0,0,8.74,0,0,15.41,0,0,0,0,0,90,28.67,30,70,0,0,0,0,30,0,70,64.09,24.72,70.15,52.91,95.55,26.23,74.81,0.69,1.65

2,00:15-00:30,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.22,142.69,0,0,8.74,0,0,14.41,0,0,0,0,0,89.51,29,29.83,70,0,0,0,0,29.83,0,70,64.09,25.23,70.15,52.91,95.55,26.23,74.81,0.69,1.65

3,00:30-00:45,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.22,142.69,0,0,8.74,0,0,14.01,0,0,0,0,0,89.51,29,29.83,70,0,0,0,0,29.83,0,70,64.09,25.23,70.15,52.91,95.55,26.23,74.81,0.69,1.65

4,00:45-01:00,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.22,142.69,0,0,8.74,0,0,13.61,0,0,0,0,0,89.51,29,29.83,70,0,0,0,0,29.83,0,70,64.09,25.73,70.15,52.91,95.55,26.23,74.81,0.69,1.65

5,01:00-01:15,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,13.41,0,0,0,0,0,88.99,28.67,29.67,70,0,0,0,0,29.67,0,70,57.43,26.24,70.15,52.91,79.85,26.23,74.81,0.69,1.65

6,01:15-01:30,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,13.21,0,0,0,0,0,88.5,28.33,29.5,70,0,0,0,0,29.5,0,70,57.43,26.24,70.15,52.91,65.42,26.23,74.81,0.69,1.65

7,01:30-01:45,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,17.01,0,0,0,0,0,87.49,28.34,29.17,70,0,0,0,0,29.17,0,70,57.43,26.24,70.15,52.91,65.42,26.23,74.81,0.69,1.65

8,01:45-02:00,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,16.81,0,0,0,0,0,85.99,28.34,28.67,70,0,0,0,0,28.67,0,70,57.43,26.24,70.15,52.91,65.42,26.23,74.81,0.69,1.65

9,02:00-02:15,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,15.61,0,0,0,0,0,95,28.34,31.67,76.66,0,0,0,0,31.66,0,76.67,57.43,26.24,70.15,52.91,65.42,26.23,74.81,0.69,1.56

10,02:15-02:30,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,15.41,0,0,0,0,0,95,28.34,31.67,76.66,0,0,0,0,31.66,0,76.67,57.43,25.73,70.15,52.91,65.42,26.23,74.81,0.69,1.56

11,02:30-02:45,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,15.21,0,0,0,0,0,95,28.34,31.67,76.66,0,0,0,0,31.66,0,76.67,57.43,25.73,70.15,52.91,65.42,26.23,74.81,0.69,1.56

12,02:45-03:00,0,0,0,0,150,22.3,0,8.74,1.57,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,15.01,0,0,0,0,0,95,28.34,31.67,76.66,0,0,0,0,31.66,0,76.67,57.43,25.73,70.15,52.91,65.42,26.23,74.81,0.69,1.56

13,03:00-03:15,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.07,142.69,0,0,8.74,0,0,14.81,0,0,0,0,0,95.5,24.33,31.83,76.66,0,0,0,0,31.84,0,76.67,57.43,25.73,70.15,52.91,65.42,26.23,74.81,0.69,1.56

14,03:15-03:30,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.07,142.69,0,0,8.74,0,0,14.81,0,0,0,0,0,95.5,24,31.83,76.66,0,0,0,0,31.84,0,76.67,57.43,25.73,70.15,52.91,65.42,26.23,74.81,0.69,1.56

15,03:30-03:45,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.07,142.69,0,0,8.74,0,0,14.81,0,0,0,0,0,95.5,23.33,31.83,71.66,0,0,0,0,31.84,0,71.67,57.43,25.73,70.15,52.91,64.45,26.23,74.81,0.69,1.56

16,03:45-04:00,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.07,142.69,0,0,8.74,0,0,14.81,0,0,0,0,0,95.5,22.67,31.83,70,0,0,0,0,31.84,0,70,57.43,25.73,70.15,52.91,64.45,26.23,74.81,0.69,1.56

17,04:00-04:15,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.07,142.69,0,0,8.74,0,0,15.01,0,0,0,0,0,75,19,25,69.34,0,0,0,0,25,0,69.33,57.43,25.73,70.15,52.91,64.45,26.23,74.81,0.69,1.65

18,04:15-04:30,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.07,142.69,0,0,8.74,0,0,15.21,0,0,0,0,0,76.01,17.33,25.33,68.34,0,0,0,0,25.33,0,68.33,57.43,25.73,70.15,52.91,64.45,26.23,74.81,0.69,1.65

19,04:30-04:45,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,15.41,0,0,0,0,0,77.51,16,25.83,71.66,0,0,0,0,25.83,0,71.67,57.43,25.23,70.15,52.91,78.88,26.23,74.81,0.69,1.65

20,04:45-05:00,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,15.61,0,0,0,0,0,76.01,14.67,25.33,71.66,0,0,0,0,25.33,0,71.67,64.09,25.23,70.15,52.91,94.58,26.23,74.81,0.69,1.65

21,05:00-05:15,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,15.81,0,0,0,0,0,75,13.33,25,71.66,0,0,0,0,25,0,71.67,64.09,25.23,70.15,81.77,94.58,26.23,74.81,0.69,1.56

22,05:15-05:30,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,16.01,0,0,0,0,0,73.99,12.33,24.67,70,0,0,0,0,24.67,0,70,64.09,25.23,70.15,100.22,94.58,26.23,74.81,0.69,1.56

23,05:30-05:45,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,16.01,0,0,0,0,0,70.99,12.33,23.67,70,0,0,0,0,23.67,0,70,64.09,25.23,70.15,100.22,94.58,26.23,74.81,0.69,1.56

24,05:45-06:00,0,0,0,0,150,22.3,0,8.74,1.53,47.56,0,22.3,1.14,142.69,0,0,8.74,0,0,16.01,0,0,0,0,0,69.49,12.33,23.17,68.34,0,0,0,0,23.17,0,68.33,64.09,25.23,70.15,100.22,94.58,26.23,74.81,0.69,1.56

25,06:00-06:15,0,0,0,0,150,22.3,0,8.74,1.53,0,0,22.3,1.14,0,0,0,8.74,0,0,21.01,0,0,0,0,0,68.51,18.33,22.83,65,0,0.39,0,0,22.83,0,65,80.12,25.23,70.15,100.22,118.63,26.23,96.2,0.69,1.65

26,06:15-06:30,0,0,0,0,150,22.3,0,13.47,1.53,0,0,22.3,1.14,0,0,0,13.47,0,0,21.01,0.09,0,0,0,0,67.5,17.67,22.5,61,0,0.74,0,0,22.5,0,61,86.77,25.23,70.15,100.22,130.59,26.23,115.44,0.69,1.65

27,06:30-06:45,0,0,0,0,150,22.3,0,13.47,1.53,0,0,22.3,1.14,0,0,0,13.47,0,0,16.61,0.2,0,0.1,0,0,77.51,20,25.83,51.66,0,1.69,0,0,25.83,0,51.67,86.77,24.72,70.15,100.22,130.59,26.23,135.3,0.69,1.65

28,06:45-07:00,0,0,0,0,150,22.3,0,13.47,1.53,0,0,22.3,1.14,0,0,0,13.47,0,0,16.41,0.3,0,2.09,0,1,77.51,20,25.83,50,0,3.41,0,0,25.83,0,50,86.77,24.22,70.15,100.22,130.59,26.23,135.3,0.69,1.65

29,07:00-07:15,0.06,0,0,0.07,150,22.3,0,13.47,1.53,0,0.06,22.3,1.14,0,0,0,13.47,0,0.06,16.01,0.94,1,7.71,0,3,62.51,16.33,20.83,41.66,2,8.23,0.28,0,20.83,1,41.67,86.77,23.21,70.15,100.22,130.59,26.23,135.3,0.69,1.65

30,07:15-07:30,0.26,0,1,0.25,150,25.97,0,13.47,1.53,0,0.24,25.97,1.14,0,0,0,13.47,0,0.24,15.61,1.95,4,14.24,1.96,7,60.49,15.33,20.17,40,3,14.2,1.32,1,20.17,2,40,86.77,22.71,70.15,100.22,130.59,26.23,135.3,0.69,1.65

31,07:30-07:45,0.58,1,3,0.55,150,25.97,0,13.47,1.53,0,0.54,25.97,1.14,0,0,0,13.47,0,0.54,13.01,3.27,7,26.38,5.62,12,47.51,11.67,15.83,39.34,5,23.16,2.92,3,15.83,5,39.33,86.77,22.71,115.03,100.22,130.59,26.23,135.3,0.69,1.65

32,07:45-08:00,1.49,2,4,0.78,150,25.97,0,13.47,1.53,0,0.76,25.97,1.14,0,0,0,13.47,0,0.76,12.81,4.81,11,28.25,9.61,20,46.5,10,15.5,37.66,7,28.25,7.47,4,15.5,8,37.67,86.77,23.21,115.03,100.22,130.59,33.67,135.3,0.69,1.65

33,08:00-08:15,2.76,3,6,1.26,150,25.97,0,13.47,1.53,0,1.23,25.97,1.14,0,0,0,13.47,0,1.23,12.41,7.41,14,26.17,14.09,26.17,45,10,15,35,9,26.16,13.82,4,15,8,35,86.77,23.72,115.03,100.22,130.59,33.67,135.3,0.69,1.56

