Time,Block,NR/2024/20532/C,NR/2024/20130/A/20910,NR/2024/19966/A/20876,NR/2024/20548/C,NR/2024/20033/A/21188,NR/2024/20041/A/20963,NR/2024/19699/A/21190,NR/2024/19919/A/21151,NR/2024/20031/A/21185,NR/2024/20144/A/20882,NR/2024/19432/A/21192,NR/2024/19779/A/20868,NR/2024/20090/A/20776,NR/2024/20034/A/21184,NR/2024/20037/A/20859,NR/2024/19918/A/21147,NR/2024/20211/A/20883,NR/2024/19757/A/21187,NR/2024/19475/A/21122,NR/2024/20142/A/20881,NR/2024/19637/A/20874,NR/2024/20048/A/20950,NR/2024/19683/A/20809,NR/2024/20531/C,NR/2024/20350/A/20646,NR/2024/19760/A/20860,NR/2024/19588/A/20903,NR/2024/20212/A/20884,NR/2024/20521/C,NR/2024/19791/A/21148,NR/2024/20052/A/20647,NR/2024/20550/C,NR/2024/20525/C,NR/2024/20141/A/20880,NR/2024/20530/C,NR/2024/20050/A/20943,NR/2024/19355/A/21279,NR/2024/20109/A/21278,Total
,,NVVNL,DTCP,BRPL,HPXL,NVVNL,PTC,NVVNL,APPCPL,NVVNL,BAL234,NVVNL,ITCLH,IEXL,NVVNL,TPTCL,APPCPL,JHPL-DL,NVVNL,AEL,BAL224,INSTINCT,PTC,IEXL,NVVNL,DIAPL,TPTCL,GMRETL,UHL,BRPL,APPCPL,DIAPL,PXIL,HPXL,BAL184,NVVNL,PTC,TPDDL,TPDDL,Total

,,NA,HIMACHAL PRADESH,MAHARASHTRA,KERALA,NA,MAHARASHTRA,MP,KERALA,NA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,MAHARASHTRA,NA,MAHARASHTRA,NAGALAND,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,RAJASTHAN,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,
,,SOLAPUR_SOLAR,SHPPBPL,IEPLBELA2022,KSEB,SKS Raigarh,JPL_DHULE,JP BINA,KSEB,RKM_POWER,SHPPBPL,SEIL,ITCWIND,A_A_Energy_MH_Bio,RKM_POWER,JPL_DHULE,Nagaland_Ben,SHPPBPL,TANGEDCO,APL_Raipur TPP,SHPPBPL,JPL-2,HP,NHCPL_HP,KAMENG,GBHHPL,SIMHAPURI,RUVNL,SHPPBPL,DADRT2,TANGEDCO,GBHHPL,HP-GOVT,GBHHPL,SHPPBPL,SORANG_HEP,HP,JPL-2,JHAJJAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),DTCP,BRPL,BRPL,NDMC,BRPL,TPDDL,BYPL,NDMC,BAL234,TPDDL,ITCLH,MES (Delhi),NDMC,TPDDL,BYPL,JHPL-DL,BRPL,BRPL,BAL224,BRPL,BYPL,MES (Delhi),TPDDL,DIAPL,BRPL,BYPL,UHL,BRPL,BYPL,DIAPL,BRPL,BRPL,BAL184,TPDDL,BRPL,TPDDL,TPDDL,
,,West-North,North-North,West-North,South-East-North,West-North,West-North,West-North,South-West-North,West-North,North-North,South-West-North,South-West-North,West-North,West-North,West-North,North East-East-North,North-North,South-West-North,West-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,South-West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.630000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,14.470000,90.460000,96.490000,241.220000,1763.77

2,00:15-00:30,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.630000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,14.470000,90.460000,96.490000,241.220000,1763.77

3,00:30-00:45,0,0.480000,0.000000,0.000000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.630000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,14.470000,90.460000,96.490000,241.220000,1763.77

4,00:45-01:00,0,0.480000,0.000000,119.630000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.630000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,14.470000,90.460000,96.490000,241.220000,1883.4

5,01:00-01:15,0,0.480000,0.000000,48.240000,14.620000,0.000000,48.240000,308.770000,43.850000,0.880000,24.120000,0.580000,1.930000,43.850000,72.370000,13.510000,1.590000,48.610000,192.980000,0.520000,0.000000,30.150000,1.930000,166.930000,0.000000,0.000000,66.760000,0.610000,0.000000,64.730000,8.680000,144.740000,19.300000,0.350000,14.470000,90.460000,96.490000,241.220000,1811.96

