Block,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/01102023/22052037/LT-59,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,ER/09072024/09072024/HPX-TAMCTG-090724-01596,NR/09072024/09072024/IEX_240708_01445,NR/01102023/19072037/LT-05,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/01072024/31072024/R2,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01042024/31072024/LT_MEJA_DELHI,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),SR/01102023/07102043/L_NR_2018_61,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024
1,00:00-00:15,10.33,31,0,0,0,0,0,0,0,0,0,0,26,10.34,0,0,11.66,0,0,26,10.380000,163.760000,261.540000,100.360000,86.890000,7.410000,0.000000,30.830000,0.000000,272.370000,17.740000,0.000000,0.000000,0.000000,0.000000,115.150000,15.120000,81.880000,30.830000,20.470000,0.000000,28.260000,0.000000,10.580000,61.410000,15.590000,81.880000,42.01,32.750000,12.410000

2,00:15-00:30,10.17,30.5,0,0,0,0,0,0,0,0,0,0,26,10.16,0,0,11.66,0,0,26,10.380000,163.760000,261.540000,100.360000,86.890000,7.410000,0.000000,30.830000,0.000000,272.370000,17.740000,0.000000,0.000000,0.000000,0.000000,115.150000,15.120000,81.880000,30.830000,20.470000,0.000000,28.260000,0.000000,10.580000,61.410000,15.590000,81.880000,41.81,32.750000,12.410000

3,00:30-00:45,10,30,0,0,0,0,0,0,0,0,0,0,26,10,0,0,11.66,0,0,26,10.380000,163.760000,261.540000,100.360000,86.890000,7.410000,0.000000,30.830000,0.000000,272.370000,17.740000,0.000000,0.000000,0.000000,0.000000,115.150000,15.120000,81.880000,30.830000,20.470000,0.000000,27.750000,0.000000,10.580000,61.410000,15.590000,81.880000,41.41,32.750000,12.410000

4,00:45-01:00,10,30,0,0,0,0,0,0,0,0,0,0,26,10,0,0,11.34,0,0,26,10.380000,163.760000,261.540000,100.360000,86.890000,7.410000,0.000000,30.830000,0.000000,272.370000,17.740000,0.000000,0.000000,0.000000,0.000000,115.150000,15.120000,81.880000,30.830000,20.470000,0.000000,27.250000,0.000000,10.580000,61.410000,15.590000,81.880000,43.01,32.750000,12.410000

5,01:00-01:15,9.83,29.5,0,0,0,0,0,0,0,0,0,0,26,9.84,0,0,11.34,0,0,26,10.380000,163.760000,261.540000,100.360000,86.890000,7.220000,0.000000,30.830000,0.000000,272.370000,17.740000,0.000000,0.000000,0.000000,0.000000,84.940000,15.120000,81.880000,30.830000,20.470000,0.000000,27.250000,0.000000,10.580000,61.410000,15.590000,81.880000,42.61,32.750000,12.410000

6,01:15-01:30,9.67,29,0,0,0,0,0,0,0,0,0,0,26,9.66,0,0,11.34,0,0,26,10.380000,163.760000,261.540000,100.360000,86.890000,7.220000,0.000000,30.830000,0.000000,272.370000,17.740000,0.000000,0.000000,0.000000,0.000000,66.070000,15.120000,81.880000,30.830000,20.470000,0.000000,27.250000,0.000000,10.580000,61.410000,15.590000,81.880000,42.21,32.750000,12.410000

7,01:30-01:45,9.5,28.5,0,0,0,0,0,0,0,0,0,0,26,9.5,0,0,11.34,0,0,26,10.380000,163.760000,261.540000,100.360000,86.890000,7.220000,0.000000,30.830000,0.000000,272.370000,17.740000,0.000000,0.000000,0.000000,0.000000,66.070000,15.120000,81.880000,30.830000,20.470000,0.000000,27.250000,0.000000,10.580000,61.410000,15.590000,81.880000,41.61,32.750000,12.410000

8,01:45-02:00,9.33,28,0,0,0,0,0,0,0,0,0,0,26,9.34,0,0,11,0,0,26,10.380000,163.760000,261.540000,100.360000,86.890000,7.220000,0.000000,30.830000,0.000000,272.370000,17.740000,0.000000,0.000000,0.000000,0.000000,66.070000,15.120000,81.880000,30.830000,20.470000,0.000000,27.250000,0.000000,10.580000,61.410000,15.590000,81.880000,40.81,32.750000,12.410000

