Column1,Time,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/16082024/31082024/APL-Raigarh_august,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/jitpl,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128
1,00:00-00:15,16,0,0,16.5,49.5,16.5,28,0,0,0,10,0,28,0,0,0,0,0,0,86.75,32,5.55,7.91,0,0,100.19,32,96.17,31.28,0,114.92,261.1,0,11.26,0,0,0,0,14.96,38.47,24.04,271.92,96.17,12.39,48.08,21.16

2,00:15-00:30,16,0,0,18.33,55,18.34,27.67,0,0,0,9.8,0,27.67,0,0,0,0,0,0,86.75,32,5.55,7.91,0,0,100.19,32,96.17,31.28,0,114.92,261.1,0,11.26,0,0,0,0,14.96,38.47,24.04,271.92,96.17,12.39,48.08,21.16

3,00:30-00:45,16,0,0,17,51,17,27.67,0,0,0,9.6,0,27.67,0,0,0,0,0,0,86.75,0,5.55,7.91,0,0,100.19,32,96.17,31.28,0,114.92,261.1,0,11.26,0,0,0,0,14.96,38.47,24.04,271.92,96.17,12.39,48.08,21.16

4,00:45-01:00,15.66,0,0,17.5,52.5,17.5,27,0,0,0,9.4,0,27,0,0,0,0,0,0,86.75,0,5.55,7.91,0,0,100.19,32,96.17,31.28,0,114.92,261.1,0,11.26,0,0,0,0,14.96,38.47,24.04,271.92,96.17,12.39,48.08,21.16

5,01:00-01:15,15,0,0,17.33,52,17.34,26.67,0,0,0,9.2,0,26.67,0,0,0,0,0,0,86.75,17.9536,5.37,7.91,0,0,100.19,32,96.17,31.28,0,114.92,261.1,0,11.26,0,0,0,0,14.96,38.47,24.04,271.92,96.17,12.39,48.08,21.16

6,01:15-01:30,15,0,0,13,39,13,26.67,0,0,0,9,0,26.67,0,0,0,0,0,0,86.75,17.9536,5.37,7.91,0,0,100.19,32,96.17,31.28,0,114.92,261.1,0,11.26,0,0,0,0,14.96,38.47,24.04,271.92,96.17,12.39,48.08,21.16

7,01:30-01:45,14.66,0,0,13.17,39.5,13.16,27,0,0,0,8.8,0,27,0,0,0,0,0,0,86.75,23.9398,5.37,7.91,0,0,100.19,23.9398,96.17,31.28,0,97.97,261.1,0,11.26,0,0,0,0,14.96,38.47,24.04,271.92,96.17,12.39,48.08,21.16

8,01:45-02:00,14.66,0,0,13.17,39.5,13.16,27,0,0,0,8.6,0,27,0,0,0,0,0,0,86.75,23.9398,5.37,7.91,0,0,100.19,23.9398,96.17,31.28,0,70.08,261.1,0,11.26,0,0,0,0,14.96,38.47,24.04,271.92,96.17,12.39,48.08,21.16

9,02:00-02:15,17.66,0,0,13,39,13,36,0,0,0,8.4,0,36,0,0,0,0,0,0,86.75,24.8979,5.22,7.91,0,0,100.19,24.8979,96.17,31.28,0,70.08,261.1,0,11.26,0,0,0,0,16.8,38.47,24.04,271.92,96.17,12.39,48.08,21.16

10,02:15-02:30,17.34,0,0,12.83,38.5,12.84,36,0,0,0,8.2,0,36,0,0,0,0,0,0,67.83,26.929,5.22,7.91,0,0,100.19,26.929,96.17,31.28,0,70.08,261.1,0,11.26,0,0,0,0,16.8,38.47,24.04,271.92,96.17,12.39,48.08,21.16

11,02:30-02:45,17,0,0,13.17,39.5,13.16,37,0,0,0,8,0,37,0,0,0,0,0,0,67.83,26.929,5.22,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,261.1,0,11.26,0,0,0,0,16.8,38.47,24.04,271.92,96.17,12.39,48.08,21.16

12,02:45-03:00,17,0,0,13.17,39.5,13.16,36.33,0,0,0,8,0,36.33,0,0,0,0,0,0,67.83,26.929,5.22,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,38.47,24.04,271.92,96.17,12.39,48.08,21.16

13,03:00-03:15,17.34,0,0,13.17,39.5,13.16,36,0,0,0,8,0,36,0,0,0,0,0,0,67.83,26.929,5.09,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,0,24.04,271.92,96.17,12.39,48.08,21.16

14,03:15-03:30,17,0,0,13.5,40.5,13.5,35.67,0,0,0,7.8,0,35.67,0,0,0,0,0,0,67.83,26.929,5.09,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,0,24.04,271.92,96.17,12.39,48.08,21.16

15,03:30-03:45,17.34,0,0,13.67,41,13.66,35.67,0,0,0,13,0,35.67,0,0,0,0,0,0,67.83,24.8979,5.09,7.91,0,0,100.19,24.8979,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,0,24.04,271.92,96.17,12.39,48.08,21.16

16,03:45-04:00,17.34,0,0,13.83,41.5,13.84,35,0,0,0,12.8,0,35,0,0,0,0,0,0,67.83,26.929,5.09,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,0,24.04,271.92,96.17,12.39,48.08,21.16

17,04:00-04:15,10,0,0,13.33,40,13.34,34.67,0,0,0,12.6,0,34.67,0,0,0,0,0,0,67.83,26.929,5.09,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,0,24.04,271.92,96.17,12.39,48.08,21.16

18,04:15-04:30,9,0,0,13.33,40,13.34,34.33,0,0,0,12.21,0,34.33,0,0,0,0,0,0,67.83,26.929,5.09,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,0,24.04,271.92,96.17,12.39,48.08,21.16

19,04:30-04:45,8.66,0,0,13.17,39.5,13.16,34,0,0,0,11.61,0,34,0,0,0,0,0,0,67.83,26.929,5.09,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,0,24.04,271.92,96.17,12.39,48.08,21.16

20,04:45-05:00,8.66,0,0,10,30,10,26.33,0,0,0,11.01,0,26.33,0,0,0,0,0,0,67.83,26.929,5.09,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,11.26,0,0,0,0,16.8,0,24.04,271.92,96.17,12.39,48.08,21.16

21,05:00-05:15,8.66,0,0,9.67,29,9.66,25.33,0,0,0,10.01,0,25.33,0,0,0,0,0,0,67.83,26.929,4.94,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,12.45,0,0,0,0,16.34,0,24.04,271.92,96.17,12.39,48.08,21.16

22,05:15-05:30,8.34,0,0,9.5,28.5,9.5,24.67,0,0,0,9.01,0,24.67,0,0,0,0,0,0,67.83,26.929,4.94,7.91,0,0,100.19,26.929,96.17,30.27,0,70.08,205.37,0,13.64,0,0,0,0,16.34,0,24.04,271.92,96.17,12.39,48.08,21.16

23,05:30-05:45,7.34,0,0,9.5,28.5,9.5,24,0,0,0,8.01,0,24,0,0,0,0,0,0,67.83,26.7256,4.94,7.91,0,0,100.19,26.7256,96.17,29.77,0,70.08,205.37,0,13.64,0,0,0,0,16.34,0,24.04,271.92,96.17,12.39,48.08,21.16

24,05:45-06:00,7.66,0,0,9.33,28,9.34,23.67,0,0,0,7.01,0,23.67,0,0,0,0,0,0,67.83,26.7256,4.94,7.91,0,0,100.19,26.7256,96.17,30.78,0,70.08,205.37,0,15.21,0,0,0,0,16.34,0,24.04,271.92,96.17,12.39,48.08,21.16

