Block,Time,KHSTPP-II,KUDGI,NJPC,NLCIIST2,PARBATI3,SASAN,SINGRAULI,SINGRAULI_HYDRO,TALA,ANTA_CRF,AURY_RF,DADRI_GF,DHAULIGNGA,RSTPSU7,TALST2,ANTA_RF,AURY_GF,BSIUL,CHAMERA1,KGSU3AND4,KOLDAM,TANAKPUR,TEHRI,TelanganaSTPP,DADRI_CRF,CHAMERA2,DADRT2,JHAJJAR,KGSU1AND2,KOTESHWR,NNTPP,PARBATI2,RAPPB,SIMHST2,AURY_LF,BRBCL,KKNP,RIHAND3,TANDA2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_GF,DADRI_RF,CHAMERA3,KISHANGANGA,MAPS,NLCEXP,NLCTS2EXP,RIHAND1,ANTA_LF,DADRI_LF,DULHASTI,KKNPPU2,RAMPUR,RSTPSU1TO6,SALAL,SEWA2,SIMHST1,UNCHAHAR2,URI2,AURY_CRF,FSTPP I & II,KHSTPP-I,NAPP,NLCIIST1,NTPL,RAPPC,RIHAND2,UNCHAHAR3,URI
1,00:00-00:15,148.3,0,25.73,0,19.92,405,143.6,0.91,0,0,85.35,0,0,0,0,53.44,0,13.04,42.15,0,0,0.51,26.11,0,0,32.49,684.54,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,19.81,0,1.01,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

2,00:15-00:30,148.3,0,25.73,0,19.92,405,143.6,0.91,0,0,85.35,0,0,0,0,53.44,0,13.04,42.15,0,0,0.51,13.06,0,0,32.49,684.54,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,19.81,0,1.01,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

3,00:30-00:45,148.3,0,25.73,0,4.29,405,143.6,0.91,0,0,85.35,0,0,0,0,53.44,0,13.04,42.15,0,0,0.51,0,0,0,32.49,684.54,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,19.81,0,1.01,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

4,00:45-01:00,148.3,0,25.73,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.44,0,13.04,42.15,0,0,0.51,0,0,0,32.49,684.54,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,19.81,0,1.01,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

5,01:00-01:15,148.3,0,25.73,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.44,0,19.56,42.15,0,0,2.05,0,0,0,32.49,684.54,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,1.01,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

6,01:15-01:30,148.3,0,25.73,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.7,0,19.56,31.57,0,0,2.05,0,0,0,32.49,684.54,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,1.01,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

7,01:30-01:45,148.3,0,25.73,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.7,0,19.56,28.1,0,0,2.05,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,1.01,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

8,01:45-02:00,148.3,0,25.73,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.7,0,19.56,14.05,0,0,2.05,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,1.01,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

9,02:00-02:15,148.3,0,0,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.7,0,19.56,0,0,0,0.51,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

10,02:15-02:30,148.3,0,0,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.7,0,19.56,0,0,0,0.51,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

11,02:30-02:45,148.3,0,0,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.7,0,19.56,0,0,0,0.51,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

12,02:45-03:00,148.3,0,0,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.7,0,19.56,0,0,0,0.51,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0,0,70.88,18.88,0,44.97,39.63,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

13,03:00-03:15,148.3,0,0,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,53.97,0,19.56,0,0,0,1.54,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0,0,51.13,18.88,0,44.97,38.05,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

14,03:15-03:30,148.3,0,0,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,54.37,0,19.56,0,0,0,1.54,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0,0,51.13,18.88,0,44.97,38.05,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

15,03:30-03:45,148.3,0,0,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,54.37,0,19.56,0,0,0,1.54,0,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0,0,51.13,18.88,0,44.97,38.05,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

16,03:45-04:00,148.3,0,24.61,0,0,405,143.6,0.91,0,0,85.35,0,0,0,0,54.37,0,19.56,0,0,0,1.54,12.98,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0.97,0,51.13,18.88,0,44.97,38.05,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

17,04:00-04:15,148.3,0,24.61,0,0,410.62,150.25,0.91,0,0,85.35,0,0,0,0,54.37,0,19.56,0,0,0,1.54,12.98,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0.97,0,51.13,18.88,0,44.97,38.05,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

18,04:15-04:30,148.3,0,24.61,0,0,410.62,150.25,0.91,0,0,85.35,0,0,0,0,54.37,0,19.56,0,0,0,1.54,25.96,0,0,32.49,688.87,500.51,0,10.41,0,0,0,0,0,20,0,130.75,5.65,21.63,3.18,0,0,74.38,23.3,8.45,0,0,0,97.18,0,0,39.62,0,0.97,0,51.13,18.88,0,44.97,38.05,0,15.29,45.83,51.6,0,0,69.26,124.53,27.67,34.23

