Block,Time,CHAMERA1,NAPP,RAPPB,DADRT2,ANTA_GF,RIHAND2,URI,KISHANGANGA,CHAMERA2,RIHAND3,KUDGI,CHAMERA3,AURY_RF,FSTPP I & II,KHSTPP-II,BRBCL,KHSTPP-I,TALA,KOTESHWR,BSIUL,PARBATI3,UNCHAHAR1,UNCHAHAR3,ANTA_LF,JHAJJAR,RIHAND1,ANTA_RF,UNCHAHAR4,DADRI_RF,DADRI_CRF,DADRI_GF,DULHASTI,SEWA2,RAPPC,AURY_GF,ANTA_CRF,UNCHAHAR2,URI2,DADRI_LF,TANAKPUR,SINGRAULI,SINGRAULI_HYDRO,AURY_CRF,SALAL,DHAULIGNGA,AURY_LF,NJPC,TEHRI,KOLDAM,RAMPUR,TANDA2,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.778267,40.968445,0.000000,425.270236,0.000000,115.703325,47.531340,1.408975,40.503969,121.223193,62.89,29.579950,0.000000,20.056275,142.721246,11.164466,42.258087,0.000000,16.338077,6.340802,3.627881,19.522673,25.849458,0.000000,598.596120,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,1.115431,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,86.275782,25.419974,2.350173,0.979510,1.347466,405.159975,0,0,0,0,0

2,00:15-00:30,40.778267,40.968445,0.000000,425.270236,0.000000,115.703325,47.531340,1.408975,40.503969,121.223193,62.89,29.579950,0.000000,20.056275,142.721246,11.164466,42.283620,0.000000,16.338077,6.340802,3.627881,19.522673,25.849458,0.000000,598.596120,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,1.115431,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,86.275782,25.419974,2.350173,0.979510,1.347466,405.159975,0,0,0,0,0

3,00:30-00:45,40.778267,40.968445,0.000000,425.270236,0.000000,115.703325,47.531340,1.408975,40.503969,121.223193,62.89,29.579950,0.000000,20.056275,142.721246,11.164466,41.109075,0.000000,16.338077,6.340802,3.627881,19.522673,25.849458,0.000000,598.596120,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,1.115431,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,57.517188,25.419974,2.350173,0.655608,1.347466,405.159975,0,0,0,0,0

4,00:45-01:00,40.778267,40.968445,0.000000,425.270236,0.000000,115.703325,51.269760,1.408975,40.503969,121.223193,62.89,29.579950,0.000000,20.056275,142.721246,11.164466,41.109075,0.000000,16.338077,6.340802,0.000000,19.522673,25.849458,0.000000,598.596120,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,1.115431,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,38.344792,25.419974,1.762630,0.437072,1.347466,405.159975,0,0,0,0,0

5,01:00-01:15,40.778267,40.968445,0.000000,365.831021,0.000000,115.703325,51.269760,1.408975,40.503969,121.223193,58.05,29.579950,0.000000,20.056275,142.721246,10.529859,41.109075,0.000000,16.338077,6.340802,0.000000,19.522673,25.849458,0.000000,598.596120,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,9.171320,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,38.344792,25.419974,1.175086,0.437072,1.347466,405.159975,0,0,0,0,0

6,01:15-01:30,40.778267,40.968445,0.000000,304.332736,0.000000,115.703325,47.531340,1.408975,40.503969,121.223193,58.05,29.579950,0.000000,20.056275,142.721246,10.521056,41.109075,0.000000,16.338077,6.340802,0.000000,19.522673,25.849458,0.000000,598.596120,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,9.171320,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,38.344792,25.419974,0.587543,0.437072,1.347466,405.159975,0,0,0,0,0

7,01:30-01:45,40.778267,40.968445,0.000000,304.332736,0.000000,115.703325,47.531340,1.408975,40.503969,121.223193,58.05,29.579950,0.000000,20.056275,142.721246,11.164466,41.109075,0.000000,16.338077,6.340802,0.000000,19.522673,25.849458,0.000000,598.596120,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,9.171320,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,38.344792,25.419974,0.000000,0.437072,1.347466,405.159975,0,0,0,0,0

8,01:45-02:00,40.778267,40.968445,0.000000,304.332736,0.000000,115.703325,47.531340,1.408975,40.503969,121.223193,58.05,29.579950,0.000000,20.056275,142.721246,11.164466,41.109075,0.000000,16.338077,6.340802,0.000000,21.132116,25.849458,0.000000,598.596120,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,1.115431,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,38.344792,25.419974,0.000000,0.437072,1.347466,405.159975,0,0,0,0,0

9,02:00-02:15,40.778267,40.968445,0.000000,343.032736,0.000000,115.703325,47.531340,1.408975,40.503969,121.223193,53.21,29.579950,0.000000,20.056275,142.721246,11.164466,41.109075,0.000000,16.338077,6.340802,0.000000,21.313058,25.849458,0.000000,599.265920,76.548600,0.000000,0.783675,0.000000,0.000000,0.000000,50.297624,16.049726,54.329061,0.000000,0.000000,41.650875,33.318818,0.000000,1.115431,137.385000,0.976585,0.000000,82.181578,9.260571,0.000000,38.344792,25.419974,0.000000,0.437072,1.347466,405.159975,0,0,0,0,0

