Column1,Block,NR/2024/22754/A/37221,NR/2024/22874/A/37267,NR/2024/22848/A/37239,NR/2024/23102/C,NR/2024/22734/A/37200,NR/2024/23101/C,NR/2024/22837/A/37263,NR/2024/22833/A/37264,NR/2024/22888/A/37224,NR/2024/22820/A/36978,NR/2024/22802/A/37266,NR/2024/22832/A/37265,NR/2024/23017/A/36953,NR/2024/22860/A/37235,NR/2024/22835/A/37213,NR/2024/21658/A/36952,NR/2024/22816/A/36993,NR/2024/23104/C,NR/2024/23114/C,NR/2024/22839/A/37262,NR/2024/23117/C,NR/2024/22753/A/37225,NR/2024/23038/A/36960,GNA/NR/2024/09/01/7196,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/4802,NR/2024/23103/C,Total
,,PTC,NVVNL,APPCPL,NVVNL,TPDDL,TPDDL,NVVNL,NVVNL,APPCPL,IEXL,NVVNL,NVVNL,DIAPL,APPCPL,MANIKARAN,ITCLH,TPTCL,NVVNL,SJVNL,NVVNL,SJVNL,PTC,IEXL,AEL,BAWANA_GAS,PUNJAB,DELHI,DELHI,JITPL,TPTCL,INSTINCT,MANIKARAN,MANIKARAN,TPTCL,APPCPL,NVVNL,NVVNL,
,,HIMACHAL_STATE,MP_State,UTTARAKHAND_STATE,NA,NA,NA,NA,NA,KERALA_State,KARNATAKA_STATE,NA,NA,HIMACHAL_STATE,Nagaland_State,MSEB_State,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,HIMACHAL_STATE,MSEB_State,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,NA,MP_State,ODISHA_STATE,NA,Arunachal_State,NA,NA,
,,HP,JP_BINA,UTTARAKHAND,Kameng,JPL2,JHAJJAR,JPL2,RKM_POWER,KSEB,NSLSUGAR,JPNIGRIE_JNSTPP,RKM_POWER,GBHHPL,Nagaland_Ben,AEML,ITCWIND,SIMHAPURI,SOLAPUR_SOLAR,TPSL_BKN2,TRN_ENERGY,RSRPL_BKN,HP,A_A_Energy_MH_Bio,APL_Raigarh_TPP,BAWANA_GAS,BAWANA_GAS,SKS_Raigarh,CHANJUII,JITPL,SIMHAPURI,JPL2,BLAPOWER_MP,MAADURGA_THERMAL,JITPL,Arunachal_Ben,JPNIGRIE_JNSTPP,SORANG_HEP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,TPDDL,BYPL,TPDDL,TPDDL,TPDDL,NDMC,NDMC,BYPL,MES_Delhi,BRPL,NDMC,DIAPL,BYPL,BYPL,ITCLH,BRPL,MES_Delhi,NDMC,NDMC,NDMC,BRPL,MES_Delhi,BRPL,HARYANA,PUNJAB,NDMC,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,
,,North-North,West-North,North-North,North East-East-North,West-North,North-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,North-North,North East-East-North,West-North,South-West-North,South-West-North,West-North,North-North,West-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,East-North,South-East-North,West-North,West-North,East-North,East-North,North East-East-North,West-North,North-North,
1,00:00-00:15,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.87,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.39,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.3999999999996

2,00:15-00:30,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.87,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.39,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.3999999999996

3,00:30-00:45,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.87,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.39,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.3999999999996

4,00:45-01:00,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.87,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.39,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.3999999999996

5,01:00-01:15,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.68,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.3,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.1199999999997

6,01:15-01:30,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.68,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.3,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.1199999999997

7,01:30-01:45,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.68,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.3,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.1199999999997

8,01:45-02:00,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.68,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.3,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.1199999999997

9,02:00-02:15,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.68,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.3,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.1199999999997

10,02:15-02:30,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.68,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.3,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.1199999999997

11,02:30-02:45,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.68,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.3,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.1199999999997

12,02:45-03:00,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,13.56,91.04,0.68,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.3,24.8,41.16,82.32,18.4,1.94,20.58,32.93,82.32,28.09,1301.1199999999997

13,03:00-03:15,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,0,91.04,0.63,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1254.4799999999998

14,03:15-03:30,60.53,48.42,84.43,164.89,0,53.27,37.41,37.41,67.8,4.84,0,37.41,8.72,0,91.04,0.63,0,0,0,6.78,0,181.59,3.87,41.16,0,0,12.47,12.2,24.8,41.16,82.32,18.4,1.94,20.58,0,82.32,28.09,1254.4799999999998

