Column1,Time,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/2039,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/09/01/2909,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/09/01/7452,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/1044,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7215,GNA/NR/2025/07/01/8128,GNA/NR/2025/09/01/6485,GNA/NR/2025/09/01/9418,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/9239,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/6755,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/7205,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/07/5932,GNA/NR/2025/09/01/4314,GNA/NR/2025/09/01/4602,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/WR/2025/08/25/1832,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,3.71,0,55.22,4.03,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,0,8.67,143.43,-0,20.48,0,0,0,0,24.01,0,0,0,0,0,0,0,0,0,14.67,14.67,43.99,0,46,46,12.33

2,00:15-00:30,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,3.71,0,55.22,2.13,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,0,8.67,143.43,-0,20.48,0,0,0,0,24.81,0,0,0,0,0,0,0,0,0,15,15,45,0,45.33,45.34,12.67

3,00:30-00:45,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,3.71,0,55.22,2.13,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,0,8.67,143.43,-0,20.48,0,0,0,0,26.01,0,0,0,0,0,0,0,0,0,15,15,45,0,45,45,12.67

4,00:45-01:00,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,3.71,0,55.22,2.13,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,0,8.67,143.43,-0,20.48,0,0,0,0,26.61,0,0,0,0,0,0,0,0,0,14.67,14.67,43.99,0,44.33,44.34,13

5,01:00-01:15,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,2.13,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,0,8.67,143.43,-0,20.48,0,0,0,0,28.41,0,0,0,0,0,0,0,0,0,16.67,16.67,49.99,0,48.33,48.34,16.67

6,01:15-01:30,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,2.13,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,0,8.67,143.43,-0,20.48,0,0,0,0,29.01,0,0,0,0,0,0,0,0,0,16.67,16.67,49.99,0,47.33,47.34,16.33

7,01:30-01:45,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,2.13,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,0,8.67,143.43,-0,20.48,0,0,0,0,29.61,0,0,0,0,0,0,0,0,0,16.67,16.67,49.99,0,46.67,46.66,16

8,01:45-02:00,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,2.13,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,0,8.67,143.43,-0,20.48,0,0,0,0,29.81,0,0,0,0,0,0,0,0,0,16.67,16.67,49.99,0,46,46,15.67

9,02:00-02:15,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.67,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,30.41,0,0,0,0,0,0,0,0,0,16.67,16.67,49.99,0,45,45,15

10,02:15-02:30,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,30.41,0,0,0,0,0,0,0,0,0,16.67,16.67,49.99,0,44,44,14

11,02:30-02:45,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,30.41,0,0,0,0,0,0,0,0,0,16.67,16.67,49.99,0,43.33,43.34,13.33

12,02:45-03:00,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,30.41,0,0,0,0,0,0,0,0,0,16.67,16.67,49.99,0,42.67,42.66,12.67

13,03:00-03:15,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,34.01,0,0,0,0,0,0,0,0,0,14.71,14.71,44.1,0,41.67,41.66,9.18

14,03:15-03:30,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,33.61,0,0,0,0,0,0,0,0,0,14.37,14.37,43.11,0,40.67,40.66,9.16

15,03:30-03:45,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,33.01,0,0,0,0,0,0,0,0,0,12.5,12.5,37.5,0,37.77,37.78,9.08

16,03:45-04:00,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,32.41,0,0,0,0,0,0,0,0,0,12.83,12.83,38.51,0,36.85,36.85,8.96

17,04:00-04:15,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,30.81,0,0,0,0,0,0,0,0,0,13.17,13.17,39.49,0,37.05,37.06,8.37

18,04:15-04:30,0,0,20.48,0,0,0,0,20.48,0,70.28,0,15.27,149.86,47.81,0,0,55.22,4.51,0,36.86,12.29,9.9,20.48,19.27,28.67,17.35,8.67,20.48,61.44,8.67,143.43,-0,20.48,40.96,0,0,0,31.61,0,0,0,0,0,0,0,0,0,13.5,13.5,40.5,0,37.82,37.83,8.23

