Time,Block,NR/2023/12922/F,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12813/F,NR/2023/13373/C,NR/2023/11709/A,NR/2023/10956/A,NR/2023/11266/A,NR/2023/13395/C,NR/2023/10947/A,NR/2023/11447/A,NR/2023/10432/A,NR/2023/13151/F,NR/2023/12921/F,NR/2023/12706/A,NR/2023/12917/F,NR/2023/12919/F,NR/2023/10720/A,NR/2023/12915/F,NR/2023/10460/A,NR/2023/10436/A,NR/2023/13367/D,NR/2023/13375/C,NR/2023/13368/D,NR/2023/12916/F,NR/2023/12872/F,NR/2023/10651/A,NR/2023/12956/F,NR/2023/10488/A,NR/2023/12920/F,NR/2023/13398/C,NR/2023/12814/F,NR/2023/11507/A,NR/2023/10959/A,NR/2023/11712/A,SR/2023/6080/C,NR/2023/12661/A,NR/2023/10435/A,NR/2023/13430/C,NR/2023/12169/A,NR/2023/13381/C,NR/2023/11953/A,NR/2023/12923/F,NR/2023/10561/A,NR/2023/13402/C,NR/2023/13360/D,NR/2023/13372/C,NR/2023/13366/D,NR/2023/13401/C,Total
,,SHPPBPL,SHPPBPL,STATKRAFT,MANIKARAN,SJVNL,MANIKARAN,NVVNL,TPTCL,HPXL,APPCPL,TPTCL,TPTCL,TPTCL,SHPPBPL,HPXL,SHPPBPL,SHPPBPL,KEIPL,SHPPBPL,GMRETL,APPCPL,NVVNL,GBHHPL,NVVNL,SHPPBPL,ITCLH,KEIPL,IEXL,TPTCL,SHPPBPL,TPDDL,MANIKARAN,TPTCL,NVVNL,MANIKARAN,HPXL,NVVNL,NVVNL,IEXL,APPCPL,PXIL,KEIPL,SHPPBPL,PTC,TS1PL_BKN,NVVNL,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,WEST BENGAL,TAMIL NADU,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ANDHRA PRADESH,MEGHALAYA,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,TAMIL NADU,DELHI,NA,NA,WEST BENGAL,HIMACHAL PRADESH,DELHI,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,
,,SHPPBPL,SHPPBPL,TANGEDCO,HP,IPCL_WB,TANGEDCO,JPNIGRIE_JNSTPP,KWHEP,Teesta_III,HP,HP-GOVT,NBVLIPP,HP-GOVT,SHPPBPL,B_S_ISPAT_MH,SHPPBPL,SHPPBPL,TANGEDCO,SHPPBPL,Meghalaya_Ben,Meghalaya_Ben,KAMENG,GBHHPL,SORANG_HEP,SHPPBPL,ITCWIND,Meghalaya_Ben,SAPU1234,APNRL,SHPPBPL,CHANJUII,HP,JPL,KAMENG,TANGEDCO,BYPL,SKS Raigarh,SEIL,WBSEDCL,HP,BYPL,Meghalaya_Ben,SHPPBPL,JPNIGRIE_JNSTPP,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,JHPL-DL,UHL,BYPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BYPL,BRPL,TPDDL,BRPL,MAX-HPTL,NDMC,BAL234,AISHER,BYPL,BAL184,BYPL,BYPL,TPDDL,DIAPL,TPDDL,BAL224,ITCLH,BYPL,MES (Delhi),TPDDL,BMDRC,TPDDL,BRPL,BRPL,BRPL,BRPL,TANGEDCO,NDMC,TPDDL,BRPL,BRPL,ASIL_UP,BYPL,MHIL,TPDDL,BYPL,MES (Delhi),BYPL,BRPL,BRPL,
,,North-North,North-North,South-West-North,North-North,East-North,South-West-North,West-North,North-North,East-North,North-North,North-North,East-North,North-North,North-North,West-North,North-North,North-North,South-West-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-North,North-North,North-North,South-West-North,North East-East-North,North-North,East-North,North-North,North-North,North-North,West-North,North East-East-North,South-West-North,North-East-South,West-North,South-West-North,East-West-North,North-North,North-North,North East-East-North,North-North,West-North,North-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,17.200000,48.360000,23.210000,12.710000,43.520000,33.650000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,23.800000,30.570000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.870000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1371.53

2,00:15-00:30,1.020000,0.610000,98.650000,62.870000,0.000000,23.150000,85.080000,17.200000,0.000000,23.210000,12.710000,43.520000,33.650000,0.930000,6.770000,0.920000,0.820000,23.700000,0.370000,23.210000,24.180000,23.800000,30.570000,0.000000,0.520000,0.480000,63.110000,4.840000,48.360000,0.930000,14.870000,85.600000,255.260000,21.270000,64.320000,0.00,62.870000,24.180000,0.000000,54.160000,0.000000,36.490000,0.610000,48.360000,0,0,0,0,0,1323.17
