Block,Time Block,BRBCL,BSIUL,DADRT2,CHAMERA1,CHAMERA3,DHAULIGNGA,FSTPP I & II,CHAMERA2,DULHASTI,RIHAND2,KHSTPP-I,KGSU3AND4,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,SINGRAULI_HYDRO,SIMHST1,TANAKPUR,TALA,RSTPSU1TO6,SIMHST2,RSTPSU7,SEWA2,SINGRAULI,SALAL,RIHAND3,TEHRI,TANDA2,TALST2,SASAN,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,ANTA_CRF,AURY_CRF,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,ANTA_RF,URI2,ANTA_LF,UNCHAHAR3,KGSU1AND2,JHAJJAR,RAPPC,PARBATI3,RIHAND1,RAPPB,RAPPD,RAMPUR,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,NAPP,PARBATI2,KOLDAM,KISHANGANGA,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.81,12.56,523.6,40.59,22.47,10.54,20.03,47,57.3,119.95,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.74,64.35,125.92,31.07,2.35,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.65,0,432.03,66.51,32.51,93.47,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,9.24,8.31,0,10.04,107.38,0,0,0,0,0,0,0,0

2,00:15-00:30,18.34,12.56,523.6,40.59,22.47,10.54,20.03,47,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,64.35,125.95,31.07,2.35,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,432.03,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,9.24,8.31,0,10.04,100.31,0,0,0,0,0,0,0,0

3,00:30-00:45,16.54,12.56,523.6,40.59,22.47,10.54,20.03,47,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,76.44,125.95,31.07,2.35,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,434.46,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,9.24,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

4,00:45-01:00,14.45,12.56,523.6,40.59,22.47,10.54,20.03,47,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,76.44,125.95,31.07,2.35,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,434.46,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,9.24,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

5,01:00-01:15,14.57,12.56,518.16,40.59,22.47,10.54,20.03,47,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,76.44,125.95,31.07,2.35,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,434.46,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,9.24,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

6,01:15-01:30,14.24,12.56,506.62,40.59,22.47,10.54,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,76.44,125.95,31.07,2.35,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,434.46,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,9.24,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

7,01:30-01:45,14.17,12.56,471.37,40.59,22.47,10.54,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,76.44,125.95,31.07,2.47,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,434.46,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

8,01:45-02:00,15.56,12.56,440.1,40.59,22.47,10.54,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,76.44,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,434.46,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

9,02:00-02:15,14.11,12.56,479.68,40.59,22.47,10.54,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,74.41,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,432.03,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

10,02:15-02:30,11.16,12.56,462.82,40.59,22.47,10.54,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,74.41,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,432.03,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

11,02:30-02:45,10.97,12.56,482.49,40.59,22.47,10.54,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,144.78,74.41,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,407.96,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

12,02:45-03:00,9.83,12.56,442.32,40.59,22.47,10.54,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,144.78,74.41,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,407.96,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

13,03:00-03:15,9.83,12.56,421.59,40.59,22.47,21.07,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,1.72,0,0,0,0,0,144.78,38.61,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,416.46,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

14,03:15-03:30,10.22,12.56,354.27,40.59,22.47,21.07,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,1.72,0,0,0,0,0,144.78,38.61,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,416.96,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

15,03:30-03:45,12.17,12.56,325.46,40.59,22.47,21.07,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,38.61,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,433.48,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

16,03:45-04:00,12.15,12.56,253.31,40.59,22.47,21.07,20.03,31.33,57.3,119.97,43.85,0,0,0,0,0,0,0,0,1.02,0,6.04,0,0,0,0,0,144.78,38.61,125.95,31.07,2.48,0,390.02,0,0,42.38,49.44,0,0,0,21.13,1.64,0,36.69,0,26.66,0,388.12,66.51,32.51,93.63,0,20.86,5.3,0,0,133.21,0,0,0,0,24.69,28.95,6.92,8.31,0,10.04,95.21,0,0,0,0,0,0,0,0

