Column1,Block,NR/2025/29985/A/87636,NR/2025/30334/A/87216,NR/2025/31266/C,GNARE/NR/2024/12/20/3668,NR/2025/31132/A/87665,NR/2025/31136/A/87824,NR/2025/31136/A/87820,NR/2025/31138/A/87886,NR/2025/31138/A/87887,NR/2025/31202/C,NR/2025/31137/A/87884,NR/2025/31137/A/87885,NR/2025/30101/A/87687,NR/2025/31212/C,NR/2025/31255/C,NR/2025/31259/C,NR/2025/29352/A/87482,NR/2025/31251/C,NR/2025/31252/C,NR/2025/31256/C,NR/2025/29915/A/87265,NR/2025/31210/C,NR/2025/31245/C,NR/2025/31253/C,NR/2025/30822/A/87633,NR/2025/31246/C,NR/2025/31126/A/87615,NR/2025/29628/A/87640,NR/2025/31205/C,NR/2025/27962/A/87654,NR/2025/29440/A/87272,NR/2025/30082/A/87681,NR/2025/30086/A/87627,NR/2025/30083/A/87629,NR/2025/30084/A/87628,NR/2025/30217/A/87625,NR/2025/31244/C,NR/2025/29439/A/87333,NR/2025/29910/A/87638,NR/2025/31178/C,NR/2025/29353/A/87479,NR/2025/30191/A/87215,NR/2025/30121/A/87213,NR/2025/31188/C,NR/2025/29167/A/87264,NR/2025/26975/A/87643,NR/2025/27978/A/87691,NR/2025/30067/A/87741,NR/2025/27970/A/87659,NR/2025/31154/C,NR/2025/27964/A/87656,NR/2025/27968/A/87658,NR/2025/31262/C,NR/2025/30105/A/87626,NR/2025/27963/A/87655,NR/2025/31224/C,NR/2025/28725/A/87664,NR/2025/31256/C/Alternate/1,NR/2025/29992/A/87336,NR/2025/31211/C,NR/2025/31254/C,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/3109,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,Total
,,BRPL,IEXL,MES_Delhi,SECI_Trader,GMRETL,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,GMRETL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,NVVNL,PowerPulse,APPCPL,NVVNL,PTC,APPCPL,APPCPL,NVVNL,TPTCL,PowerPulse,APPCPL,APPCPL,BRPL,IEXL,DIAPL,APPCPL,PowerPulse,PowerPulse,ITCLH,HPXL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,IVPL_Trader,APPCPL,BYPL,PTC,IEXL,IEXL,HPXL,TPTCL,APPCPL,NVVNL,MANIKARAN,PowerPulse,IEXL,PowerPulse,PowerPulse,NVVNL,APPCPL,PowerPulse,ITCLH,PowerPulse,NVVNL,BYPL,PowerPulse,APPCPL,PowerPulse,MANIKARAN,DELHI,PTC,BAWANA_GAS,PowerPulse,APPCPL,PUNJAB,APPCPL,NDMC,PowerPulse,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,NA,NA,MP_State,GoHP_Chamera1_STATE,NA,NA,NA,UTTARPRADESH_STATE,NA,KERALA_State,NA,NA,TAMILNADU_State,HIMACHAL_STATE,MSEB_State,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,MSEB_State,MSEB_State,KERALA_State,KERALA_State,GoHP_NJPC_STATE,NA,TAMILNADU_State,NA,MSEB_State,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,KERALA_State,NA,NA,NA,MSEB_State,HIMACHAL_STATE,NA,DELHI_UT,NA,GOA_State,DELHI_UT,GOA_State,NA,NA,
,,TS1PL_BKN,TPSL_BKN2,NTPCREL_PSS2_KPS2_S,APSEPL_FTG,JNEPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JP_BINA,APL_Raipur_TPP,RKM_POWER,JP_BINA,GoHP_Chamera1,SKS_Raigarh,RKM_POWER,Kameng,PPGCL,MAHAN_ENERGEN,KSEB,JIPL,DADRT2,PCBLTNLTD_UNIT2,GBHHPL,AEML,MAHAN_ENERGEN,APL_Raipur_TPP,ITCWIND,SKS_Raigarh,RKM_POWER,SKS_Raigarh,RKM_POWER,TRN_ENERGY,AEML,TPC_MSEB,KSEB,KSEB,GoHP_NJPC,IND_BHARAT,PCBLTNLTD_UNIT2,SKS_Raigarh,TPC_MSEB,Manipur_Ben,JPNIGRIE_JNSTPP,MBMP,APL_Raigarh_TPP,IND_BHARAT,MAHAN_ENERGEN,APL_Raigarh_TPP,JPNIGRIE_JNSTPP,JIPL,MAHAN_ENERGEN,ITCWIND,MAHAN_ENERGEN,Kameng,KSEB,APL_Raigarh_TPP,TRN_ENERGY,APL_Raipur_TPP,AEML,CHANJUII,MEENAKSHI,BAWANA_GAS,APL_Raipur_TPP,GOA_Beneficiary,BAWANA_GAS,GOA_Beneficiary,JPL2,MAHAN_ENERGEN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,MES_Delhi,MES_Delhi,TPDDL,DTCP,ABLWM1_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,BLKMH,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,TPDDL,TPDDL,NDMC,TPDDL,BRPL,NDMC,NDMC,TPDDL,BRPL,TPDDL,BYPL,NDMC,BRPL,MES_Delhi,DIAPL,BYPL,BRPL,TPDDL,ITCLH,BRPL,NDMC,NDMC,NDMC,NDMC,BYPL,BYPL,BYPL,BYPL,BRPL,BRPL,MES_Delhi,BRPL,BYPL,BYPL,TPDDL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,NDMC,TPDDL,ITCLH,BRPL,TPDDL,BYPL,TPDDL,NDMC,BRPL,BRPL,TPDDL,BRPL,HARYANA,BRPL,BRPL,PUNJAB,BRPL,NDMC,BRPL,
,,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,North-North,West-North,South-West-North,East-North,North-North,South-West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,North-North,East-North,South-West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,East-North,West-North,South-West-North,West-North,North East-East-West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,South-East-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.91,48.09,26.23,8.74,26.23,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.76,49.05,15.39,224.82,19.24,30,15.24,43.71,81.75,2448.51

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,32.14,0,0,0,28.61,0,0,0,20.44,0,0,0,134.65,0,12.5,105.8,0,96.18,0.91,48.09,26.23,8.74,26.23,7.69,0,25.08,19.24,0,81.75,48.09,6.73,0,54.1,26.45,96.18,204.38,0,0,0,144.27,0,17.49,144.27,0,143.07,192.36,44.24,0,0,134.89,20.75,17.76,49.05,15.39,224.82,19.24,30,15.24,43.71,81.75,2448.51

