Block,Time,SINGRAULI_HYDRO,UNCHAHAR1,SEWA2,UNCHAHAR2,ANTA_GF,RAPPC,CHAMERA1,DADRT2,RAPPB,BSIUL,ANTA_LF,KOLDAM,DADRI_RF,RIHAND2,TANAKPUR,DADRI_GF,ANTA_CRF,AURY_LF,RIHAND1,AURY_CRF,UNCHAHAR3,CHAMERA3,KISHANGANGA,JHAJJAR,DADRI_CRF,URI2,KOTESHWR,TANDA2,NJPC,ANTA_RF,DHAULIGNGA,PARBATI3,AURY_GF,RIHAND3,UNCHAHAR4,URI,DULHASTI,SALAL,RAMPUR,NAPP,SINGRAULI,AURY_RF,DADRI_LF,KUDGI,BRBCL,TEHRI,KHSTPP-I,TALA,FSTPP I & II,CHAMERA2,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.039356,11.459727,0.000000,36.107590,0.000000,49.616707,40.892067,442.152992,0.000000,6.358497,0.000000,0.000000,0.000000,114.604875,12.925392,0.000000,0.000000,0.000000,89.258400,0.000000,14.013084,28.196736,0.000000,551.296843,0.000000,31.844758,17.219110,0.000000,136.163107,0.000000,26.529828,0.000000,0.000000,119.980389,0.000000,47.128435,47.963347,83.425558,0.000000,38.545658,135.158562,0.000000,0.000000,38.57,18.249193,44.008272,41.223798,19.111000,18.340661,38.332718,406.290654,95.409468,0,0,0,0,0

2,00:15-00:30,1.039356,11.459727,0.000000,28.297746,0.000000,49.616707,40.892067,431.197725,0.000000,6.358497,0.000000,0.000000,0.000000,114.604875,12.925392,0.000000,0.000000,0.000000,89.258400,0.000000,13.785179,28.196736,0.000000,454.276843,0.000000,31.844758,17.219110,0.000000,136.163107,0.000000,26.529828,0.000000,0.000000,119.980389,0.000000,47.128435,47.963347,83.425558,0.000000,38.545658,135.158562,0.000000,0.000000,38.81,16.166869,44.008272,41.223798,19.111000,18.340661,38.332718,406.290654,95.409468,0,0,0,0,0

3,00:30-00:45,1.039356,10.408087,0.000000,21.118440,0.000000,49.616707,40.892067,426.920211,0.000000,6.358497,0.000000,0.000000,0.000000,114.604875,12.925392,0.000000,0.000000,0.000000,89.258400,0.000000,11.919880,28.196736,0.000000,330.838200,0.000000,31.844758,9.566172,0.000000,136.163107,0.000000,26.529828,0.000000,0.000000,119.980389,0.000000,6.426605,47.963347,83.425558,0.000000,38.545658,135.158562,0.000000,0.000000,27.17,17.832526,44.008272,41.223798,19.111000,18.340661,38.332718,406.290654,95.409468,0,0,0,0,0

4,00:45-01:00,1.039356,10.409797,0.000000,21.118440,0.000000,49.616707,40.892067,426.920211,0.000000,6.358497,0.000000,0.000000,0.000000,114.604875,12.925392,0.000000,0.000000,0.000000,89.258400,0.000000,11.929045,28.196736,0.000000,330.838200,0.000000,31.844758,8.609555,0.000000,136.163107,0.000000,26.529828,0.000000,0.000000,119.980389,0.000000,6.426605,47.963347,83.425558,0.000000,38.545658,135.158562,0.000000,0.000000,23.28,15.994653,44.008272,41.223798,19.111000,18.340661,38.332718,406.290654,95.409468,0,0,0,0,0

5,01:00-01:15,1.039356,10.409797,0.000000,26.944782,0.000000,49.616707,27.261378,377.804515,0.000000,6.358497,0.000000,0.000000,0.000000,114.604875,12.925392,0.000000,0.000000,0.000000,89.258400,0.000000,11.929045,28.196736,0.000000,342.480600,0.000000,9.788348,8.609555,0.000000,136.163107,0.000000,26.529828,0.000000,0.000000,119.980389,0.000000,6.426605,47.963347,83.425558,0.000000,38.545658,135.158562,0.000000,0.000000,31.05,13.799536,44.008272,28.627691,19.111000,9.959491,38.332718,406.290654,63.207657,0,0,0,0,0

