Time,Block,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/30092023/31122025/SH-07,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/R2,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21144/A/26303,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/21210/A/26286,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21062/A/26362,NR/2024/21476/C,NR/2024/21099/A/26289,NR/2024/21199/A/26305,NR/11072024/11072024/IEX_240710_01473,NR/01102023/23072042/L_NR_2012_04,NR/2024/19779/A/26266,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21227/A/26575,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21148/A/26331,NR/2024/21108/A/26571,NR/2024/20877/A/26593,NR/2024/21156/A/26337,NR/2024/21173/A/26388,NR/2024/21339/A/26283,NR/01102023/02012046/L_NR_2021_17,NR/2024/21096/A/26584,NR/2024/21160/A/26334,SR/2024/13489/C,NR/2024/21243/A/26299,NR/2024/21146/A/26333,NR/2024/21103/A/26576,NR/2024/21075/A/26632,NR/2024/21158/A/26330,NR/2024/21152/A/26244,NR/2024/21089/A/26581,NR/2024/21023/A/26307,NR/2024/20574/A/26597,NR/2024/21458/C,NR/2024/20573/A/26539,NR/2024/21076/A/26630,NR/2024/21238/A/26640,NR/2024/21141/A/26288,NR/2024/21113/A/26579,NR/2024/21104/A/26573,NR/2024/21312/A/26161,NR/2024/21150/A/26332,NR/2024/21072/A/26582,NR/2024/20711/A/26645,NR/2024/21153/A/26336,NR/2024/20966/A/26245,NR/2024/21376/A/26644,NR/2024/20930/A/26504,NR/2024/21087/A/26390,NR/2024/21459/C,NR/2024/21142/A/26287,NR/2024/21460/C,NR/2024/20688/A/26392,NR/01102023/14082046/L_NR_2021_16,NR/2024/21159/A/26338,NR/2024/21183/A/26634,NR/2024/21186/A/26592,Total
,,TPTCL,BAWANA_GAS,AEL,PTC,NDMC,DTCP,DELHI,APPCPL,NDMC,PUNJAB,TPTCL,INSTINCT,PTC,IEXL,TPTCL,INSTINCT,IEXL,TPTCL,ITCLH,INSTINCT,MEJA,APPCPL,TPDDL,BAL224,APPCPL,NVVNL,UHL,GMRETL,TPTCL,SECI_Trader,APPCPL,BMDRC,HPXL,BRPL,BAL184,APPCPL,MANIKARAN,MSSH,IEXL,NVVNL,INSTINCT,PTC,NVVNL,PTC,MANIKARAN,MANIKARAN,TPTCL,NVVNL,APPCPL,DIAPL,BAL234,NVVNL,TPDDL,JHPL-DL,IEXL,TPDDL,AEL,GMRETL,NVVNL,TPTCL,NVVNL,GMRETL,SECI_Trader,MHIL,MANIKARAN,NVVNL,Total

,,NA,DELHI,NA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,ARUNACHAL PRADESH,NA,DELHI,NA,NA,NA,NA,NA,MAHARASHTRA,NA,NA,ANDHRA PRADESH,MAHARASHTRA,UTTAR PRADESH,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,NA,HIMACHAL PRADESH,ODISHA,NA,NA,KERALA,HIMACHAL PRADESH,DELHI,NA,HIMACHAL PRADESH,UTTARAKHAND,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,MAHARASHTRA,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,RAJASTHAN,NA,HIMACHAL PRADESH,MP,MP,
,,JITPL,BAWANA_GAS,APL_Raigarh TPP,SEILP2,JITPL,SHPPBPL,MSEB_Beneficiary,Arunachal_Ben,SKS Raigarh,BAWANA_GAS,SIMHAPURI,JPL,SEILP2,RGPPL-RLNG,ACBIL,JPL_DHULE,JPL,MPL,ITCWIND,JPL_DHULE,MEJA,Nagaland_Ben,CHANJUII,SHPPBPL,Manipur_Ben,JPNIGRIE_JNSTPP,SHPPBPL,GMRKEL (STU),JITPL,SBSRPC11PL_BKN,KSEB,SHPPBPL,BYPL,DADRT2,SHPPBPL,UTTARAKHAND,GOA_Beneficiary,SHPPBPL,NHCPL_HP,RKM_POWER,JPL,HP,SOLAPUR_SOLAR,HP,AEML,MMS STEEL TN,TPC MSEB,JPL-2,TANGEDCO,GBHHPL,SHPPBPL,RKM_POWER,JPL-2,SHPPBPL,A_A_Energy_MH_Bio,JHAJJAR,APL_Raigarh TPP,GBHHPL,KAMENG,HP-GOVT,SORANG_HEP,RUVNL,SBSRPC11PL_BKN,SHPPBPL,BLAPOWER_MP,JP BINA,
,,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,HARYANA,BRPL,BRPL,NDMC,DTCP,TPDDL,BRPL,NDMC,PUNJAB,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,TPDDL,ITCLH,BRPL,DELHI,BYPL,TPDDL,BAL224,BRPL,TPDDL,UHL,BRPL,BRPL,BYPL,BYPL,BMDRC,TANGEDCO,BRPL,BAL184,BYPL,BRPL,MSSH,MES (Delhi),NDMC,BRPL,BYPL,MES (Delhi),BRPL,BYPL,BRPL,BYPL,NDMC,BYPL,DIAPL,BAL234,NDMC,TPDDL,JHPL-DL,MES (Delhi),TPDDL,BRPL,BRPL,TPDDL,BRPL,TPDDL,BYPL,TPDDL,MHIL,BRPL,TPDDL,
,,East-North,North-North,West-North,South-West-North,East-North,North-North,West-North,North East-East-North,West-North,North-North,South-West-North,West-North,South-East-North,West-North,West-North,West-North,West-North,East-North,South-West-North,West-North,North-North,North East-East-North,North-North,North-North,North East-East-North,West-North,North-North,East-North,East-North,North-North,South-West-North,North-North,North-East-South,North-North,North-North,North-North,West-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,West-North,South-West-North,West-North,West-North,South-West-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,West-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,81.880000,31.000000,163.760000,20.470000,15.520000,0.480000,0.000000,32.750000,12.410000,31.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.630000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,67.430000,0.970000,0.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2321.83

2,00:15-00:30,81.880000,31.000000,163.760000,20.470000,15.520000,0.480000,0.000000,32.750000,12.410000,31.000000,40.940000,81.880000,0.000000,0.000000,20.470000,0.000000,144.500000,0.000000,0.630000,61.410000,0.000000,12.190000,15.450000,0.520000,24.010000,96.330000,0.610000,20.710000,0.000000,0,67.430000,0.970000,37.00,134.860000,0.360000,83.980000,11.700000,0.670000,1.930000,37.210000,0.000000,18.060000,0,54.190000,90.550000,2.890000,47.640000,37.210000,64.620000,7.710000,0.880000,37.210000,96.330000,1.590000,4.820000,240.820000,0.000000,20.710000,164.000000,40.940000,27.940000,66.650000,0,0.880000,0.000000,48.160000,2358.83
