Block,Time,SASAN,KHSTPP-I,BRBCL,TALA,KHSTPP-II,FSTPP I & II,CHAMERA3,DADRI_RF,UNCHAHAR4,RIHAND2,DADRI_CRF,UNCHAHAR3,URI,ANTA_RF,SALAL,UNCHAHAR1,DADRT2,PARBATI3,URI2,JHAJJAR,DHAULIGNGA,KOTESHWR,RIHAND3,DULHASTI,SEWA2,AURY_GF,RAPPC,KOLDAM,TANDA2,AURY_CRF,CHAMERA1,SINGRAULI_HYDRO,SINGRAULI,CHAMERA2,RIHAND1,ANTA_GF,NAPP,DADRI_GF,KISHANGANGA,RAPPB,TEHRI,TANAKPUR,NJPC,UNCHAHAR2,DADRI_LF,ANTA_CRF,AURY_RF,RAMPUR,AURY_LF,ANTA_LF,BSIUL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,390.784500,42.754719,19.298002,0.000000,143.094670,20.069920,33.608676,66.119396,2.981541,120.014262,0.000000,26.668853,31.957488,48.420331,80.727394,21.744202,664.252547,17.666319,36.560562,407.612356,42.008019,0.000000,125.996738,57.098346,18.140715,0.000000,65.604402,8.949257,5.170020,0.000000,40.668682,1.149350,144.715991,46.797484,93.649279,0.000000,46.374858,0.000000,8.047894,0.000000,0.000000,2.966489,173.645772,42.138823,0.000000,0.000000,68.624340,6.508748,0.000000,0.000000,6.291920,0,0,0,0,0

2,00:15-00:30,390.784500,42.754719,18.819787,0.000000,143.094670,20.069920,33.608676,71.798171,2.981541,120.014262,0.000000,26.668853,31.957488,48.420331,80.727394,21.832599,664.252547,17.666319,36.560562,407.612356,42.008019,0.000000,125.996738,57.098346,18.140715,0.000000,65.604402,8.949257,5.170020,0.000000,40.668682,1.149350,144.715991,46.797484,93.649279,0.000000,46.374858,0.000000,8.047894,0.000000,0.000000,2.966489,173.645772,42.138823,0.000000,0.000000,73.723968,6.508748,0.000000,0.000000,6.291920,0,0,0,0,0

3,00:30-00:45,390.784500,42.754719,17.576140,0.000000,143.094670,20.069920,33.608676,71.798171,2.981541,120.014262,0.000000,26.668853,31.957488,48.420331,80.727394,21.832599,664.252547,17.666319,36.560562,407.612356,42.008019,0.000000,125.996738,57.098346,12.087690,0.000000,65.604402,8.949257,5.170020,0.000000,40.668682,1.149350,144.715991,46.797484,93.649279,0.000000,46.374858,0.000000,8.047894,0.000000,0.000000,9.764692,173.645772,42.138823,0.000000,0.000000,73.723968,6.508748,0.000000,0.000000,6.291920,0,0,0,0,0

4,00:45-01:00,390.784500,42.754719,16.276221,0.000000,143.094670,20.069920,33.608676,51.535271,2.981541,120.014262,0.000000,26.668853,31.957488,29.122331,80.727394,21.832599,664.252547,17.666319,36.560562,407.612356,42.008019,0.000000,125.996738,57.098346,12.087690,0.000000,65.604402,8.949257,5.170020,0.000000,40.668682,1.149350,144.715991,46.797484,93.649279,0.000000,46.374858,0.000000,8.047894,0.000000,0.000000,9.764692,173.645772,42.138823,0.000000,0.000000,41.882268,6.508748,0.000000,0.000000,6.291920,0,0,0,0,0

5,01:00-01:15,390.784500,42.754719,15.030859,0.000000,143.094670,20.069920,33.608676,11.009471,2.981541,120.014262,0.000000,26.668853,31.957488,4.912564,80.727394,21.832599,664.542017,17.666319,36.560562,407.292588,42.008019,0.000000,125.996738,57.098346,10.710611,0.000000,65.604402,8.949257,5.170020,0.000000,40.668682,1.149350,144.715991,46.797484,93.649279,0.000000,46.374858,0.000000,8.047894,0.000000,0.000000,3.584507,173.645772,42.138823,0.000000,0.000000,5.291765,6.508748,0.000000,0.000000,6.291920,0,0,0,0,0

