Column1,Block,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2143,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2594,WR/2025/26047/A/51914,ER/2025/15683/A/51909,NR/2025/24882/A/51689,NR/2025/25070/A/51946,NR/2025/24992/A/51688,NR/2024/24418/A/51706,NER/2025/2918/A/51911,NR/2025/25134/C,NR/2025/25135/C,Total
,,PUNJAB,NDMC,DELHI,BAWANA_GAS,NDMC,NDMC,NDMC,APPCPL,APPCPL,MANIKARAN,APPCPL,TPTCL,NDMC,APPCPL,APPCPL,IEXL,NVVNL,IEXL,ITCLH,APPCPL,SJVNL,SJVNL,
,,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,TELANGANA_State,NA,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,
,,BAWANA_GAS,RKM_POWER,CHANJUII,BAWANA_GAS,TRN_ENERGY,JPL2,SKS_Raigarh,BYPL,BYPL,BRPL,BYPL,BYPL,RKM_POWER,BRPL,BYPL,NSLKSLWPRTY,JIPL,NSLSUGARALAND,ITCWIND,BYPL,RSRPL_BKN,TPSL_BKN2,
,,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,KERALA_State,MSEB_State,MSEB_State,MSEB_State,DELHI_UT,GOA_State,SIKKIM_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,
,,PUNJAB,NDMC,TPDDL,HARYANA,NDMC,NDMC,NDMC,KSEB,KSEB,AEML,AEML,TPC_MSEB,NDMC,GOA_Beneficiary,SIKKIM,MES_Delhi,NDMC,MES_Delhi,ITCLH,Manipur_Ben,NDMC,NDMC,
,,North-North,West-North,North-North,North-North,West-North,West-North,West-North,North-West-South,North-West-South,North-West,North-West,North-West,West-North,North-West,North-East,South-West-North,East-North,South-West-North,South-West-North,North-East-North East,North-North,North-North,
1,00:00-00:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

2,00:15-00:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

3,00:30-00:45,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

4,00:45-01:00,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

5,01:00-01:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

6,01:15-01:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

7,01:30-01:45,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

8,01:45-02:00,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

9,02:00-02:15,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

10,02:15-02:30,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

11,02:30-02:45,26.12,23.08,1.29,32,8.65,23.08,8.65,0,75,0,0,0,23.08,0,7.34,2.88,17.31,6.73,0.38,9.17,0,0,264.76

