Time,Block,NR/2024/20142/A/20693,NR/2024/20144/A/20694,NR/2024/20141/A/20692,NR/2024/20037/A/20640,NR/2024/19637/A/20659,NR/2024/20526/C,NR/2024/19918/A/20945,NR/2024/20052/A/20459,NR/2024/19760/A/20641,NR/2024/20130/A/20630,NR/2024/19588/A/20902,NR/2024/20520/C,NR/2024/20502/C,NR/2024/20031/A/20934,NR/2024/20212/A/20691,NR/2024/20211/A/20688,NR/2024/19791/A/20946,NR/2024/20501/C,NR/2024/20033/A/20935,NR/2024/20528/C,NR/2024/20048/A/20916,NR/2024/20109/A/21075,NR/2024/20500/C,NR/2024/19919/A/20957,NR/2024/20350/A/20458,NR/2024/19757/A/20936,NR/2024/19966/A/20653,NR/2024/20034/A/20933,NR/2024/19475/A/20900,NR/2024/19699/A/20940,NR/2024/20517/C,NR/2024/20041/A/20917,NR/2024/19779/A/20622,NR/2024/19683/A/20571,NR/2024/20090/A/20544,NR/2024/20050/A/20915,NR/2024/19355/A/21076,NR/2024/19432/A/20939,Total
,,BAL224,BAL234,BAL184,TPTCL,INSTINCT,IEXL,APPCPL,DIAPL,TPTCL,DTCP,GMRETL,HPXL,NVVNL,NVVNL,UHL,JHPL-DL,APPCPL,NVVNL,NVVNL,PXIL,PTC,TPDDL,NVVNL,APPCPL,DIAPL,NVVNL,BRPL,NVVNL,AEL,NVVNL,SJVNL,PTC,ITCLH,IEXL,IEXL,PTC,TPDDL,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,RAJASTHAN,KERALA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,KERALA,HIMACHAL PRADESH,TAMIL NADU,MAHARASHTRA,NA,NA,MP,NA,MAHARASHTRA,ANDHRA PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,
,,SHPPBPL,SHPPBPL,SHPPBPL,JPL_DHULE,JPL-2,HP-GOVT,Nagaland_Ben,GBHHPL,SIMHAPURI,SHPPBPL,RUVNL,KSEB,KAMENG,RKM_POWER,SHPPBPL,SHPPBPL,TANGEDCO,SORANG_HEP,SKS Raigarh,HP-GOVT,HP,JHAJJAR,SOLAPUR_SOLAR,KSEB,GBHHPL,TANGEDCO,IEPLBELA2022,RKM_POWER,APL_Raipur TPP,JP BINA,RSRPL_BKN,JPL_DHULE,ITCWIND,NHCPL_HP,A_A_Energy_MH_Bio,HP,JPL-2,SEIL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BAL224,BAL234,BAL184,TPDDL,BRPL,BRPL,BYPL,DIAPL,BRPL,DTCP,BYPL,BRPL,TPDDL,NDMC,UHL,JHPL-DL,BYPL,TPDDL,NDMC,BRPL,BYPL,TPDDL,MES (Delhi),BYPL,DIAPL,BRPL,BRPL,NDMC,BRPL,TPDDL,NDMC,BRPL,ITCLH,MES (Delhi),MES (Delhi),BRPL,TPDDL,TPDDL,
,,North-North,North-North,North-North,West-North,West-North,North-North,North East-East-North,North-North,South-West-North,North-North,North-North,South-East-North,North East-East-North,West-North,North-North,North-North,South-West-North,North-North,West-North,North-North,North-North,North-North,West-North,South-West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,North-North,West-North,North-North,West-North,South-West-North,
1,00:00-00:15,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,192.980000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.630000,1.930000,1.930000,90.460000,96.490000,24.120000,2019.47

2,00:15-00:30,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,192.980000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.630000,1.930000,1.930000,90.460000,96.490000,24.120000,2019.47

3,00:30-00:45,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,192.980000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.630000,1.930000,1.930000,90.460000,96.490000,24.120000,2019.47

4,00:45-01:00,0.520000,0.880000,0.350000,72.370000,0.000000,96.490000,13.510000,8.680000,0.000000,0.480000,66.760000,192.980000,166.930000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.630000,1.930000,1.930000,90.460000,96.490000,24.120000,2019.47

5,01:00-01:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.580000,1.930000,1.930000,90.460000,96.490000,24.120000,1722.51

6,01:15-01:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,144.740000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.580000,1.930000,1.930000,90.460000,96.490000,24.120000,1722.51

7,01:30-01:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,0.000000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.580000,1.930000,1.930000,90.460000,96.490000,24.120000,1577.77

8,01:45-02:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,48.240000,111.250000,43.850000,0.610000,1.590000,64.730000,0.000000,14.620000,0.000000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,43.850000,192.980000,48.240000,0,0.000000,0.580000,1.930000,1.930000,90.460000,96.490000,24.120000,1577.77

9,02:00-02:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,90.460000,96.490000,24.120000,1514.13

10,02:15-02:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,90.460000,96.490000,24.120000,1514.13

11,02:30-02:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,90.460000,96.490000,24.120000,1514.13

12,02:45-03:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,241.220000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.530000,1.930000,1.930000,90.460000,96.490000,24.120000,1514.13

13,03:00-03:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,183.330000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.480000,1.930000,1.930000,90.460000,96.490000,24.120000,1456.19

14,03:15-03:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,183.330000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.480000,1.930000,1.930000,90.460000,96.490000,24.120000,1456.19

15,03:30-03:45,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,183.330000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.480000,1.930000,1.930000,90.460000,96.490000,24.120000,1456.19

16,03:45-04:00,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,183.330000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.480000,1.930000,1.930000,90.460000,96.490000,24.120000,1456.19

17,04:00-04:15,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,183.330000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.480000,1.930000,1.930000,90.460000,96.490000,24.120000,1456.19

18,04:15-04:30,0.520000,0.880000,0.350000,72.370000,0.000000,0.000000,13.510000,8.680000,0.000000,0.480000,66.760000,0.000000,111.250000,37.270000,0.610000,1.590000,64.730000,0.000000,12.430000,0.000000,30.150000,183.330000,0,308.770000,0.000000,48.610000,0.000000,37.270000,192.980000,48.240000,0,0.000000,0.480000,1.930000,1.930000,90.460000,96.490000,24.120000,1456.19

