Time,Block,NR/2023/15152/C,NR/2023/15095/D,ER/2023/9251/C,NR/2023/15090/D,NR/2023/15093/D,NR/2023/11654/A,NR/2023/13983/F,NR/2023/14187/F,NR/2023/11328/A,NR/2023/15113/C,NR/2023/11325/A,NR/2023/11470/A,NR/2023/13284/A,NR/2023/14688/F,NR/2023/11954/A,NR/2023/13983/F/II,NR/2023/15101/C,NR/2023/11739/A,NR/2023/15114/C,NR/2023/15109/C,NR/2023/11458/A,NR/2023/11697/A,NR/2023/11203/A,NR/2023/15096/D,NR/2023/13573/A,NR/2023/15105/C,NR/2023/11469/A,NR/2023/14688/F/II,NR/2023/11315/A,NR/2023/13283/A,NR/2023/13858/A,NR/2023/15091/D,NR/2023/13859/A,NR/2023/15102/C,NR/2023/12646/A,NR/2023/15154/C,Total
,,IEXL,TS1PL_BKN,HPXL,NVVNL,TS1PL_BKN,TPTCL,ITCLH,GBHHPL,APPCPL,IEXL,APPCPL,NVVNL,APPCPL,GMRETL,KEIPL,ITCLH,GBHHPL,NVVNL,IEXL,HPXL,STATKRAFT,APPCPL,KEIPL,SJVNL,NVVNL,HPXL,NVVNL,GMRETL,GMRETL,APPCPL,MANIKARAN,NVVNL,MANIKARAN,IEXL,MANIKARAN,HPXL,Total

,,NA,NA,DELHI,NA,NA,NA,ANDHRA PRADESH,HIMACHAL PRADESH,UTTARAKHAND,NA,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,MEGHALAYA,ANDHRA PRADESH,HIMACHAL PRADESH,MP,NA,NA,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,UTTAR PRADESH,NA,UTTAR PRADESH,NA,GOA,MEGHALAYA,GOA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KARNATAKA,TAMIL NADU,NA,
,,HIRIYUR_OSTROKANNADA,TS1PL_BKN,BYPL,SOLAPUR_SOLAR,TS1PL_BKN,JPL-2,ITCWIND,GBHHPL,UTTARAKHAND,ADHPL,Meghalaya_Ben,KAMENG,HP,GOA_Beneficiary,Meghalaya_Ben,ITCWIND,GBHHPL,JP BINA,SCLTPS,Teesta_III,TANGEDCO,HP,Meghalaya_Ben,BCMLB001,SKS Raigarh,PPGCL,JPNIGRIE_JNSTPP,GOA_Beneficiary,Meghalaya_Ben,GOA_Beneficiary,HP,KAMENG,HP,NSLSUGAR,TANGEDCO,SIMHAPURI,
,,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,VLSEZ,MES (Delhi),BYPL,BRPL,ITCLH,DIAPL,BYPL,BRPL,BYPL,BRPL,BRPL,TPDDL,BYPL,ITCLH,DIAPL,BRPL,BRPL,BRPL,BYPL,BYPL,BYPL,NDMC,NDMC,BYPL,BRPL,TPDDL,BYPL,BRPL,BRPL,TPDDL,BRPL,MES (Delhi),BRPL,BRPL,
,,South-East-North,North-North,North-East,West-North,North-North,West-North,South-West-North,North-North,North-North,North-North,North East-East-North,North East-East-North,North-North,West-North,North East-East-North,South-East-North,North-North,West-North,North-North,East-North,South-West-North,North-North,North East-East-North,North-North,West-North,North-North,West-North,West-East-North,North East-East-North,West-North,North-North,North East-East-North,North-North,South-East-North,South-West-North,South-East-North,
1,00:00-00:15,0,0,0.000000,0,0,152.530000,0.630000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,0.000000,36.420000,0.240000,3.190000,42.470000,106.190000,434.430000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1899.48

2,00:15-00:30,0,0,0.000000,0,0,152.530000,0.630000,3.860000,48.270000,43.440000,24.140000,21.230000,81.770000,0.000000,36.420000,0.240000,3.190000,42.470000,86.890000,434.430000,98.470000,35.040000,62.990000,0.000000,62.750000,0.000000,84.940000,14.480000,22.200000,24.140000,84.470000,193.080000,188.250000,6.760000,23.100000,0.000000,1880.18
