Block,Time Block,KOLDAM,KISHANGANGA,MAPS,KUDGI,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,BRBCL,DULHASTI,DADRT2,CHAMERA1,BSIUL,CHAMERA3,JHAJJAR,KGSU3AND4,KGSU1AND2,DHAULIGNGA,FSTPP I & II,CHAMERA2,UNCHAHAR4,ANTA_RF,ANTA_CRF,URI2,UNCHAHAR3,ANTA_LF,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,ANTA_GF,VALLURNTECL,UNCHAHAR1,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,RAPPB,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NAPP,RAMPUR,RAPPC,NNTPP,NTPL,PARBATI3,TANDA2,RIHAND2,SASAN,RIHAND1,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,TALST2,RSTPSU7,TANAKPUR,SINGRAULI,SALAL,SEWA2,RIHAND3,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,32.62,8.51,142.31,0,0,19.19,31.63,291.08,0,0,0,231.46,0,0,8.74,17.2,2.3,0,0,0,4.39,25.32,0,0,22.37,1.07,0,0,0,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38,0,50.04,0,0,0,0,113.96,401.85,88.28,0,0,0,0,0,0,11.44,98.6,13.39,0,119.3,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,32.62,8.51,142.31,0,0,17.73,31.63,287.29,0,0,0,231.46,0,0,8.74,17.2,2.3,0,0,0,4.39,19.24,0,0,22.37,1.07,0,0,0,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38,0,50.04,0,0,0,0,113.96,401.85,88.28,0,0,0,0,0,0,11.44,98.6,76.17,0,119.3,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,32.62,8.51,142.31,0,0,16.43,31.63,287.29,0,0,0,231.46,0,0,8.74,13.86,2.3,0,0,0,4.39,19.24,0,0,22.37,1.07,0,0,0,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38,0,50.04,0,0,0,0,113.96,401.85,88.28,0,0,0,0,0,0,4.92,84.92,76.17,0,119.3,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,32.62,8.51,142.31,0,0,17.24,31.63,287.29,0,0,0,231.46,0,0,8.74,13.86,2.3,0,0,0,4.39,19.24,0,0,22.37,1.07,0,0,0,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38,0,50.04,0,0,0,0,113.96,401.85,88.28,0,0,0,0,0,0,4.92,84.92,76.17,0,119.3,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,32.62,8.51,142.31,0,0,12.72,31.63,287.29,0,0,0,231.46,0,0,1.27,15.38,2.3,0,0,0,4.39,19.24,0,0,18.76,1.07,0,0,0,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38,0,50.04,0,0,0,0,113.96,401.85,88.28,0,0,0,0,0,0,4.92,84.92,76.17,0,119.3,0,0,0,0,0,0

