Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7960,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1333,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/9334,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/4565,WR/2025/27361/A/61331,NR/2025/25791/A/61303,NR/2025/25795/A/61300,NR/2025/25826/C,WR/2025/27369/A/61413,WR/2025/27350/A/61050,NR/2025/25790/A/61304,NR/2025/25792/A/61302,NR/2025/25794/A/61301,NR/2025/25752/A/60913,GNARE/NR/2024/12/20/3668,Total
,,BAWANA_GAS,HPXL,DELHI,NDMC,IVPL_Trader,IEXL,IEXL,IEXL,IEXL,IEXL,APPCPL,IEXL,PUNJAB,PXIL,APPCPL,APPCPL,APPCPL,DIAPL,MANIKARAN,KEIPL,APPCPL,APPCPL,APPCPL,IEXL,SECI_Trader,
,,DELHI_UT,CSEB_State,HIMACHAL_STATE,NA,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,SIKKIM_STATE,SIKKIM_STATE,SIKKIM_STATE,DELHI_UT,SIKKIM_STATE,DELHI_UT,UTTARPRADESH_STATE,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,
,,BAWANA_GAS,MSPLTD,CHANJUII,JPL2,BYPL,KGEPL_HP,RHPPL_HP,LLHEP1234,MEYONGCHU_HEP,RCHEP,BYPL,Kalez_Khola_HEP,BAWANA_GAS,LAPL_UP,BYPL,JIPL,TRN_ENERGY,GBHHPL,BYPL,BYPL,SKS_Raigarh,RKM_POWER,RKM_POWER,TPSL_BKN2,APSEPL_FTG,
,,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,BRPL,TPDDL,NDMC,TPC_MSEB,BRPL,BRPL,BRPL,BRPL,BRPL,KSEB,BRPL,PUNJAB,BRPL,CSEB_Beneficiary,NDMC,NDMC,DIAPL,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,NDMC,NDMC,MES_Delhi,TPDDL,
,,North-North,West-North,North-North,West-North,North-West,North-North,North-North,East-North,East-North,East-North,North-West-South,East-North,North-North,North-North,North-West,East-North,West-North,North-North,North-West,North-West,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,30.5,9.62,7.27,25.97,0,9.62,1.92,9.62,2.89,2.89,52.5,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,568.34

2,00:15-00:30,30.5,9.62,7.27,25.97,0,9.62,1.92,9.62,2.89,2.89,52.5,2.89,30.5,48.1,48.1,10.33,6.73,0,48.1,144.28,10.93,32.79,32.79,0,0,568.34

