Block,Time,L_NR_2019_07,LT-05,L_NR_2012_01,LT-36,L_NR_2022_09,L_NR_2019_05,L_NR_2020_07,L_NR_2019_06,SH-06,L_NR_2022_08,L_NR_2020_05,L_NR_2018_61,L_NR_2021_15,LT_MEJA_Delhi,LT-59,LT-35,L_NR_2019_11,L_NR_2012_02,L_NR_2020_06,L_NR_2020_02,LT-31,L_NR_2012_04,L_NR_2022_10,L_NR_2021_16,L_NR_2021_17,SH-07,L_NR_2019_19,L_NR_2012_07,L_NR_2021_12,L_NR_2021_14,L_NR_2021_13
1,00:00-00:15,0,116.050000,101.240000,0.000000,37.47,0,18.54,0,0.000000,9.17,55.67,6.9,0,6.170000,4.190000,0.000000,4.000000,261.530000,18.56,4.470000,0.000000,271.830000,37.47,0,0,0.000000,0.000000,87.180000,0,0,0

2,00:15-00:30,0,116.050000,101.240000,0.000000,37.82,0,18.52,0,0.000000,9.2,55.56,6.89,0,6.170000,4.190000,0.000000,4.000000,261.530000,18.52,4.470000,0.000000,271.830000,37.82,0,0,0.000000,0.000000,87.180000,0,0,0

3,00:30-00:45,0,116.050000,101.240000,0.000000,34.82,0,18.51,0,0.000000,9.21,55.51,6.89,0,6.170000,4.190000,0.000000,4.000000,261.530000,18.5,4.470000,0.000000,271.830000,34.82,0,0,0.000000,0.000000,87.180000,0,0,0

4,00:45-01:00,0,116.050000,101.240000,0.000000,34.93,0,18.51,0,0.000000,9.19,55.51,6.98,0,6.170000,4.190000,0.000000,4.000000,261.530000,18.5,4.470000,0.000000,271.830000,34.93,0,0,0.000000,0.000000,87.180000,0,0,0

5,01:00-01:15,0,116.050000,101.240000,0.000000,35.11,0,18.52,0,0.000000,9.39,55.53,6.98,0,6.170000,4.190000,0.000000,4.000000,261.530000,18.51,4.470000,0.000000,271.830000,35.11,0,0,0.000000,0.000000,87.180000,0,0,0

