Time,Block,NR/2023/17938/C,NR/2023/17901/A/779,NR/2023/17905/A/751,NR/2023/16187/A,NR/2023/17064/A,WR/2023/20254/A/811,WR/2023/18560/A,NR/2023/17937/C,NR/2023/17941/C,WR/2023/18560/A/II,WR/2023/20256/A/812,Total
,,TPDDL,ITCLH,IEXL,APPCPL,GMRETL,APPCPL,MANIKARAN,NVVNL,SJVNL,MANIKARAN,MANIKARAN,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,NA,NA,DELHI,DELHI,
,,CHANJUII,ITCWIND,BSHP,BYPL,BYPL,BRPL,BYPL,SOLAPUR_SOLAR,RSRPL_BKN,BYPL,BRPL,
,,DELHI,DELHI,DELHI,HIMACHAL PRADESH,RAJASTHAN,GOA,MAHARASHTRA,DELHI,DELHI,MAHARASHTRA,GOA,
,,TPDDL,ITCLH,MES (Delhi),HP,RUVNL,GOA_Beneficiary,AEML,MES (Delhi),NDMC,AEML,GOA_Beneficiary,
,,North-North,South-West-North,North-North,North-North,North-North,North-West,North-West,West-North,North-North,North-East-West,North-West,
1,00:00-00:15,3.880000,0.480000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

2,00:15-00:30,3.880000,0.480000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

3,00:30-00:45,3.880000,0.480000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

4,00:45-01:00,3.880000,0.480000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

5,01:00-01:15,3.880000,0.480000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

6,01:15-01:30,3.880000,0.480000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

7,01:30-01:45,3.880000,0.480000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

8,01:45-02:00,3.880000,0.480000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.46

9,02:00-02:15,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

10,02:15-02:30,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

11,02:30-02:45,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

12,02:45-03:00,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

13,03:00-03:15,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

14,03:15-03:30,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

15,03:30-03:45,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

16,03:45-04:00,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

17,04:00-04:15,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

18,04:15-04:30,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

19,04:30-04:45,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

20,04:45-05:00,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

21,05:00-05:15,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

22,05:15-05:30,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

23,05:30-05:45,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

24,05:45-06:00,3.780000,0.440000,1.930000,34.170000,0.000000,0.000000,100.000000,0,0,0.000000,0.000000,140.32

25,06:00-06:15,3.780000,0.440000,1.930000,0.000000,100.000000,0.000000,0.000000,0,0,100.000000,0.000000,206.15

26,06:15-06:30,3.780000,0.440000,1.930000,0.000000,100.000000,0.000000,0.000000,0,0,100.000000,0.000000,206.15

27,06:30-06:45,3.780000,0.440000,1.930000,0.000000,100.000000,0.000000,0.000000,0,0,100.000000,0.000000,206.15

28,06:45-07:00,3.780000,0.440000,1.930000,0.000000,100.000000,0.000000,0.000000,0.25,0,100.000000,0.000000,206.4

29,07:00-07:15,3.780000,0.580000,1.930000,0.000000,100.000000,0.000000,0.000000,0.51,0,100.000000,0.000000,206.8

30,07:15-07:30,3.780000,0.580000,1.930000,0.000000,100.000000,0.000000,0.000000,0.83,0,100.000000,0.000000,207.12

31,07:30-07:45,3.780000,0.580000,1.930000,0.000000,100.000000,0.000000,0.000000,1.21,0,100.000000,0.000000,207.5

32,07:45:08:00,3.780000,0.580000,1.930000,0.000000,100.000000,0.000000,0.000000,1.62,0,100.000000,0.000000,207.91

33,08:00-08:15,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,2.09,0,100.000000,0.000000,158.77

34,08:15-08:30,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,2.13,0,100.000000,0.000000,158.81

35,08:30-08:45,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,2.51,0,100.000000,0.000000,159.19

36,08:45:09:00,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,2.71,0,100.000000,0.000000,159.39

37,09:00:09:15,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,3.09,24.17,100.000000,0.000000,183.94

38,09:15-09:30,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,3.48,24.17,100.000000,0.000000,184.33

39,09:30-09:45,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,3.87,24.17,100.000000,0.000000,184.72

40,09:45-10:00,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,4.06,24.17,100.000000,0.000000,184.91

41,10:00-10:15,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,4.16,24.17,100.000000,0.000000,185.01

42,10:15-10:30,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,4.35,24.17,100.000000,0.000000,185.2

43,10:30-10:45,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,4.64,24.17,100.000000,0.000000,185.49

44,10:45-11:00,3.780000,0.970000,1.930000,0.000000,50.000000,0.000000,0.000000,4.83,24.17,100.000000,0.000000,185.68

45,11:00-11:15,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,4.93,24.17,100.000000,0.000000,235.78

46,11:15-11:30,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,5.22,24.17,100.000000,0.000000,236.07

47,11:30-11:45,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,5.61,24.17,100.000000,0.000000,236.46

48,11:45-12:00,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,5.99,24.17,100.000000,0.000000,236.84

49,12:00-12:15,3.780000,0.970000,1.930000,0.000000,100.000000,0.000000,0.000000,6.72,24.17,100.000000,0.000000,237.57

