Block,Time,L_NR_2019_19,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/06022042/L_NR_2012_02,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/R2,WR/01102023/30052048/L_NR_2022_10,NR/01102023/30042040/GNA_LT_35,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/31052040/LT-31,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/31102037/L_NR_2019_11,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01102023/23072042/L_NR_2012_04,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/19072024/19072024/HPX-TAMCTG-180724-01742,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/05012040/L_NR_2020_02,WR/01102023/01102023/L_NR_2022_09,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/19072024/19072024/HPX-TAMCTG-180724-01739,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/15082037/GNA_NR_2012_01,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/22052037/LT-59,NR/19072024/19072024/IEX-240718-01592,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/L_NR_2019_05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,WR/01102023/01102023/L_NR_2020_06,NR/30092023/31122025/SH-07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,0,15.080000,260.750000,96.040000,24.010000,16.67,0.000000,0.000000,0,25,12.370000,0.000000,7.34,8.33,0,10.550000,48.020000,0.000000,11.680000,115.180000,32.650000,14.480000,4.900000,16.67,30.780000,96.040000,60.600000,38.420000,30.730000,0.000000,100.050000,72.030000,10.200000,53.690000,271.550000,0,0.000000,0.000000,8.34,30.730000,0,0,0,0,0,0,0,0,42.01

2,00:15-00:30,0,15.080000,260.750000,96.040000,24.010000,17,0.000000,0.000000,0,25,12.370000,0.000000,7.34,8.33,0,10.550000,48.020000,0.000000,11.680000,115.180000,32.650000,14.480000,4.900000,17,31.290000,96.040000,61.850000,38.420000,30.730000,0.000000,100.050000,72.030000,10.200000,53.690000,271.550000,0,0.000000,0.000000,8.34,30.730000,0,0,0,0,0,0,0,0,42.01

3,00:30-00:45,0,15.080000,260.750000,96.040000,24.010000,17.33,0.000000,0.000000,0,25,12.370000,0.000000,7.34,8.33,0,10.550000,48.020000,0.000000,11.680000,114.810000,32.650000,14.480000,4.900000,17.33,31.290000,96.040000,60.990000,38.420000,30.730000,0.000000,100.050000,72.030000,10.200000,53.590000,271.550000,0,0.000000,0.000000,8.34,30.730000,0,0,0,0,0,0,0,0,42.01

4,00:45-01:00,0,15.080000,260.750000,96.040000,24.010000,38.67,0.000000,0.000000,0,25,12.370000,0.000000,13.51,8.33,0,10.550000,48.020000,0.000000,11.680000,114.810000,32.650000,14.480000,4.900000,38.67,31.290000,96.040000,61.660000,38.420000,30.730000,0.000000,100.050000,72.030000,10.200000,53.010000,271.550000,0,0.000000,0.000000,8.34,30.730000,0,0,0,0,0,0,0,0,42.01

5,01:00-01:15,0,15.080000,260.750000,96.040000,24.010000,38.67,0.000000,0.000000,0,46.5,12.370000,0.000000,13.46,15.5,0,10.310000,48.020000,0.000000,11.680000,114.810000,32.650000,14.480000,4.710000,38.67,30.780000,96.040000,60.890000,38.420000,30.730000,0.000000,100.050000,72.030000,10.200000,52.440000,271.550000,0,0.000000,0.000000,15.5,30.730000,0,0,0,0,0,0,0,0,42.01

6,01:15-01:30,0,15.080000,260.750000,96.040000,24.010000,38.67,0.000000,0.000000,0,47,12.370000,0.000000,13.34,15.67,0,10.310000,48.020000,0.000000,11.680000,114.810000,32.650000,14.480000,4.710000,38.67,30.780000,96.040000,61.660000,38.420000,30.730000,0.000000,100.050000,72.030000,10.200000,51.860000,271.550000,0,0.000000,0.000000,15.66,30.730000,0,0,0,0,0,0,0,0,42.01

