Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,NR/26072023/25122043/L_NR_2023_10,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/08/3642,GNA/NR/2025/08/01/3698,GNA/NR/2025/06/07/5932,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/1044,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6209,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6475,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/5126,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
1,00:00-00:15,0,0,0,0,35.58,11.87,0,0,0,0,37,13,11.87,37,0,14.54,11.15,0,24.01,0,0,0,7.17,115.17,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,14.51,0,5.88,0,12.62,19.2,20.4,33.59,30.5,40.79,81.58,30.5,20.71,8.49,20.4,86.57,269.94

2,00:15-00:30,0,0,0,0,35.79,11.94,0,0,0,0,36.34,13.33,11.94,36.33,0,14.54,11.15,0,23.61,0,0,0,7.17,115.17,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,14.51,0,5.88,0,12.62,19.2,20.4,33.59,30.5,40.79,81.58,30.5,20.71,8.49,20.4,86.57,269.94

3,00:30-00:45,0,0,0,0,36.01,12.01,0,0,0,0,35.66,13.67,12.01,35.67,0,14.54,11.15,0,18.01,0,0,0,7.17,115.17,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,14.51,0,5.88,0,12.62,19.2,20.4,33.59,11.74,40.79,81.58,30.5,20.71,8.49,20.4,86.57,269.94

4,00:45-01:00,0,0,0,0,36.26,12.08,0,0,0,0,35,13.67,12.08,35,0,14.54,11.15,0,17.61,0,0,0,7.17,115.17,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,14.51,0,5.88,0,12.62,19.2,20.4,33.59,11.74,40.79,81.58,30.5,20.71,8.49,20.4,86.57,269.94

5,01:00-01:15,0,0,0,0,36.1,12.03,0,0,0,0,35,14,12.03,35,0,14.54,11.15,0,17.21,0,0,0,6.88,115.17,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,5.88,0,12.62,19.2,20.4,33.59,25.94,40.79,81.58,30.5,20.71,8.49,20.4,86.57,269.94

6,01:15-01:30,0,0,0,0,35.89,11.96,0,0,0,0,35,14,11.96,35,0,14.54,11.15,0,17.01,0,0,0,6.88,115.17,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,5.88,0,12.62,19.2,20.4,33.59,25.94,40.79,81.58,30.5,20.71,8.49,20.4,86.57,269.94

7,01:30-01:45,0,0,0,0,35.67,11.89,0,0,0,0,35.34,14.33,11.89,35.33,0,14.54,11.15,0,12.61,0,0,0,6.88,115.17,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,5.88,0,12.62,19.2,20.4,33.59,26.64,40.79,81.58,26.64,20.71,8.49,20.4,86.57,269.94

8,01:45-02:00,0,0,0,0,35.51,11.83,0,0,0,0,35.66,14.67,11.83,35.67,0,14.54,11.15,0,12.41,0,0,0,6.88,115.17,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,5.88,0,12.62,19.2,20.4,33.59,26.64,40.79,81.58,26.64,20.71,8.49,20.4,86.57,269.94

9,02:00-02:15,0,0,0,0,35.05,11.69,0,0,0,0,35.34,14.67,11.69,35.33,0,14.54,11.15,0,12.21,0,0,0,6.52,64.03,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,70.94,269.94

10,02:15-02:30,0,0,0,0,35.09,11.69,0,0,0,0,35,14.67,11.69,35,0,14.54,11.15,0,12.01,0,0,0,6.52,64.03,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

11,02:30-02:45,0,0,0,0,43.5,14.5,0,0,0,0,34.66,14.67,14.5,34.67,0,14.54,11.15,0,11.81,0,0,0,6.52,70.07,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

12,02:45-03:00,0,0,0,0,43.01,14.33,0,0,0,0,34.34,14.67,14.33,34.33,0,14.54,11.15,0,11.61,0,0,0,6.52,69.58,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

13,03:00-03:15,0,0,0,0,42,14,0,0,0,0,34,14.67,14,34,0,14.54,11.15,0,16.01,0,0,0,6.24,67.32,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,3.7,0,9.66,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,6.52,20.4,86.57,269.94

14,03:15-03:30,0,0,0,0,41.51,13.83,0,0,0,0,33.66,14.67,13.83,33.67,0,14.54,11.15,0,15.61,0,0,0,6.24,68.21,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,3.7,0,9.66,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,6.52,20.4,86.57,269.94

15,03:30-03:45,0,0,0,0,40.5,13.5,0,0,0,0,40,14.33,13.5,40,0,14.54,11.15,0,15.41,0,0,0,6.24,65.97,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,3.7,0,9.66,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,6.52,20.4,86.57,269.94

16,03:45-04:00,0,0,0,0,39.49,13.17,0,0,0,0,39.34,14.33,13.17,39.33,0,14.54,11.15,0,15.01,0,0,0,6.24,65.2,10.71,129.86,0,26.75,10.46,99.99,15.21,0,14.54,-0,17.27,0,3.7,0,9.66,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,6.52,20.4,86.57,269.94

17,04:00-04:15,0,0,0,0,39,13,0,0,0,0,38.66,14,13,38.67,0,14.54,11.15,0,17.01,0,0,0,6.24,111.91,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,3.7,0,9.66,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,6.52,20.4,86.57,269.94

18,04:15-04:30,0,0,0,0,38.51,12.83,0,0,0,0,38,13.33,12.83,38,0,14.54,11.15,0,16.41,0,0,0,6.24,96.14,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,3.7,0,9.66,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,6.52,20.4,86.57,269.94

19,04:30-04:45,0,0,0,0,31.63,10.54,0,0,0,0,37.34,13,10.54,37.33,0,14.54,11.15,0,12.01,0,0,0,6.24,83.42,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,3.7,0,9.66,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,6.52,20.4,86.57,269.94

20,04:45-05:00,0,0,0,0,30.83,10.28,0,0,0,0,36.66,12.33,10.28,36.67,0,14.54,11.15,0,11.81,0,0,0,6.24,73.6,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,3.7,0,9.66,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,6.52,20.4,86.57,269.94

21,05:00-05:15,0,0,0,0,29.49,9.84,0,0,0,0,35,11.67,9.84,35,0,14.54,11.15,0,9,0,0,0,5.95,67.15,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

22,05:15-05:30,0,0,0,0,28.12,9.38,0,0,0,0,33.34,11,9.38,33.33,0,14.54,11.15,0,8.8,0,0,0,5.95,64.03,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

23,05:30-05:45,0,0,0,0,26.64,8.89,0,0,0,0,32,8.64,8.89,32,0,14.54,11.15,0,7,0,0,0,5.95,68.93,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

24,05:45-06:00,0,0,0,0,25.08,8.37,0,0.33,0,0,30.66,8.32,8.37,30.67,0,14.54,11.15,0,7,0,0.07,0.15,5.95,115.17,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

25,06:00-06:15,0,1,1,0,26.61,8.88,0,1.82,8.36,8.12,29.66,8.01,8.88,29.67,1.22,14.54,11.15,1,7,1,0.36,0.75,5.77,115.17,10.71,129.86,0,27.25,10.46,99.99,15.21,0,14.54,-0,14.33,0,5.88,0,12.62,19.2,20.4,81.58,26.93,40.79,81.58,26.93,20.71,8.49,20.4,86.57,269.94

