Time,Block,NR/2023/13283/A,NR/2023/14688/F,NR/2023/13859/A,NR/2023/15350/C,NR/2023/15316/C,NR/2023/11203/A,NR/2023/13983/F,NR/2023/13983/F/II,NR/2023/11328/A,NR/2023/11654/A,NR/2023/11469/A,NR/2023/15323/C,NR/2023/11458/A,NR/2023/11315/A,NR/2023/13858/A,NR/2023/13573/A,NR/2023/15332/C,NR/2023/15321/C,NR/2023/11470/A,NR/2023/11697/A,NR/2023/11325/A,NR/2023/14688/F/II,NR/2023/14187/F,NR/2023/11739/A,NR/2023/15331/C,NR/2023/15308/D,NR/2023/15333/C,NR/2023/12646/A,NR/2023/13284/A,NR/2023/11954/A,NR/2023/15311/D,NR/2023/15314/D,Total
,,APPCPL,GMRETL,MANIKARAN,TPDDL,NVVNL,KEIPL,ITCLH,ITCLH,APPCPL,TPTCL,NVVNL,IEXL,STATKRAFT,GMRETL,MANIKARAN,NVVNL,SJVNL,GBHHPL,NVVNL,APPCPL,APPCPL,GMRETL,GBHHPL,NVVNL,HPXL,KEIPL,TPDDL,MANIKARAN,APPCPL,KEIPL,SJVNL,NVVNL,Total

,,GOA,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,ANDHRA PRADESH,ANDHRA PRADESH,UTTARAKHAND,NA,NA,KARNATAKA,TAMIL NADU,MEGHALAYA,HIMACHAL PRADESH,NA,UTTAR PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,GOA,HIMACHAL PRADESH,MP,NA,UTTAR PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,NA,NA,
,,GOA_Beneficiary,GOA_Beneficiary,HP,CHANJUII,KAMENG,Meghalaya_Ben,ITCWIND,ITCWIND,UTTARAKHAND,JPL-2,JPNIGRIE_JNSTPP,NSLSUGAR,TANGEDCO,Meghalaya_Ben,HP,SKS Raigarh,BCMLB001,GBHHPL,KAMENG,HP,Meghalaya_Ben,GOA_Beneficiary,GBHHPL,JP BINA,Teesta_III,LAPL-UP,CHANJUII,TANGEDCO,HP,Meghalaya_Ben,DIKCHU,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,BRPL,TPDDL,TPDDL,BYPL,ITCLH,ITCLH,BYPL,BRPL,BRPL,MES (Delhi),BYPL,BYPL,BRPL,NDMC,NDMC,DIAPL,BRPL,BYPL,BYPL,TPDDL,DIAPL,BRPL,BRPL,BYPL,TPDDL,BRPL,BRPL,BYPL,NDMC,MES (Delhi),
,,West-North,West-East-North,North-North,North-North,North East-East-North,North East-East-North,South-West-North,South-East-North,North-North,West-North,West-North,South-East-North,South-West-North,North East-East-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,West-North,North-North,West-North,East-North,North-North,North-North,South-West-North,North-North,North East-East-North,East-North,West-North,
1,00:00-00:15,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.700000,0.170000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.82

2,00:15-00:30,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.700000,0.170000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.82

3,00:30-00:45,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.700000,0.170000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.82

4,00:45-01:00,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.700000,0.170000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.82

5,01:00-01:15,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.540000,0.140000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.63

6,01:15-01:30,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.540000,0.140000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.63

7,01:30-01:45,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.540000,0.140000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.63

8,01:45-02:00,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.540000,0.140000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.63

9,02:00-02:15,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.460000,0.120000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,2.020000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1296.53

10,02:15-02:30,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.460000,0.120000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1295.51

11,02:30-02:45,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.460000,0.120000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1295.51

12,02:45-03:00,24.150000,24.150000,188.370000,0.000000,193.200000,63.030000,0.460000,0.120000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,0.000000,3.860000,42.490000,0.000000,0.000000,5.900000,23.120000,81.820000,36.450000,0.000000,0,1295.51

13,03:00-03:15,24.150000,3.860000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,81.820000,0.000000,0.000000,0,1235.89

14,03:15-03:30,24.150000,3.860000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,81.820000,0.000000,0.000000,0,1235.89

15,03:30-03:45,24.150000,3.860000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,81.820000,0.000000,0.000000,0,1235.89

16,03:45-04:00,24.150000,3.860000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,20.290000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,81.820000,0.000000,0.000000,0,1235.89

17,04:00-04:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,81.820000,0.000000,0.000000,0,1235.89

18,04:15-04:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,81.820000,0.000000,0.000000,0,1235.89

19,04:30-04:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,81.820000,0.000000,0.000000,0,1235.89

20,04:45-05:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,98.530000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,5.900000,0.000000,81.820000,0.000000,0.000000,0,1235.89

21,05:00-05:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,81.820000,0.000000,0.000000,0,1131.46

22,05:15-05:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,81.820000,0.000000,0.000000,0,1131.46

23,05:30-05:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,81.820000,0.000000,0.000000,0,1131.46

24,05:45-06:00,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.530000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,35.070000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,81.820000,0.000000,0.000000,0,1131.46

25,06:00-06:15,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.680000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1014.72

26,06:15-06:30,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.680000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1014.72

27,06:30-06:45,24.150000,0.000000,188.370000,0.000000,193.200000,63.030000,0.680000,0.000000,48.300000,152.630000,84.990000,6.760000,0.000000,22.220000,84.520000,28.980000,0.000000,1.000000,21.240000,0.000000,24.150000,24.150000,3.860000,42.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1014.72

