Block,Time,BSIUL,DULHASTI,KKNP,NLCIIST1,NTPL,RAPPC,SALAL,SEWA2,TALA,UNCHAHAR2,UNCHAHAR4,BRBCL,NJPC,PARBATI3,SASAN,TANDA2,VALLURNTECL,AURY_GF,CHAMERA2,FSTPP I & II,NLCIIST2,RAPPB,RIHAND2,TANAKPUR,URI2,ANTA_GF,DADRI_RF,DHAULIGNGA,MAPS,NNTPP,UNCHAHAR1,DADRI_CRF,CHAMERA1,DADRT2,RIHAND1,RSTPSU1TO6,RSTPSU7,ANTA_RF,CHAMERA3,KGSU3AND4,KHSTPP-I,KHSTPP-II,KUDGI,NAPP,NLCTS2EXP,RIHAND3,SINGRAULI_HYDRO,URI,ANTA_CRF,AURY_LF,DADRI_LF,KGSU1AND2,KISHANGANGA,KOTESHWR,NLCEXP,RAMPUR,SIMHST1,SINGRAULI,TEHRI,TelanganaSTPP,ANTA_LF,AURY_RF,DADRI_GF,JHAJJAR,KKNPPU2,KOLDAM,SIMHST2,TALST2,UNCHAHAR3,AURY_CRF
1,00:00-00:15,0,49.43,0,0,0,51.64,21.5,0,10.79,42.4,0,15,70.17,0,407.81,0,0,0,13.17,20.8,0,0,118.76,13.06,26.9,0,66.85,18.23,0,0,20.56,0,0,341.57,46,0,0,42.74,9.68,0,33.38,131.13,0,41.01,0,124.32,0,6.63,0,0,21.92,0,0,8.87,0,0,0,135,46.69,0,0,68.96,0,554.31,0,0,0,0,0,0

2,00:15-00:30,0,49.43,0,0,0,51.64,21.5,0,10.79,42.4,0,15,70.17,0,407.81,0,0,0,13.17,20.8,0,0,118.76,13.06,26.9,0,66.85,18.23,0,0,20.56,0,0,341.57,46,0,0,42.74,9.68,0,33.38,131.13,0,41.01,0,124.32,0,6.63,0,0,21.92,0,0,8.87,0,0,0,135,46.69,0,0,68.96,0,554.31,0,0,0,0,0,0

3,00:30-00:45,0,49.43,0,0,0,51.64,21.5,0,10.79,42.4,0,15,70.17,0,407.81,0,0,0,13.17,20.8,0,0,118.76,13.06,26.9,0,66.85,18.23,0,0,20.56,0,0,341.57,46,0,0,42.74,9.68,0,37.02,131.13,0,41.01,0,124.32,0,6.63,0,0,21.92,0,0,8.87,0,0,0,135,46.69,0,0,68.96,0,554.31,0,0,0,0,0,0

4,00:45-01:00,0,49.43,0,0,0,51.64,21.5,0,10.79,42.4,0,15,70.17,0,407.81,0,0,0,13.17,20.8,0,0,118.76,13.06,26.9,0,66.85,18.23,0,0,20.56,0,0,341.57,46,0,0,42.74,9.68,0,37.02,131.13,0,41.01,0,124.32,0,6.63,0,0,21.92,0,0,8.87,0,0,0,135,31.13,0,0,68.96,0,554.31,0,0,0,0,0,0

5,01:00-01:15,0,49.43,0,0,0,51.64,21.5,0,10.79,42.4,0,15,70.17,0,407.81,0,0,0,13.17,20.8,0,0,118.76,11.53,26.9,0,66.85,18.23,0,0,20.56,0,0,341.57,46,0,0,42.74,9.68,0,37.02,131.13,0,41.01,0,124.32,0,6.63,0,0,21.92,0,0,8.87,0,0,0,135,31.13,0,0,68.96,0,554.31,0,0,0,0,0,0

