Block,Time,UNCHAHAR4,SALAL,AURY_GF,DULHASTI,AURY_LF,RIHAND2,AURY_RF,DADRI_CRF,RIHAND3,NAPP,AURY_CRF,NJPC,RAPPC,PARBATI3,TANDA2,RAMPUR,ANTA_RF,DADRT2,RAPPB,CHAMERA1,JHAJJAR,UNCHAHAR3,TEHRI,ANTA_CRF,SEWA2,UNCHAHAR1,URI2,RIHAND1,KOLDAM,UNCHAHAR2,DADRI_RF,TANAKPUR,ANTA_LF,DADRI_LF,BSIUL,DADRI_GF,FSTPP I & II,CHAMERA2,KOTESHWR,KHSTPP-II,DHAULIGNGA,CHAMERA3,BRBCL,URI,SINGRAULI,SINGRAULI_HYDRO,TALA,ANTA_GF,KISHANGANGA,KHSTPP-I,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,1.340437,0.000000,15.841120,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,14.958789,0.000000,0.000000,4.806500,23.793790,88.439600,0.000000,13.458200,0.000000,2.462851,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,114.645503,0.000000,0.000000,14.419524,38.205907,118.600388,0.570080,0.000000,0.000000,0.000000,26.073724,402.563601,0,0,0,0,0

2,00:15-00:30,0.000000,1.340437,0.000000,15.841120,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,14.958789,0.000000,0.000000,4.806500,23.793790,88.439600,0.000000,13.458200,0.000000,2.462851,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,66.781607,0.000000,0.000000,14.419524,38.205907,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

3,00:30-00:45,0.000000,1.340437,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,23.793790,88.439600,0.000000,13.458200,0.000000,2.462851,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,66.781607,0.000000,0.000000,14.419524,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

4,00:45-01:00,0.000000,1.340437,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,23.793790,88.439600,0.000000,13.458200,0.000000,2.462851,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,66.781607,0.000000,0.000000,14.419524,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

5,01:00-01:15,0.000000,1.340437,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,23.793790,88.439600,0.000000,13.458200,0.000000,2.462851,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,66.781607,0.000000,0.000000,14.419524,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

6,01:15-01:30,0.000000,1.340437,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,23.793790,88.439600,0.000000,13.458200,0.000000,2.462851,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,66.781607,0.000000,0.000000,13.854377,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

7,01:30-01:45,0.000000,1.340437,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,5.819133,88.439600,0.000000,13.458200,0.000000,2.462851,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,66.781607,0.000000,0.000000,14.419524,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

8,01:45-02:00,0.000000,1.340437,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,5.819133,88.439600,0.000000,13.458200,0.000000,2.462851,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,66.781607,0.000000,0.000000,14.419524,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

9,02:00-02:15,0.000000,12.287337,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,5.819133,88.439600,0.000000,13.458200,0.000000,8.004264,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,47.103700,0.000000,0.000000,14.419524,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

10,02:15-02:30,0.000000,68.138867,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,5.819133,88.439600,0.000000,13.458200,0.000000,8.004264,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,47.103700,0.000000,0.000000,14.419524,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,16.187523,402.563601,0,0,0,0,0

11,02:30-02:45,0.000000,68.138867,0.000000,0.000000,0.000000,113.553562,0.000000,0.000000,118.879765,0.000000,0.000000,0.000000,52.211279,0.000000,0.000000,0.000000,0.000000,338.377600,0.000000,0.000000,113.433400,5.767800,0.000000,0.000000,0.000000,4.806500,5.819133,88.439600,0.000000,13.458200,0.000000,8.004264,0.000000,0.000000,0.000000,0.000000,4.806500,0.000000,8.530576,46.469242,0.000000,0.000000,14.419524,5.306376,118.600388,0.570080,0.000000,0.000000,0.000000,12.496900,402.563601,0,0,0,0,0

