Block,Time,CHAMERA1,CHAMERA2,JHAJJAR,KGSU3AND4,KHSTPP-II,PARBATI3,RIHAND2,UNCHAHAR3,VALLURNTECL,ANTA_LF,BSIUL,DULHASTI,KOTESHWR,RSTPSU1TO6,URI2,AURY_LF,BRBCL,DHAULIGNGA,FSTPP I & II,KKNP,KUDGI,NJPC,NLCIIST1,RIHAND1,SEWA2,TALA,TANAKPUR,TelanganaSTPP,DADRT2,KGSU1AND2,RAPPB,RSTPSU7,SALAL,TEHRI,UNCHAHAR2,URI,AURY_CRF,DADRI_CRF,KISHANGANGA,KKNPPU2,MAPS,NLCEXP,NLCTS2EXP,SINGRAULI_HYDRO,UNCHAHAR1,ANTA_RF,DADRI_GF,CHAMERA3,NLCIIST2,NTPL,RAMPUR,RIHAND3,SINGRAULI,AURY_GF,KHSTPP-I,NAPP,TANDA2,ANTA_CRF,AURY_RF,DADRI_LF,KOLDAM,NNTPP,RAPPC,SASAN,SIMHST1,SIMHST2,TALST2,UNCHAHAR4,ANTA_GF,DADRI_RF
1,00:00-00:15,0,0,434.65,0,148.3,0,118.76,26.4,0,0,6.52,16.48,8.87,0,31.9,0,20,0,18.2,0,0,0,0,92,0,0,0,0,683.14,0,0,0,2.33,0,42.39,34.78,0,0,0,0,0,0,0,0.79,20.85,28.46,0,0,0,0,0,124.33,125.96,0,45.53,20.19,0,0,70.04,0,0,0,25.76,405,0,0,0,0,0,59.73

2,00:15-00:30,0,0,434.65,0,148.3,0,118.76,26.4,0,0,6.52,16.48,8.87,0,31.9,0,20,0,18.2,0,0,0,0,92,0,0,0,0,683.14,0,0,0,2.33,0,42.39,34.78,0,0,0,0,0,0,0,0.79,20.85,28.46,0,0,0,0,0,124.33,125.96,0,45.53,20.19,0,0,70.04,0,0,0,25.76,405,0,0,0,0,0,59.73

3,00:30-00:45,0,0,434.65,0,148.3,0,118.76,26.4,0,0,6.52,16.48,8.87,0,31.9,0,20,0,18.2,0,0,0,0,92,0,0,0,0,683.14,0,0,0,2.33,0,42.39,34.78,0,0,0,0,0,0,0,0.79,20.85,28.46,0,0,0,0,0,124.33,125.96,0,45.53,20.19,0,0,70.04,0,0,0,25.76,405,0,0,0,0,0,59.73

4,00:45-01:00,0,0,434.65,0,148.3,0,118.76,26.4,0,0,6.52,16.48,8.87,0,31.9,0,20,0,18.2,0,0,0,0,92,0,0,0,0,683.14,0,0,0,2.33,0,42.39,34.78,0,0,0,0,0,0,0,0.79,20.85,28.46,0,0,0,0,0,124.33,125.96,0,45.53,20.19,0,0,70.04,0,0,0,25.76,405,0,0,0,0,0,59.73

5,01:00-01:15,0,0,434.65,0,148.3,0,118.76,26.4,0,0,6.52,0,8.87,0,31.9,0,20,0,18.2,0,0,0,0,92,0,0,0,0,683.14,0,0,0,2.33,0,42.39,34.78,0,0,0,0,0,0,0,0.79,20.85,28.46,0,0,0,0,0,124.33,125.96,0,45.53,20.19,0,0,70.04,0,0,0,25.76,405,0,0,0,0,0,59.73

6,01:15-01:30,0,0,434.65,0,148.3,0,118.76,26.4,0,0,6.52,0,8.87,0,31.9,0,20,0,18.2,0,0,0,0,92,0,0,0,0,683.14,0,0,0,13.36,0,42.39,34.78,0,0,0,0,0,0,0,0.79,20.85,28.66,0,0,0,0,0,124.33,125.96,0,45.53,20.19,0,0,70.04,0,0,0,25.76,405,0,0,0,0,0,59.73

