Block,Time,NAPP,AURY_CRF,DHAULIGNGA,URI2,DADRT2,CHAMERA3,UNCHAHAR1,DADRI_LF,ANTA_RF,KISHANGANGA,AURY_GF,SINGRAULI,JHAJJAR,KOTESHWR,BSIUL,UNCHAHAR3,RAPPC,RIHAND1,ANTA_LF,CHAMERA1,UNCHAHAR4,ANTA_CRF,RAPPB,TANAKPUR,RAMPUR,KOLDAM,CHAMERA2,TEHRI,ANTA_GF,AURY_LF,DULHASTI,TANDA2,SALAL,DADRI_CRF,UNCHAHAR2,URI,SEWA2,RIHAND3,PARBATI3,AURY_RF,NJPC,DADRI_RF,SINGRAULI_HYDRO,RIHAND2,DADRI_GF,SASAN,KUDGI,FSTPP I & II,KHSTPP-II,BRBCL,TALA,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.078837,0.000000,35.395151,31.749572,664.322252,18.722749,19.336327,0.000000,0.000000,0.000000,0.000000,134.754563,631.792092,25.751461,6.307570,25.527144,49.713900,88.991600,0.000000,27.179892,0.000000,0.000000,0.000000,10.904179,0.000000,0.000000,38.218139,43.876728,0.000000,0.000000,47.819981,0.000000,83.176192,0.000000,41.003944,45.919666,5.028703,119.621759,0.000000,19.013926,147.939346,11.710424,1.017745,114.262312,0.000000,403.726838,0.00,13.729813,142.691864,15.931094,25.594758,42.862030,0,0,0,0,0

2,00:15-00:30,18.078837,0.000000,35.395151,31.749572,664.322252,18.722749,19.336327,0.000000,0.000000,0.000000,0.000000,134.754563,631.792092,25.751461,6.307570,25.527144,49.713900,88.991600,0.000000,13.589946,0.000000,0.000000,0.000000,10.904179,0.000000,0.000000,38.218139,43.876728,0.000000,0.000000,47.819981,0.000000,83.176192,0.000000,41.003944,45.919666,5.028703,119.621759,0.000000,19.013926,147.939346,11.710424,1.017745,114.262312,0.000000,403.726838,9.67,13.784025,142.691864,15.520985,25.594758,42.862030,0,0,0,0,0

3,00:30-00:45,18.078837,0.000000,35.395151,31.749572,664.322252,18.722749,19.336327,0.000000,0.000000,0.000000,0.000000,134.754563,631.792092,25.751461,6.307570,25.527144,49.713900,88.991600,0.000000,13.589946,0.000000,0.000000,0.000000,10.904179,0.000000,0.000000,38.218139,43.876728,0.000000,0.000000,47.819981,0.000000,83.176192,0.000000,41.003944,21.357984,5.028703,119.621759,0.000000,19.013926,147.939346,32.023724,1.017745,114.262312,0.000000,403.726838,9.67,13.784025,142.691864,15.477502,25.594758,42.862030,0,0,0,0,0

4,00:45-01:00,18.078837,0.000000,35.395151,31.749572,664.322252,18.722749,19.336327,0.000000,0.000000,0.000000,0.000000,134.754563,631.792092,25.751461,6.307570,25.527144,49.713900,88.991600,0.000000,13.589946,0.000000,0.000000,0.000000,10.904179,0.000000,0.000000,38.218139,43.876728,0.000000,0.000000,47.819981,0.000000,83.176192,0.000000,41.003944,21.357984,5.028703,119.621759,0.000000,19.013926,147.939346,38.165789,1.017745,114.262312,0.000000,403.726838,9.67,13.784025,142.691864,16.629036,25.594758,42.862030,0,0,0,0,0

5,01:00-01:15,18.078837,0.000000,35.395151,19.518179,664.322252,18.722749,19.336327,0.000000,0.000000,0.000000,0.000000,134.754563,631.792092,25.751461,6.307570,25.527144,49.713900,88.991600,0.000000,13.589946,0.000000,0.000000,0.000000,10.904179,0.000000,0.000000,38.218139,43.876728,0.000000,0.000000,47.819981,0.000000,83.176192,0.000000,41.003944,21.357984,5.028703,119.621759,0.000000,19.013926,147.939346,38.165789,1.017745,114.262312,0.000000,403.726838,9.67,13.784025,142.691864,15.408898,25.594758,42.862030,0,0,0,0,0

6,01:15-01:30,18.078837,0.000000,35.395151,19.518179,664.322252,18.722749,19.336327,0.000000,0.000000,0.000000,0.000000,134.754563,631.792092,25.751461,6.307570,25.527144,49.713900,88.991600,0.000000,13.589946,0.000000,0.000000,0.000000,10.904179,0.000000,0.000000,38.218139,43.876728,0.000000,0.000000,47.819981,0.000000,83.176192,0.000000,41.003944,21.357984,5.028703,119.621759,0.000000,19.013926,147.939346,38.165789,1.017745,114.262312,0.000000,403.726838,9.67,13.784025,142.691864,15.700061,25.594758,42.862030,0,0,0,0,0

7,01:30-01:45,18.078837,0.000000,35.395151,19.518179,664.322252,18.722749,19.336327,0.000000,0.000000,0.000000,0.000000,134.754563,631.792092,25.751461,6.307570,25.527144,49.713900,88.991600,0.000000,13.589946,0.000000,0.000000,0.000000,10.904179,0.000000,0.000000,38.218139,43.876728,0.000000,0.000000,47.819981,0.000000,83.176192,0.000000,41.003944,21.357984,5.028703,119.621759,0.000000,19.013926,147.939346,38.165789,1.017745,114.262312,0.000000,403.726838,9.67,13.784025,142.691864,14.530065,25.594758,42.862030,0,0,0,0,0

