Block,Time Block,CHAMERA1,BRBCL,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,DULHASTI,DADRT2,KHSTPP-I,JHAJJAR,FSTPP I & II,KGSU1AND2,KHSTPP-II,KKNP,KGSU3AND4,KISHANGANGA,MAPS,NLCEXP,KOTESHWR,NLCIIST1,NJPC,KKNPPU2,KOLDAM,NAPP,KUDGI,RAPPB,RIHAND2,RAMPUR,RIHAND1,NLCIIST2,NLCTS2EXP,NNTPP,RAPPC,NTPL,PARBATI3,RIHAND3,RSTPSU7,SALAL,SEWA2,RSTPSU1TO6,SASAN,SIMHST1,AURY_RF,DADRI_CRF,DADRI_RF,AURY_LF,DADRI_LF,AURY_GF,DADRI_GF,SIMHST2,TALA,TelanganaSTPP,TEHRI,TANDA2,SINGRAULI_HYDRO,TALST2,SINGRAULI,TANAKPUR,URI2,ANTA_GF,AURY_CRF,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,ANTA_RF,URI,UNCHAHAR1,VALLURNTECL,ANTA_LF,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,27.35,14.43,0,30.85,42.53,38.85,51.73,476.18,30.94,232.25,13.75,0,142.62,0,0,2.77,0,0,37.16,0,160.7,0,5.15,43.5,0,0,117.05,3.4,81.13,0,0,0,58.36,0,20.27,122.71,0,72.63,16.7,0,379.78,0,0,0,0,0,0,0,0,0,9.05,0,65.13,0,0.48,0,110.04,9.12,34.67,0,0,19.45,0,36.189,0,35.03,17.64,0,0,0,0,0,0,0,0

2,00:15-00:30,27.35,14.43,0,30.85,42.53,38.85,51.73,476.18,30.94,232.25,13.75,0,142.62,0,0,2.77,0,0,37.16,0,160.7,0,5.15,43.5,0,0,117.05,3.4,81.13,0,0,0,58.36,0,20.27,122.71,0,72.63,16.7,0,386.24,0,0,0,0,0,0,0,0,0,9.05,0,65.13,0,0.48,0,112.37,9.12,34.67,0,0,20.28,0,36.189,0,35.03,17.64,0,0,0,0,0,0,0,0

3,00:30-00:45,27.35,14.43,0,30.85,42.53,38.85,51.73,456.94,30.94,232.25,13.75,0,142.62,0,0,2.77,0,0,37.16,0,160.7,0,5.15,43.5,0,0,117.05,3.4,81.13,0,0,0,58.36,0,20.27,122.71,0,72.63,16.7,0,386.24,0,0,0,0,0,0,0,0,0,9.05,0,65.13,0,0.48,0,112.37,10.47,34.67,0,0,22.78,0,36.189,0,35.03,17.64,0,0,0,0,0,0,0,0

4,00:45-01:00,27.35,14.43,0,30.85,42.53,38.85,51.73,456.94,30.94,136.08,13.75,0,142.62,0,0,2.77,0,0,37.16,0,160.7,0,5.15,43.5,0,0,117.05,3.4,81.13,0,0,0,58.36,0,20.27,122.71,0,72.63,16.7,0,386.24,0,0,0,0,0,0,0,0,0,9.05,0,65.13,0,0.48,0,112.37,10.47,34.67,0,0,22.78,0,36.189,0,35.03,17.64,0,0,0,0,0,0,0,0

5,01:00-01:15,27.35,13.67,0,30.85,42.53,38.85,51.73,408.86,27.89,110.69,10.29,0,123.7,0,0,2.77,0,0,37.16,0,160.7,0,5.15,43.5,0,0,117.05,3.4,81.13,0,0,0,58.36,0,20.27,122.71,0,72.63,16.7,0,386.24,0,0,0,0,0,0,0,0,0,9.42,0,65.13,0,0.48,0,112.37,10.47,23.45,0,0,19.28,0,30.56,0,35.03,15.11,0,0,0,0,0,0,0,0

6,01:15-01:30,27.35,13.68,0,30.85,42.53,38.85,51.73,362.89,27.89,110.69,10.29,0,123.7,0,0,2.77,0,0,37.16,0,160.7,0,5.15,43.5,0,0,117.05,3.4,81.13,0,0,0,58.36,0,20.27,122.71,0,72.63,16.7,0,386.24,0,0,0,0,0,0,0,0,0,9.42,0,65.13,0,0.48,0,112.37,10.47,23.45,0,0,14.87,0,23.23,0,35.03,11.77,0,0,0,0,0,0,0,0

7,01:30-01:45,27.35,12.34,0,30.85,42.53,38.85,51.73,362.89,27.89,110.69,10.29,0,123.7,0,0,2.77,0,0,37.16,0,160.7,0,5.15,43.5,0,0,117.05,3.4,81.13,0,0,0,58.36,0,20.27,122.71,0,72.63,16.7,0,386.24,0,0,0,0,0,0,0,0,0,9.42,0,65.13,0,0.48,0,112.37,10.47,23.45,0,0,14.87,0,23.23,0,40.87,11.77,0,0,0,0,0,0,0,0

