Block,Time,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/05012040/L_NR_2020_02,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/01102023/30042040/GNA_LT_35,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,9.61,31.12,0.000000,261.910000,101.380000,0,0,31.12,10,0.000000,3.890000,0,0,0.000000,0,30,0,0,3.620000

2,00:15-00:30,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,9.5,31.42,0.000000,261.910000,101.380000,0,0,31.42,10,0.000000,3.890000,0,0,0.000000,0,30,0,0,3.620000

3,00:30-00:45,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,9.51,25.3,0.000000,261.910000,101.380000,0,0,25.3,10,0.000000,3.890000,0,0,0.000000,0,30,0,0,3.620000

4,00:45-01:00,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,9.34,25.14,0.000000,261.910000,101.380000,0,0,25.14,10,0.000000,3.890000,0,0,0.000000,0,30,0,0,3.620000

5,01:00-01:15,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,8.95,24.91,0.000000,261.910000,101.380000,0,0,24.91,10,0.000000,3.810000,0,0,0.000000,0,30,0,0,3.470000

6,01:15-01:30,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,7.01,24.9,0.000000,261.910000,101.380000,0,0,24.9,10,0.000000,3.810000,0,0,0.000000,0,30,0,0,3.470000

7,01:30-01:45,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,7.01,24.53,0.000000,261.910000,101.380000,0,0,24.53,10,0.000000,3.810000,0,0,0.000000,0,30,0,0,3.470000

8,01:45-02:00,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,7.01,23.88,0.000000,261.910000,101.380000,0,0,23.88,10,0.000000,3.810000,0,0,0.000000,0,30,0,0,3.470000

9,02:00-02:15,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,7.01,23.17,0.000000,261.910000,101.380000,0,0,23.17,10,0.000000,3.740000,0,0,0.000000,0,30,0,0,3.470000

10,02:15-02:30,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.66,0,0,272.220000,10,0,0,3.770000,6.01,19.85,0.000000,261.910000,101.380000,0,0,19.85,10,0.000000,3.740000,0,0,0.000000,0,30,0,0,3.470000

11,02:30-02:45,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.92,0,0,272.220000,10,0,0,3.770000,6.01,19.55,0.000000,261.910000,101.380000,0,0,19.55,10,0.000000,3.740000,0,0,0.000000,0,30,0,0,3.470000

12,02:45-03:00,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.58,0,0,272.220000,10,0,0,3.770000,6.01,19.19,0.000000,261.910000,101.380000,0,0,19.19,10,0.000000,3.740000,0,0,0.000000,0,30,0,0,3.470000

13,03:00-03:15,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,6.23,0,0,272.220000,7.5,0,0,3.770000,6.01,18.79,0.000000,261.910000,101.380000,0,0,18.79,7.5,0.000000,3.740000,0,0,0.000000,0,22.5,0,0,3.310000

14,03:15-03:30,30.970000,118.080000,0.000000,30.930000,0.000000,30.970000,0,5.86,0,0,272.220000,7.5,0,0,3.770000,6.01,18.25,0.000000,261.910000,101.380000,0,0,18.25,7.5,0.000000,3.740000,0,0,0.000000,0,22.5,0,0,3.310000

