Column1,Block,NR/2025/24839/A/50257,NR/2024/24434/A/49990,NR/2025/24838/A/50253,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,NR/2024/24508/A/50346,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/20/2470,NR/30092023/26122029/SH-06,NR/2025/24946/C,NR/2025/24944/C,NR/2024/24614/A/50337,NR/2025/24948/C,NR/2024/24435/A/49989,GNA/NR/2025/01/20/4168,NR/2024/24418/A/50025,GNA/NR/2025/01/20/9046,NR/2024/24566/A/49980,WR/2024/25501/A/50291,GNA/NR/2025/01/20/4698,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,NER/2024/2820/A/50276,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8738,NR/2024/24507/A/50352,GNA/NR/2025/01/02/1250,NR/2025/24953/C,NR/2025/24954/C,SR/2024/15456/A/49993,NR/2025/24837/A/50246,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,Total
,,OIDLWM3_AEROCITY,IEXL,OIDLWM2_AEROCITY,NDMC,HPXL,HPXL,NDMC,BAWANA_GAS,IEXL,NDMC,HPXL,NDMC,NVVNL,PXIL,HPXL,PUNJAB,NVVNL,TPDDL,NVVNL,NVVNL,IEXL,HPXL,ITCLH,HPXL,IEXL,APPCPL,HPXL,DELHI,TPTCL,IEXL,APPCPL,PXIL,IEXL,NVVNL,IEXL,SJVNL,SJVNL,IEXL,ABLWM1_AEROCITY,MANIKARAN,APPCPL,
,,NA,NA,NA,NA,NA,TELANGANA_State,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,Meghalaya_State,DELHI_UT,NA,NA,NA,NA,KARNATAKA_STATE,MSEB_State,ANDHRA_PRADESH_STATE,NA,TELANGANA_State,DELHI_UT,TAMILNADU_State,HIMACHAL_STATE,DELHI_UT,ODISHA_STATE,DELHI_UT,NA,MP_State,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,
,,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,RKM_POWER,JPNIGRIE_JNSTPP,ZUARICEMCPP,SKS_Raigarh,BAWANA_GAS,JPNIGRIE_JNSTPP,JPL2,SKS_Raigarh,RKM_POWER,TRN_ENERGY,SINGOLI,Meghalaya_Ben,BAWANA_GAS,TRN_ENERGY,JHAJJAR,TRN_ENERGY,JIPL,NSLSUGARALAND,GRETAENERGY,ITCWIND,SIMHAPURI,NSLKSLWPRTY,BRPL,GAYATRIGREENTN,CHANJUII,BYPL,NBVLIPP,BYPL,JPNIGRIE_JNSTPP,JP_BINA,JIPL,SKS_Raigarh,TPSL_BKN2,RSRPL_BKN,BYPL,TCSPL_BKN2,BRPL,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,MSEB_State,MSEB_State,
,,OIDLWM3_AEROCITY,MES_Delhi,OIDLWM2_AEROCITY,NDMC,BRPL,BRPL,NDMC,HARYANA,BRPL,NDMC,BRPL,NDMC,NDMC,BRPL,BRPL,PUNJAB,NDMC,TPDDL,NDMC,NDMC,MES_Delhi,BRPL,ITCLH,BRPL,MES_Delhi,GOA_Beneficiary,BRPL,TPDDL,TPC_MSEB,BRPL,Manipur_Ben,BRPL,BRPL,NDMC,BRPL,NDMC,NDMC,TANGEDCO,ABLWM1_AEROCITY,AEML,AEML,
,,North-North,North-North,North-North,West-North,West-North,South-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,North-North,West-North,North-North,West-North,East-North,South-West-North,West-North,South-West-North,South-East-North,South-West-North,North-West,South-East-North,North-North,North-West,East-North,North-East-North East,West-North,West-North,East-North,West-North,North-North,North-North,North-West-South,North-North,North-West,North-West,
1,00:00-00:15,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,346.83000000000004

2,00:15-00:30,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,346.83000000000004

3,00:30-00:45,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,346.83000000000004

4,00:45-01:00,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,346.83000000000004

5,01:00-01:15,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,346.83000000000004

6,01:15-01:30,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,346.83000000000004

7,01:30-01:45,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,346.83000000000004

8,01:45-02:00,0,0,0,24.02,48.04,0,8.65,0,26.9,24.02,19.21,24.02,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,346.83000000000004

9,02:00-02:15,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.85

10,02:15-02:30,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.85

11,02:30-02:45,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.85

12,02:45-03:00,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.37,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.85

13,03:00-03:15,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.95

14,03:15-03:30,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.95

15,03:30-03:45,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.95

16,03:45-04:00,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.95

17,04:00-04:15,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.95

18,04:15-04:30,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.95

19,04:30-04:45,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.95

20,04:45-05:00,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,9.61,0,0.38,0,5.76,0,0,1.47,0,20.17,0,28.82,31.7,17.29,48.04,0,0,0,0,0,0,343.95

21,05:00-05:15,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,16.33,0,0.43,0,5.76,0,0,1.37,0,20.17,38.43,28.82,31.7,17.29,48.04,0,0,0,0,0,0,389.05000000000007

22,05:15-05:30,0,0,0,23.06,48.04,0,8.65,0,26.9,23.06,19.21,23.06,8.73,0,0,0,0,0,0,0,16.33,0,0.43,0,5.76,0,0,1.37,0,20.17,38.43,28.82,31.7,17.29,48.04,0,0,0,0,0,0,389.05000000000007

