Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/1906,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/4651,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/9482,GNA/WR/2025/01/01/8625,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/8036,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2025/01/01/9606,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668
1,00:00-00:15,0,27.76,26.87,0,0.78,26.87,86.52,259.56,4.22,99.93,1.26,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,0.96,0,6.4,0,0,0,0,0,11.67,41.66,0,13.33,13.33,41.67,40.01,0,0,0,0,0,0,0

2,00:15-00:30,0,27.76,26.87,0,0.78,26.87,86.52,259.56,4.22,99.93,1.26,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,0.96,0,6.4,0,0,0,0,0,12.67,43,0,14.33,14.33,43,43.01,0,0,0,0,0,0,0

3,00:30-00:45,0,27.76,26.87,0,0.78,26.87,86.52,259.56,4.22,99.93,1.26,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,0.96,0,6.4,0,0,0,0,0,18.33,56.66,0,20,20,56.67,60,0,0,0,0,0,0,0

4,00:45-01:00,0,27.76,26.87,0,0.78,26.87,86.52,259.56,4.22,99.93,1.26,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,0.96,0,6.4,0,0,0,0,0,18.33,58.34,0,20.83,20.83,58.33,62.51,0,0,0,0,0,0,0

5,01:00-01:15,0,27.76,26.87,0,0.78,26.87,86.52,259.56,4.13,99.93,1.26,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,0.96,0,6.4,0,0,0,0,0,18.33,48.67,0,21.67,21.67,48.67,64.99,0,0,0,0,0,0,0

6,01:15-01:30,0,27.76,26.87,0,0.78,26.87,86.52,259.56,4.13,99.93,1.26,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,0.96,0,6.4,0,0,0,0,0,18.67,50,0,22.5,22.5,50,67.5,0,0,0,0,0,0,0

7,01:30-01:45,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.13,99.93,1.26,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,0.96,0,6.4,0,0,0,0,0,19.33,50,0,22.83,22.83,50,68.51,0,0,0,0,0,0,0

8,01:45-02:00,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.13,99.93,1.26,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,200,23.02,0.96,0,6.4,0,0,0,0,0,19.67,51.33,0,23.17,23.17,51.33,69.49,0,0,0,0,0,0,0

9,02:00-02:15,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.26,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,16.33,60.67,0,19.16,19.17,60.67,57.5,0,0,0,0,0,0,0

10,02:15-02:30,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.26,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,16.33,60.67,0,19.34,19.33,60.67,58,0,0,0,0,0,0,0

11,02:30-02:45,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.26,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,16.33,61,0,28.33,28.33,61,85.01,0,0,0,0,0,0,0

12,02:45-03:00,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.26,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,16.33,61.67,0,28.67,28.67,61.67,85.99,0,0,0,0,0,0,0

13,03:00-03:15,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.21,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,23,66.66,0,35,35,66.67,105,0,0,0,0,0,0,0

14,03:15-03:30,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.21,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,24,66.34,0,35,35,66.33,105,0,0,0,0,0,0,0

15,03:30-03:45,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.21,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,24.67,58.34,0,29.17,29.17,58.33,87.49,0,0,0,0,0,0,0

16,03:45-04:00,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.21,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,25.33,58.34,0,29.17,29.17,58.33,87.49,0,0,0,0,0,0,0

17,04:00-04:15,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.21,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,20.67,53.34,0,23.33,23.33,53.33,70.01,0,0,0,0,0,0,0

18,04:15-04:30,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.21,0,22.06,69.95,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,20,53.34,0,23.33,23.33,53.33,70.01,0,0,0,0,0,0,0

19,04:30-04:45,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.21,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,19.33,53.34,0,23.33,23.33,53.33,70.01,0,0,0,0,0,0,0

20,04:45-05:00,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.04,99.93,1.21,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,18.33,53.34,0,23.33,23.33,53.33,70.01,0,0,0,0,0,0,0

21,05:00-05:15,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.5,99.93,1.21,0,22.06,65.82,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,22.67,60,0,28.17,28.17,60,84.49,0,0,0,0,0,0,0

22,05:15-05:30,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.5,99.93,1.21,0,22.06,74.28,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,22.33,58.34,0,28.17,28.17,58.33,84.49,0,0,0,0,0,0,0

23,05:30-05:45,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.5,99.93,1.21,0,22.06,82.75,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,30.33,57.34,0,28,28,57.33,84,0,0,0,0,0,0,0

24,05:45-06:00,0,27.25,26.87,0,0.78,26.87,86.52,259.56,4.5,99.93,1.21,0,22.06,91.21,271.21,63.42,8.63,0,42,190.26,23.02,17.27,0,0,23.02,0.92,0,6.4,0,0,0,0,0,30.33,56.66,0,28,28,56.67,84,0,0,0,0,0,0,0

25,06:00-06:15,0,27.25,32,0,0.78,1.96,86.52,259.56,4.5,99.93,1.21,0,22.06,99.67,271.21,0,12.47,0,42,0,36.45,17.27,0,0,36.45,0.92,0,6.4,1.19,0,0,0,0,33.33,65,0,38.33,38.33,65,115.01,0,0,1.19,0,0,0,0

26,06:15-06:30,0,26.24,32,0,0.78,0,86.52,259.56,4.5,99.93,1.21,0,22.06,114.72,271.21,0,12.47,0,42,0,36.45,17.27,0,0,36.45,0.92,0,6.4,4.79,0,0,0,0,32.67,63.34,0,38,38,63.33,114,0,0,4.74,0,0,0,0

27,06:30-06:45,0,25.24,31.43,0,0.78,31.43,86.52,259.56,4.5,99.93,1.21,0,22.06,114.72,271.21,0,12.47,0,42,0,36.45,17.27,0,0,36.45,0.92,0,6.4,10.76,0,1,0,0,31.67,61.66,0,37.5,37.5,61.67,112.5,0,0,10.65,0,0.19,0,0.45

28,06:45-07:00,0,25.24,31.43,0,0.78,31.43,86.52,259.56,4.5,99.93,1.21,0,22.06,114.72,271.21,0,12.47,0,42,0,36.45,17.27,0,0,36.45,0.92,0,6.4,19.13,0,4,0,0,30,60,0,37.17,37.17,60,111.49,0,0,18.94,0,3.09,0,0.45

29,07:00-07:15,0,24.22,31.43,0,0.78,31.43,86.52,259.56,4.5,99.93,1.21,0,22.06,114.72,271.21,0,12.47,0,0,0,36.45,17.27,0,0,36.45,0.92,0,6.4,32.05,1,10,2,0.1,26.67,65,1,38.33,38.33,65,115.01,0,0.5,32.05,10,9.38,5,0.32

30,07:15-07:30,0.22,24.22,31.43,0.29,0.78,31.43,86.52,259.56,4.5,99.93,1.21,0.29,22.06,114.72,271.21,0,12.47,0,0,0,36.45,17.27,0,0,36.45,0.92,0,6.4,32.57,3,15,3,1.14,26,64,4,38,38,64,114,1,5.7,32.57,10,16.3,5,0.89

31,07:30-07:45,0.92,24.22,31.43,1.18,0.78,31.43,86.52,259.56,4.5,99.93,1.21,1.18,22.06,114.72,271.21,0,12.47,0,0,0,36.45,17.27,0,0,36.45,0.92,0,6.4,31,5,24,7,3.06,25,66.66,7,33.33,33.33,66.67,100.01,3,15.3,31,10,24.55,5,4.15

32,07:45-08:00,1.9,24.22,31.43,2.46,0.78,31.43,86.52,259.56,4.5,99.93,1.21,2.46,22.06,114.72,271.21,0,12.47,0,0,0,36.45,17.27,0,0,36.45,0.92,0,6.4,28.67,7,28.67,13,5.81,24.33,65,18,33,33,65,99,7,29.07,28.66,13,34.9,7,8.76

33,08:00-08:15,3.02,24.22,31.43,3.91,0.78,31.43,86.52,259.56,4.5,99.93,1.21,3.91,22.06,114.72,271.21,0,12.47,0,0,0,36.45,17.27,0,0,36.45,0.92,0,6.4,31.23,12,31.23,20,9.71,23.33,63.34,32,32.5,32.5,63.33,97.5,13,48.54,31.24,23,46.78,12,15.42

