Block,Time,L_NR_2023_04,L_NR_2019_05,L_NR_2020_05,LT-59,L_NR_2019_19,L_NR_2022_10,LT-36,L_NR_2020_07,L_NR_2019_06,L_NR_2021_16,L_NR_2012_04,L_NR_2021_13,L_NR_2021_17,L_NR_2020_02,L_NR_2022_08,SH-07,LT_MEJA_Delhi,L_NR_2021_15,LT-31,L_NR_2018_61,L_NR_2022_09,L_NR_2021_12,L_NR_2019_11,L_NR_2012_07,L_NR_2020_06,SH-06,L_NR_2019_07,L_NR_2021_14,L_NR_2012_01,L_NR_2012_02,LT-05,LT-35
1,00:00-00:15,0.000000,0,59.83,10.360000,0,43.2,0.000000,19.94,0,0,132.870000,0,0,11.920000,18.52,0.000000,3.960000,0,0.000000,39.12,43.2,0,10.780000,68.320000,19.94,0.000000,0,0,101.400000,261.940000,116.200000,0.000000

2,00:15-00:30,0.000000,0,59.83,10.360000,0,43.8,0.000000,19.94,0,0,132.870000,0,0,11.920000,18.29,0.000000,3.960000,0,0.000000,38.52,43.8,0,10.780000,68.320000,19.94,0.000000,0,0,101.400000,261.940000,116.200000,0.000000

3,00:30-00:45,0.000000,0,53.62,10.360000,0,43.69,0.000000,17.87,0,0,132.870000,0,0,11.920000,16.55,0.000000,3.960000,0,0.000000,36.88,43.69,0,10.780000,68.320000,17.87,0.000000,0,0,101.400000,261.940000,116.200000,0.000000

4,00:45-01:00,0.000000,0,54.07,10.360000,0,43.88,0.000000,18.03,0,0,132.870000,0,0,11.920000,16.34,0.000000,3.960000,0,0.000000,36.52,43.88,0,10.780000,68.320000,18.02,0.000000,0,0,101.400000,261.940000,116.200000,0.000000

5,01:00-01:15,0.000000,0,57.6,10.360000,0,44.73,0.000000,19.21,0,0,132.870000,0,0,11.920000,16.78,0.000000,3.960000,0,0.000000,36.2,44.73,0,10.780000,68.320000,19.2,0.000000,0,0,48.400000,226.430000,116.200000,0.000000

6,01:15-01:30,0.000000,0,57.81,10.360000,0,44.57,0.000000,19.28,0,0,132.870000,0,0,11.920000,17.08,0.000000,3.960000,0,0.000000,35.1,44.57,0,10.780000,68.320000,19.27,0.000000,0,0,48.400000,226.430000,116.200000,0.000000

7,01:30-01:45,0.000000,0,59.94,10.360000,0,43.99,0.000000,19.98,0,0,132.870000,0,0,11.920000,17.64,0.000000,3.960000,0,0.000000,34.37,43.99,0,10.780000,68.320000,19.98,0.000000,0,0,48.400000,226.430000,116.200000,0.000000

8,01:45-02:00,0.000000,0,60.59,10.360000,0,43.99,0.000000,20.19,0,0,132.870000,0,0,11.920000,18.19,0.000000,3.960000,0,0.000000,21.11,43.99,0,10.780000,68.320000,20.2,0.000000,0,0,48.400000,226.430000,116.200000,0.000000

