Block,Time,TEHRI,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,NAPP,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND2,RIHAND3,SALAL,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR3,URI2,RIHAND1,TANDA2,NJPC,SEWA2,DHAULIGNGA,DULHASTI,JHAJJAR,KOLDAM,KOTESHWR,BSIUL,CHAMERA2,CHAMERA3,DADRT2,KISHANGANGA,CHAMERA1,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,42.336,20.556,42.392196,0,47.472,28.836,19.095,0,0,50.76,118.125,123.665625,84.9422,139.3125,0.99476,7.686,26.39091,32.82288,92,0,152.9405,10.55736,36.5917,0,653.1525,0,5.916,6.5538,39.51012,29.41554,686.779958,0,42.66,0,36.75,0,5.25,0,78.912,0,0,0,63.531,0,3.258,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,27.93,98.34375,41.883,343.125

2,00:15-00:30,42.336,20.556,42.392196,0,47.472,28.836,19.095,0,0,50.76,118.125,123.665625,84.9422,139.3125,0.99476,7.686,26.39091,32.82288,92,0,152.9405,10.55736,36.5917,0,653.1525,0,5.916,6.5538,39.51012,29.41554,686.779958,0,42.66,0,36.75,0,5.25,0,78.912,0,0,0,63.531,0,3.258,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,27.93,98.34375,41.883,343.125

3,00:30-00:45,31.752,20.556,42.392196,0,47.472,28.836,19.095,0,0,50.76,118.125,123.665625,84.9422,139.3125,0.99476,8.3265,26.39091,32.82288,92,0,152.9405,10.55736,36.5917,0,653.1525,0,5.916,6.5538,39.51012,29.41554,686.779958,0,42.66,0,36.75,0,5.25,0,78.912,0,0,0,66.789,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,27.93,98.34375,41.883,343.125

4,00:45-01:00,21.168,20.556,42.392196,0,47.472,28.836,19.095,0,0,50.76,118.125,123.665625,84.9422,139.3125,0.99476,8.3265,26.39091,32.82288,92,0,152.9405,10.55736,36.5917,0,653.1525,0,5.916,6.5538,39.51012,29.41554,686.779958,0,42.66,0,36.75,0,5.25,0,78.912,0,0,0,66.789,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,27.93,98.34375,41.883,343.125

5,01:00-01:15,21.168,20.556,42.392196,0,47.472,28.836,6.365,0,0,50.76,118.125,123.665625,84.9422,139.3125,0.99476,8.3265,26.39091,32.82288,92,0,152.9405,10.55736,36.5917,0,653.1525,0,5.916,6.5538,39.51012,29.41554,686.779958,0,42.66,0,36.75,0,5.25,0,78.912,0,0,0,66.789,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,27.93,98.34375,41.883,343.125

6,01:15-01:30,21.168,20.556,42.392196,0,47.472,28.836,6.365,0,0,50.76,118.125,123.665625,84.9422,139.3125,0.99476,8.3265,26.39091,32.82288,92,0,152.9405,10.55736,36.5917,0,653.1525,0,5.916,6.5538,39.51012,29.41554,686.779958,0,42.66,0,36.75,0,5.25,0,78.912,0,0,0,66.789,0,0,0,0,0,0,0,0,0,140.63,0,0,0,0,0,0,0,0,0,0,11.5395,18.140334,27.93,98.34375,41.883,343.125

