Block,Time,BRBCL,TALA,KHSTPP-II,SASAN,FSTPP I & II,KHSTPP-I,TEHRI,AURY_GF,AURY_RF,DULHASTI,SALAL,ANTA_LF,NAPP,RIHAND2,JHAJJAR,DADRI_GF,ANTA_RF,DHAULIGNGA,DADRI_RF,URI2,SINGRAULI,AURY_CRF,TANDA2,ANTA_GF,RAMPUR,ANTA_CRF,CHAMERA2,UNCHAHAR1,PARBATI3,AURY_LF,CHAMERA1,KOTESHWR,BSIUL,UNCHAHAR2,UNCHAHAR3,NJPC,SINGRAULI_HYDRO,SEWA2,RAPPC,KISHANGANGA,CHAMERA3,RIHAND1,DADRI_LF,KOLDAM,TANAKPUR,DADRI_CRF,DADRT2,RIHAND3,URI,UNCHAHAR4,RAPPB,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.458500,3.882396,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,73.923419,0.000000,47.719131,119.889882,407.189916,0.000000,0.000000,41.964482,0.000000,36.522672,143.601918,0.000000,4.751731,0.000000,6.502002,0.000000,46.748985,20.260956,4.117869,0.000000,40.626534,0.000000,6.285399,20.559387,26.641213,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,93.552223,0.000000,9.865587,11.730181,0.000000,527.987406,125.866158,35.116805,2.978451,0.000000,0,0,0,0,0

2,00:15-00:30,14.458500,3.882396,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,73.923419,0.000000,47.719131,119.889882,407.189916,0.000000,0.000000,41.964482,0.000000,36.522672,143.601918,0.000000,4.751731,0.000000,6.502002,0.000000,46.748985,20.260956,4.117869,0.000000,40.626534,0.000000,6.285399,20.559387,26.641213,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,93.552223,0.000000,9.865587,11.730181,0.000000,527.987406,125.866158,35.116805,2.978451,0.000000,0,0,0,0,0

3,00:30-00:45,14.458500,5.582716,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,69.443212,0.000000,47.719131,119.889882,377.924755,0.000000,0.000000,41.964482,0.000000,36.522672,143.601918,0.000000,4.751731,0.000000,6.502002,0.000000,46.748985,20.260956,4.117869,0.000000,40.626534,0.000000,6.285399,20.559387,26.641213,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,93.552223,0.000000,9.865587,11.730181,0.000000,458.104656,125.866158,35.116805,2.978451,0.000000,0,0,0,0,0

4,00:45-01:00,14.458500,5.582716,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,69.443212,0.000000,47.719131,119.889882,377.924755,0.000000,0.000000,41.964482,0.000000,36.522672,143.601918,0.000000,4.751731,0.000000,6.502002,0.000000,46.748985,20.260956,4.117869,0.000000,40.626534,0.000000,6.285399,20.559387,26.641213,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,93.552223,0.000000,9.865587,11.730181,0.000000,454.684932,125.866158,35.116805,2.978451,0.000000,0,0,0,0,0

5,01:00-01:15,14.458500,4.250799,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,69.443212,0.000000,47.719131,119.889882,301.286223,0.000000,0.000000,41.964482,0.000000,36.522672,143.601918,0.000000,4.751731,0.000000,6.502002,0.000000,46.748985,20.260956,4.117869,0.000000,40.626534,0.000000,12.570798,20.559387,26.641213,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,93.552223,0.000000,9.865587,9.878047,0.000000,455.117434,125.866158,35.116805,2.978451,0.000000,0,0,0,0,0

6,01:15-01:30,14.063301,4.250799,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,69.443212,0.000000,47.719131,119.889882,253.091223,0.000000,0.000000,41.964482,0.000000,36.522672,143.601918,0.000000,4.751731,0.000000,6.502002,0.000000,46.748985,20.260956,4.117869,0.000000,40.626534,0.000000,12.570798,20.559387,26.641213,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,93.552223,0.000000,9.865587,9.878047,0.000000,455.117434,125.866158,35.116805,2.978451,0.000000,0,0,0,0,0

7,01:30-01:45,14.458500,4.250799,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,69.443212,0.000000,47.719131,119.889882,204.896223,0.000000,0.000000,41.964482,0.000000,36.522672,143.601918,0.000000,5.070227,0.000000,6.502002,0.000000,46.748985,20.260956,4.117869,0.000000,40.626534,0.000000,12.570798,20.559387,26.641213,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,93.552223,0.000000,9.865587,9.878047,0.000000,455.117434,125.866158,35.116805,2.978451,0.000000,0,0,0,0,0

8,01:45-02:00,14.458500,4.250799,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,69.443212,0.000000,47.719131,119.889882,156.701223,0.000000,0.000000,41.964482,0.000000,36.522672,143.601918,0.000000,5.164674,0.000000,6.502002,0.000000,46.748985,20.260956,16.177343,0.000000,40.626534,0.000000,12.570798,20.559387,26.641213,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,93.552223,0.000000,9.865587,9.878047,0.000000,455.117434,125.866158,35.116805,2.978451,0.000000,0,0,0,0,0

9,02:00-02:15,14.458500,4.109106,142.849980,265.674938,13.783770,42.710409,0.000000,0.000000,0.000000,57.039171,67.203108,0.000000,47.719131,119.178717,118.645102,0.000000,0.000000,41.964482,0.000000,36.522672,142.326390,0.000000,5.164674,0.000000,6.502002,0.000000,46.748985,18.954804,16.177343,0.000000,40.626534,0.000000,12.570798,21.137727,23.580976,173.465809,1.127284,0.000000,65.860047,8.039553,33.573845,92.920153,0.000000,9.865587,9.878047,0.000000,452.329257,125.078074,35.116805,1.648269,0.000000,0,0,0,0,0

