Block,Time,DULHASTI,RIHAND1,RAPPB,UNCHAHAR2,SINGRAULI,CHAMERA2,SINGRAULI_HYDRO,AURY_GF,TANDA2,UNCHAHAR3,KISHANGANGA,ANTA_CRF,ANTA_GF,AURY_RF,TANAKPUR,DADRI_RF,BSIUL,NJPC,UNCHAHAR4,RAMPUR,AURY_CRF,RIHAND2,DADRI_GF,UNCHAHAR1,ANTA_RF,RAPPC,KOLDAM,RIHAND3,URI2,CHAMERA3,SALAL,DHAULIGNGA,PARBATI3,DADRT2,CHAMERA1,JHAJJAR,ANTA_LF,NAPP,AURY_LF,DADRI_CRF,KOTESHWR,SEWA2,TEHRI,DADRI_LF,URI,BRBCL,KHSTPP-II,KHSTPP-I,TALA,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,56.832057,93.212528,0.000000,42.501638,141.535774,46.579236,1.164790,0.000000,5.142122,23.603604,8.010361,0.000000,0.000000,0.000000,12.425751,0.000000,6.262576,172.835941,2.967636,6.478393,0.000000,119.459350,0.000000,21.730779,0.000000,65.137212,9.807271,125.409721,36.390055,33.451935,80.350906,41.812106,4.102917,661.154676,26.986011,405.711376,0.000000,47.041395,0.000000,0.000000,37.643498,0.000000,60.608536,0.000000,38.170138,14.405922,107.798177,30.896164,9.317801,13.733720,299.599781,0,0,0,0,0

2,00:15-00:30,56.832057,93.212528,0.000000,42.501638,141.535774,46.579236,1.164790,0.000000,5.142122,23.613611,8.010361,0.000000,0.000000,0.000000,12.425751,0.000000,6.262576,172.835941,2.967636,6.478393,0.000000,119.459350,0.000000,21.730779,0.000000,65.137212,9.807271,125.409721,36.390055,33.451935,80.350906,41.812106,4.102917,661.154676,26.986011,405.711376,0.000000,47.041395,0.000000,0.000000,37.643498,0.000000,60.608536,0.000000,38.170138,14.405922,107.798177,30.896164,9.317801,13.733720,299.824875,0,0,0,0,0

3,00:30-00:45,56.832057,93.212528,0.000000,42.501638,141.535774,46.579236,1.164790,0.000000,5.142122,23.613611,8.010361,0.000000,0.000000,0.000000,11.072452,0.000000,6.262576,172.835941,2.967636,6.478393,0.000000,119.459350,0.000000,21.730779,0.000000,65.137212,9.807271,125.409721,30.693366,33.451935,80.350906,41.812106,4.102917,661.154676,26.986011,405.711376,0.000000,47.041395,0.000000,0.000000,37.643498,0.000000,60.608536,0.000000,38.170138,14.405922,107.798177,30.896164,9.317801,13.733720,299.824875,0,0,0,0,0

4,00:45-01:00,56.832057,93.212528,0.000000,42.501638,141.535774,46.579236,1.164790,0.000000,5.142122,23.613611,8.010361,0.000000,0.000000,0.000000,11.072452,0.000000,6.262576,172.835941,2.967636,6.478393,0.000000,119.459350,0.000000,21.730779,0.000000,65.137212,9.807271,125.409721,30.693366,33.451935,80.350906,41.812106,4.102917,661.154676,26.986011,405.711376,0.000000,47.041395,0.000000,0.000000,37.643498,0.000000,60.608536,0.000000,38.170138,14.405922,107.798177,30.896164,9.317801,13.733720,299.824875,0,0,0,0,0

5,01:00-01:15,56.832057,93.212528,0.000000,42.501638,141.535774,46.579236,1.164790,0.000000,5.142122,23.613611,8.010361,0.000000,0.000000,0.000000,11.072452,0.000000,6.262576,172.835941,2.967636,6.478393,0.000000,119.459350,0.000000,21.730779,0.000000,65.137212,9.807271,125.409721,30.693366,33.451935,80.350906,41.812106,2.930655,661.154676,26.986011,405.711376,0.000000,47.041395,0.000000,0.000000,37.643498,0.000000,60.608536,0.000000,38.170138,14.405922,107.798177,30.896164,9.458980,13.733720,299.824875,0,0,0,0,0

