Block,Time,KKNPPU2,KOLDAM,NLCEXP,NLCIIST1,SEWA2,AURY_GF,AURY_LF,DADRI_CRF,DADRI_GF,CHAMERA3,DHAULIGNGA,DULHASTI,KISHANGANGA,NNTPP,RAPPD,SINGRAULI,TEHRI,UNCHAHAR1,RAPPC,TALA,TALST2,BRBCL,CHAMERA2,KGSU1AND2,NJPC,NLCTS2EXP,RAPPB,SALAL,TANAKPUR,VALLURNTECL,AURY_RF,DADRI_LF,DADRI_RF,CHAMERA1,DADRT2,FSTPP I & II,KHSTPP-I,KUDGI,PARBATI3,RIHAND2,SASAN,URI2,ANTA_GF,ANTA_LF,KGSU3AND4,KOTESHWR,MAPS,NTPL,PARBATI2,RAMPUR,RSTPSU7,SIMHST2,TelanganaSTPP,UNCHAHAR3,URI,ANTA_RF,BSIUL,JHAJJAR,NAPP,NLCIIST2,RIHAND1,RIHAND3,SIMHST1,UNCHAHAR2,UNCHAHAR4,KHSTPP-II,KKNP,RSTPSU1TO6,SINGRAULI_HYDRO,TANDA2,ANTA_CRF,AURY_CRF
1,00:00-00:15,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,4.26,0,20,48.81,0,165.99,0,0,76.69,6.27,0,80.77,0,98.4,42.15,458.92,16.68,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,24.04,6.5,0,0,0,27.68,51.34,49.86,6.52,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

2,00:15-00:30,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,4.26,0,20,48.81,0,165.99,0,0,76.69,6.27,0,80.77,0,98.4,42.15,458.92,16.68,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,24.04,6.5,0,0,0,27.68,51.34,49.86,6.52,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

3,00:30-00:45,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,4.26,0,20,48.81,0,165.99,0,0,76.69,6.27,0,80.77,0,98.4,42.15,458.92,16.68,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,24.04,6.5,0,0,0,27.68,51.34,49.86,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

4,00:45-01:00,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,4.26,0,20,48.81,0,165.99,0,0,76.69,6.27,0,80.77,0,98.4,42.15,458.92,16.68,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,24.04,6.5,0,0,0,27.68,51.34,49.86,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

5,01:00-01:15,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,4.26,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.4,42.15,458.92,16.68,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,24.04,6.5,0,0,0,27.68,51.34,51.17,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

6,01:15-01:30,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,4.26,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.4,42.15,458.92,16.68,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,24.04,6.5,0,0,0,27.68,51.34,51.17,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

7,01:30-01:45,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,3.67,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.4,42.15,458.92,16.68,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,24.04,6.5,0,0,0,27.68,51.34,51.17,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

8,01:45-02:00,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,3.67,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.4,42.15,458.92,16.68,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,24.04,6.5,0,0,0,27.68,51.34,51.17,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

9,02:00-02:15,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,3.67,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.41,42.15,458.92,17.38,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,30.06,6.5,0,0,0,27.68,51.34,51.83,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

10,02:15-02:30,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,3.67,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.41,42.15,458.92,17.38,45.53,0,23.02,124.58,414,38.1,0,0,0,10.43,0,0,30.06,6.5,0,0,0,27.68,51.34,51.83,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

11,02:30-02:45,0,9.59,0,0,0,0,0,0,0,35.03,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,3.08,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.41,42.15,458.92,17.38,45.53,0,33.76,124.58,414,38.1,0,0,0,10.43,0,0,30.06,6.5,0,0,0,27.68,51.34,51.83,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

12,02:45-03:00,0,9.59,0,0,0,0,0,0,0,23.33,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,3.08,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.41,42.15,458.92,17.38,45.53,0,33.76,124.58,414,38.1,0,0,0,10.43,0,0,30.06,6.5,0,0,0,27.68,51.34,51.83,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

13,03:00-03:15,0,9.59,0,0,0,0,0,0,0,23.33,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,2.65,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.41,42.15,458.92,17.38,45.53,0,33.76,124.58,414,38.1,0,0,0,10.43,0,0,30.06,6.5,0,0,0,27.68,51.34,52.22,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

14,03:15-03:30,0,9.59,0,0,0,0,0,0,0,23.33,10.95,59.5,8.63,0,21.66,150.34,30.82,21.94,68.05,2.65,0,20,48.81,0,165.99,0,0,84.24,0.51,0,80.77,0,98.41,28.1,458.92,17.38,45.53,0,33.76,124.58,414,38.1,0,0,0,10.43,0,0,30.06,6.5,0,0,0,27.68,51.34,52.22,13.04,468.67,25.38,0,97.23,95.79,0,44.5,2.3,148.3,0,0,1.08,5.7,0,0

