Block,Time,LT_MEJA_Delhi,L_NR_2012_07,SH-07,LT-59,L_NR_2019_19,LT-05,L_NR_2019_11,LT-31,L_NR_2012_02,LT-35,SH-06,L_NR_2020_02,LT-36,L_NR_2012_04,L_NR_2012_01,L_NR_2019_07,L_NR_2022_08,L_NR_2021_16,L_NR_2020_06,L_NR_2022_10,L_NR_2021_13,L_NR_2021_15,L_NR_2019_06,L_NR_2021_14,L_NR_2022_09,L_NR_2019_05,L_NR_2020_05,L_NR_2018_61,L_NR_2021_17,L_NR_2020_07,L_NR_2021_12
1,00:00-00:15,6.200000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,260.720000,0.000000,0.000000,3.610000,0.000000,270.980000,100.930000,0,14.09,0,25.36,54.34,0,0,0,0,54.34,0,76.07,6.97,0,25.34,0

2,00:15-00:30,6.200000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,239.300000,0.000000,0.000000,3.610000,0.000000,270.980000,100.930000,0,13.98,0,25.04,54.49,0,0,0,0,54.49,0,75.12,7.07,0,25.04,0

3,00:30-00:45,6.200000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,220.030000,0.000000,0.000000,3.610000,0.000000,270.980000,100.930000,0,13.87,0,24.67,50.53,0,0,0,0,50.53,0,74,6.97,0,24.65,0

4,00:45-01:00,6.200000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,200.760000,0.000000,0.000000,3.610000,0.000000,270.980000,100.930000,0,13.76,0,24.5,49.71,0,0,0,0,49.71,0,73.5,6.97,0,24.51,0

5,01:00-01:15,6.200000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,200.760000,0.000000,0.000000,3.610000,0.000000,270.980000,100.930000,0,13.72,0,25.07,49.44,0,0,0,0,49.44,0,75.2,7.06,0,25.06,0

6,01:15-01:30,6.200000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,200.760000,0.000000,0.000000,3.610000,0.000000,270.980000,100.930000,0,13.63,0,25.32,48.65,0,0,0,0,48.65,0,75.96,6.98,0,25.33,0

7,01:30-01:45,6.200000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,200.760000,0.000000,0.000000,3.610000,0.000000,270.980000,100.930000,0,13.55,0,25.63,47.41,0,0,0,0,47.41,0,76.9,7.09,0,25.64,0

8,01:45-02:00,6.200000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,200.760000,0.000000,0.000000,3.610000,0.000000,270.980000,100.930000,0,10.58,0,21.66,46.74,0,0,0,0,46.74,0,64.97,7.04,0,21.66,0

9,02:00-02:15,4.410000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,10.62,0,21.43,45.02,0,0,0,0,45.02,0,64.29,6.98,0,21.44,0

10,02:15-02:30,4.410000,63.190000,0.000000,3.800000,0.000000,106.240000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,10.61,0,21.03,44.02,0,0,0,0,44.02,0,63.09,7.09,0,21.03,0

11,02:30-02:45,4.410000,63.190000,0.000000,3.800000,0.000000,110.490000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,10.49,0,20.86,50.22,0,0,0,0,50.22,0,62.58,7.09,0,20.85,0

12,02:45-03:00,4.410000,63.190000,0.000000,3.800000,0.000000,114.740000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,10.33,0,22.94,50.15,0,0,0,0,50.15,0,68.81,6.94,0,22.93,0

13,03:00-03:15,4.410000,63.190000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,10.13,0,22.75,50.11,0,0,0,0,50.11,0,68.25,6.9,0,22.74,0

14,03:15-03:30,4.410000,50.750000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,12.65,0,22.42,49.99,0,0,0,0,49.99,0,67.25,6.92,0,22.41,0

15,03:30-03:45,4.410000,50.750000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,12.51,0,22.01,49.81,0,0,0,0,49.81,0,66.04,7.06,0,22.03,0

16,03:45-04:00,4.410000,50.750000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,12.34,0,21.67,49.58,0,0,0,0,49.58,0,65.01,7.02,0,21.68,0

17,04:00-04:15,4.410000,63.190000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,12.5,0,28.08,49.14,0,0,0,0,49.14,0,84.25,6.9,0,28.08,0

18,04:15-04:30,4.410000,63.190000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,12.42,0,27.57,48.47,0,0,0,0,48.47,0,82.71,6.99,0,27.58,0

19,04:30-04:45,4.410000,63.190000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,15.13,0,27.05,47.02,0,0,0,0,47.02,0,81.15,7.07,0,27.06,0

20,04:45-05:00,4.410000,63.190000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,14.9,0,26.57,44.95,0,0,0,0,44.95,0,79.71,7.05,0,26.56,0

21,05:00-05:15,4.410000,63.190000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,14.73,0,26.69,44.08,0,0,0,0,44.08,0,80.06,6.95,0,26.68,0

22,05:15-05:30,4.410000,63.190000,0.000000,3.800000,0.000000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,14.43,0,26.54,43.94,0,0,0,0,43.94,0,79.61,7.02,0,26.54,0

23,05:30-05:45,4.410000,63.190000,0.000000,3.800000,0.190000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,14.33,0,26.31,44.93,0,0,0,0,44.93,0,78.93,6.91,0,26.31,0

24,05:45-06:00,4.410000,63.190000,0.000000,3.800000,3.200000,115.690000,3.680000,0.000000,200.760000,0.000000,0.000000,3.520000,0.000000,270.980000,100.930000,0,13.87,0.4,26.06,43.7,0,0,0,0,43.7,0,78.19,7.07,0.2,26.07,0
