Time,Block,NR/2023/18204/A/2477,NR/2023/18074/A/2512,NR/2024/18238/C,NR/2024/18239/C,NR/2023/18183/A/2599,WR/2023/20914/A/2596,NR/2024/18237/C,WR/2023/20937/A/2598,Total
,,IEXL,ITCLH,SJVNL,SJVNL,MANIKARAN,APPCPL,NVVNL,MANIKARAN,Total

,,ANDHRA PRADESH,ANDHRA PRADESH,UTTAR PRADESH,TELANGANA,DELHI,DELHI,NA,DELHI,
,,SNJSUGARLTDAP,ITCWIND,BCMLB001,NSLKSLWPRTY,BRPL,BRPL,SOLAPUR_SOLAR,BRPL,
,,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,GOA,DELHI,GOA,
,,MES (Delhi),ITCLH,NDMC,NDMC,HP,GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,
,,South-East-North,South-West-North,North-North,South-East-North,North-North,North-West,West-North,North-West,
1,00:00-00:15,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

2,00:15-00:30,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

3,00:30-00:45,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

4,00:45-01:00,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

5,01:00-01:15,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

6,01:15-01:30,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

7,01:30-01:45,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

8,01:45-02:00,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

9,02:00-02:15,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

10,02:15-02:30,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

11,02:30-02:45,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

12,02:45-03:00,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

13,03:00-03:15,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

14,03:15-03:30,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

15,03:30-03:45,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

16,03:45-04:00,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

17,04:00-04:15,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

18,04:15-04:30,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

19,04:30-04:45,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

20,04:45-05:00,5.780000,0.390000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.17

21,05:00-05:15,5.780000,0.430000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.21

22,05:15-05:30,5.780000,0.430000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.21

23,05:30-05:45,5.780000,0.430000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.21

24,05:45-06:00,5.780000,0.430000,0.000000,0.000000,0.000000,0.000000,0,0.000000,6.21

25,06:00-06:15,5.780000,0.390000,0.000000,0.000000,158.480000,0.000000,0,0.000000,164.65

26,06:15-06:30,5.780000,0.390000,0.000000,0.000000,158.480000,0.000000,0,0.000000,164.65

27,06:30-06:45,5.780000,0.390000,0.000000,0.000000,158.480000,0.000000,0,0.000000,164.65

28,06:45-07:00,5.780000,0.390000,0.000000,0.000000,158.480000,0.000000,0,0.000000,164.65

29,07:00-07:15,5.780000,0.530000,0.000000,0.000000,158.480000,0.000000,0,0.000000,164.79

30,07:15-07:30,5.780000,0.530000,0.000000,0.000000,158.480000,0.000000,0.19,0.000000,164.98

31,07:30-07:45,5.780000,0.530000,0.000000,0.000000,158.480000,0.000000,0.42,0.000000,165.21

32,07:45:08:00,5.780000,0.530000,0.000000,0.000000,158.480000,0.000000,0.73,0.000000,165.52

33,08:00-08:15,5.780000,0.870000,0.000000,0.000000,158.480000,0.000000,1.09,0.000000,166.22

34,08:15-08:30,5.780000,0.870000,0.000000,0.000000,158.480000,0.000000,1.48,0.000000,166.61

35,08:30-08:45,5.780000,0.870000,0.000000,0.000000,158.480000,0.000000,1.91,0.000000,167.04

36,08:45:09:00,5.780000,0.870000,0.000000,0.000000,158.480000,0.000000,2.36,0.000000,167.49

37,09:00:09:15,5.780000,0.870000,0.000000,0.000000,0.000000,0.000000,2.81,0.000000,9.46

