Block,Time,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31052040/LT-31,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01122023/15122023/HP-15,NR/01102023/23072042/L_NR_2012_04,NR/08122023/15122023/HP-19,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NER/13122023/13122023/DD20231213AR21752,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/01102023/L_NR_2020_06,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,100.300000,25.850000,0.000000,35.620000,178.330000,95.760000,0.000000,0.000000,0.000000,1.750000,55.180000,25.850000,1.080000,57.030000,148.120000,127.340000,1.220000,23.940000,20,0,14.364000,0,0,0,0,17.93,6.67,0,6,0,0,0,0,0,6.67,6.67,0,0,47.88,6.66,0

2,00:15-00:30,100.300000,25.850000,0.000000,35.620000,178.330000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.220000,23.940000,20,0,14.364000,0,0,0,0,17.94,6.67,0,6,0,0,0,0,0,6.67,6.67,0,0,47.88,6.66,0

3,00:30-00:45,100.300000,25.850000,0.000000,35.620000,178.330000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.220000,23.940000,10,0,14.364000,0,0,0,0,17.79,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

4,00:45-01:00,100.300000,25.850000,0.000000,35.620000,178.330000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.220000,22.980000,10,0,14.364000,0,0,0,0,14.74,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

5,01:00-01:15,100.300000,25.850000,0.000000,35.620000,178.330000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.220000,22.980000,10,0,14.364000,0,0,0,0,14.49,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

6,01:15-01:30,100.300000,25.850000,0.000000,35.620000,147.470000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.220000,23.940000,10,0,14.364000,0,0,0,0,14.39,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

7,01:30-01:45,100.300000,25.850000,0.000000,35.620000,147.470000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.220000,23.940000,10,0,14.364000,0,0,0,0,10.38,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

8,01:45-02:00,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.220000,23.940000,10,0,14.364000,0,0,0,0,10.52,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

9,02:00-02:15,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.68,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

10,02:15-02:30,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.69,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

11,02:30-02:45,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.74,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

12,02:45-03:00,100.300000,25.850000,0.000000,35.620000,118.740000,95.760000,0.000000,0.000000,0.000000,1.750000,31.600000,25.850000,1.080000,57.030000,148.120000,127.340000,1.180000,22.980000,10,0,14.364000,0,0,0,0,10.77,3.33,0,3.34,0,0,0,0,0,6.67,6.67,0,0,47.88,3.34,0

