Column1,Time,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,GNA/WR/2025/01/01/8625,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,GNA/SR/2025/02/01/6460,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/02/01/9969,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/5886,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2143,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59
1,00:00-00:15,0,0,0,0,0,0,0,0,26.13,0,0,11.67,26.14,11.67,0,34.99,7.33,0,0,0,17.01,271.95,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,134.65,8.66,0,0,23.08,52.9,0,70.16,26.99,0.92,59.47,0.63

2,00:15-00:30,0,0,0,0,0,0,0,0,27.9,0,0,12.25,27.9,12.25,0,36.75,7.33,0,0,0,16.61,230.83,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,134.65,8.66,0,0,23.08,52.9,0,70.16,26.99,0.92,59.47,0.63

3,00:30-00:45,0,0,0,0,0,0,0,0,66.67,0,0,14.7,66.66,14.7,0,44.1,10,0,0,0,15.01,230.83,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,81.75,0,70.16,26.99,0.92,59.47,0

4,00:45-01:00,0,0,0,0,0,0,0,0,66.67,0,0,15.37,66.66,15.37,0,46.09,10,0,0,0,13.61,230.83,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,100.2,0,70.16,26.99,0.92,59.47,0

5,01:00-01:15,0,0,0,0,0,0,0,0,66.67,0,0,15.88,66.66,15.88,0,47.66,10,0,0,0,13.01,230.83,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,100.2,0,70.16,26.99,0.92,59.47,0.63

6,01:15-01:30,0,0,0,0,0,0,0,0,66.67,0,0,16.33,66.66,16.33,0,49.01,9.67,0,0,0,12.41,230.83,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,100.2,0,70.16,26.99,0.92,59.47,0.63

7,01:30-01:45,0,0,0,0,0,0,0,0,59.33,0,0,16.73,59.34,16.73,0,50.21,8.33,0,0,0,11.61,230.83,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,100.2,0,70.16,26.99,0.92,59.47,0.63

8,01:45-02:00,0,0,0,0,0,0,0,0,58.33,0,0,17.1,58.34,17.1,0,51.3,8,0,0,0,11,230.83,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,100.2,0,70.16,26.99,0.92,59.47,0.63

9,02:00-02:15,0,0,0,0,0,0,0,0,58,0,0,16.52,58,16.52,0,49.54,7.67,0,0,0,17.01,192.36,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,67.33,0,70.16,26.99,0.92,59.47,0.63

10,02:15-02:30,0,0,0,0,0,0,0,0,57.33,0,0,15.95,57.34,15.95,0,47.85,7.33,0,0,0,17.01,149.57,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,67.33,0,70.16,26.99,0.92,59.47,0.63

11,02:30-02:45,0,0,0,0,0,0,0,0,56,0,0,20.17,56,20.17,0,60.49,8.33,0,0,0,21.01,149.57,0,26.99,0,23.08,8.66,1.44,0,75,1.25,0,23.08,135.61,8.66,0,0,23.08,67.33,0,70.16,26.99,0.92,59.47,0

