Block,Time Block,TEHRI,UNCHAHAR1,TANDA2,UNCHAHAR4,VALLURNTECL,TALST2,URI2,SINGRAULI_HYDRO,UNCHAHAR3,TANAKPUR,TALA,TelanganaSTPP,UNCHAHAR2,URI,ANTA_CRF,ANTA_GF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,NTPL,RIHAND2,PARBATI3,SASAN,PARBATI2,RIHAND1,RAPPB,SIMHST1,SINGRAULI,RSTPSU1TO6,SIMHST2,RSTPSU7,RAPPD,SALAL,SEWA2,RIHAND3,RAMPUR,RAPPC,NAPP,NLCEXP,NLCIIST1,KUDGI,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,JHAJJAR,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,CHAMERA2,DULHASTI,DADRT2,BRBCL,CHAMERA1,BSIUL,CHAMERA3,DHAULIGNGA,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,29.68,20.77,5.32,2.14,0,0,36.69,1.04,25.98,6.04,4.1,0,41.76,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,23.15,93.63,0,0,144.78,0,0,0,20.86,73.85,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,366.75,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,19.26,40.59,6.28,33.73,10.54,16.06,0,0,0,0,0

2,00:15-00:30,29.68,20.77,5.32,2.14,0,0,36.69,1.04,25.98,6.04,4.1,0,41.76,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,23.15,93.63,0,0,144.78,0,0,0,20.86,73.85,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,319.23,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,19.26,40.59,6.28,33.73,10.54,16.06,0,0,0,0,0

3,00:30-00:45,29.68,20.77,5.32,2.14,0,0,36.69,1.04,25.98,6.04,4.1,0,41.76,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,23.15,93.63,0,0,144.78,0,0,0,20.86,73.85,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,319.23,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,18.95,40.59,12.56,33.73,10.54,16.06,0,0,0,0,0

4,00:45-01:00,29.68,20.77,5.32,2.14,0,0,36.69,1.04,25.98,6.04,4.1,0,41.76,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,23.15,93.63,0,0,144.78,0,0,0,20.86,73.85,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,319.23,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,15.28,40.59,12.56,33.73,10.54,16.06,0,0,0,0,0

5,01:00-01:15,29.68,20.77,5.32,2.14,0,0,36.69,1.04,25.98,0.49,4.1,0,41.76,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,23.15,93.63,0,0,144.78,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,319.23,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,16.34,40.59,12.56,33.73,10.54,16.06,0,0,0,0,0

6,01:15-01:30,29.68,20.77,5.32,2.14,0,0,36.69,1.04,25.98,0.49,4.1,0,41.76,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,23.15,93.63,0,0,144.78,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,319.23,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,15.51,40.59,12.56,33.73,10.54,16.06,0,0,0,0,0

7,01:30-01:45,29.68,18.61,5.32,2.14,0,0,36.69,1.04,23.38,0.49,3.53,0,37.42,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,23.15,93.63,0,0,144.78,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,232.56,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,16.63,40.59,12.56,33.73,10.54,16.06,0,0,0,0,0

8,01:45-02:00,29.68,18.61,5.32,2.14,0,0,36.69,1.04,23.38,0.49,3.53,0,37.42,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,23.15,93.63,0,0,144.78,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,211.38,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,13.27,40.59,12.56,33.73,10.54,16.06,0,0,0,0,0

9,02:00-02:15,29.68,18.61,5.32,2.14,0,0,36.69,1.04,23.38,0.49,3.53,0,37.42,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,28.95,93.63,0,0,144.78,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,211.38,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,12.99,40.59,12.56,33.73,10.54,16.74,0,0,0,0,0

10,02:15-02:30,29.68,18.61,5.32,2.14,0,0,36.69,1.04,23.38,0.49,3.53,0,37.42,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,22.17,398.68,28.95,93.63,0,0,144.78,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,211.38,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,12.65,40.59,12.56,33.73,10.54,16.74,0,0,0,0,0

11,02:30-02:45,29.68,18.61,5.32,2.14,0,0,36.69,1.04,23.38,0.49,2.97,0,37.42,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,32.51,398.68,28.95,93.63,0,0,144.78,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,211.38,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,13.87,40.59,12.56,33.73,10.54,16.74,0,0,0,0,0

12,02:45-03:00,29.68,18.61,5.32,2.14,0,0,36.69,1.04,23.38,0.49,2.97,0,37.42,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,119.97,32.51,398.68,28.95,93.63,0,0,144.78,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,211.38,43.85,0,0,142.81,10.04,0,0,9.24,8.31,47,57.3,270.52,14.63,40.59,12.56,22.47,10.54,16.74,0,0,0,0,0

13,03:00-03:15,29.68,12,3.96,1.1,0,0,36.69,1.04,16.03,0.49,2.55,0,23.35,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,96.39,32.51,398.68,28.95,64.97,0,0,130.63,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,252.9,32.11,0,0,114.76,10.04,0,0,9.24,8.31,47,57.3,163.16,13.63,40.59,12.56,22.47,10.54,13.52,0,0,0,0,0

14,03:15-03:30,29.68,12,3.96,1.1,0,0,36.69,1.04,16.03,0.49,2.55,0,23.35,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,96.39,32.51,398.68,28.95,64.97,0,0,130.63,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,186.09,32.11,0,0,114.76,10.04,0,0,9.24,8.31,47,57.3,94.98,15.29,27.06,12.56,22.47,10.54,13.34,0,0,0,0,0

15,03:30-03:45,29.68,12,3.96,1.1,0,0,36.69,1.04,16.03,0.49,2.55,0,23.35,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,96.39,32.51,398.68,28.95,64.97,0,0,130.63,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,166.23,29.12,0,0,114.76,10.04,0,0,9.24,8.31,47,57.3,94.98,16.52,27.06,12.56,22.47,10.54,13.34,0,0,0,0,0

16,03:45-04:00,29.68,12,3.96,1.1,0,0,36.69,1.04,16.03,0.49,2.55,0,23.35,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,96.39,32.51,398.68,28.95,64.97,0,0,130.63,0,0,0,20.86,81.12,0,92.25,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,166.23,29.12,0,0,114.76,10.04,0,0,6.49,8.31,47,57.3,94.98,17.08,27.06,12.56,22.47,10.54,13.34,0,0,0,0,0

17,04:00-04:15,29.68,12,3.02,1.1,0,0,36.69,1.04,16.03,6.04,2.97,0,23.35,49.44,0,0,0,0,0,0,0,0,0,0,0,0,0,96.39,32.51,398.68,28.95,64.97,0,0,130.63,0,0,0,20.86,73.85,0,92.84,6.26,65.53,24.44,0,0,0,159.85,0,0,0,0,166.23,29.12,0,0,114.76,10.04,0,0,6.49,8.31,47,57.3,94.98,17.96,27.06,12.56,22.47,10.54,13.34,0,0,0,0,0

