Block,Time,KGSU1AND2,NLCIIST2,NLCTS2EXP,NNTPP,RAMPUR,RAPPB,RAPPC,SEWA2,SIMHST2,URI,VALLURNTECL,ANTA_CRF,CHAMERA3,NJPC,NLCEXP,RIHAND1,RSTPSU1TO6,TALST2,DADRI_RF,FSTPP I & II,MAPS,PARBATI3,SASAN,TANDA2,TEHRIPSP,DADRT2,DHAULIGNGA,DULHASTI,KHSTPP-II,RAPPD,RIHAND2,RSTPSU7,SIMHST1,TALA,URI2,BRBCL,KGSU3AND4,NAPP,NLCIIST1,SINGRAULI,TEHRI,UNCHAHAR2,AURY_CRF,DADRI_GF,JHAJJAR,KHSTPP-I,KKNP,KKNPPU2,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,ANTA_GF,ANTA_LF,AURY_RF,BSIUL,CHAMERA1,CHAMERA2,KUDGI,PARBATI2,SINGRAULI_HYDRO,TANAKPUR,ANTA_RF,DADRI_LF,KISHANGANGA,KOLDAM,KOTESHWR,NTPL,RIHAND3,SALAL,UNCHAHAR3,AURY_GF,AURY_LF,DADRI_CRF
1,00:00-00:15,0,0,0,0,5.68,0,65.11,18.34,0,44.16,0,0,33.95,175.8,0,48.09,0,0,106.06,19.46,0,36.43,340.88,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.37,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.09,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

2,00:15-00:30,0,0,0,0,5.68,0,65.11,18.34,0,44.16,0,0,33.95,175.8,0,48.09,0,0,106.06,19.46,0,36.43,340.88,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.37,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.09,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

3,00:30-00:45,0,0,0,0,5.68,0,65.11,18.34,0,44.16,0,0,33.95,175.8,0,48.09,0,0,106.06,19.46,0,36.43,340.88,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.37,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.09,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

4,00:45-01:00,0,0,0,0,5.68,0,65.11,18.34,0,44.16,0,0,33.95,175.8,0,48.09,0,0,106.06,19.46,0,36.43,340.88,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.37,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.09,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

5,01:00-01:15,0,0,0,0,5.68,0,65.11,18.34,0,44.16,0,0,33.95,175.8,0,48.09,0,0,106.06,19.46,0,36.43,340.88,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.37,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.34,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

6,01:15-01:30,0,0,0,0,5.68,0,65.11,18.34,0,44.16,0,0,33.95,175.8,0,48.09,0,0,106.06,19.46,0,36.43,340.88,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.4,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.34,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

7,01:30-01:45,0,0,0,0,5.68,0,65.11,18.34,0,44.16,0,0,33.95,175.8,0,48.09,0,0,106.06,19.46,0,36.43,363.38,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.44,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.34,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

8,01:45-02:00,0,0,0,0,5.68,0,65.11,18.34,0,44.16,0,0,33.95,175.8,0,48.09,0,0,106.06,19.46,0,36.43,369,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.4,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.34,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

9,02:00-02:15,0,0,0,0,5.68,0,65.11,18.34,0,52.36,0,0,33.95,175.8,0,48.09,0,0,106.06,20.15,0,36.43,374.62,5.73,192.57,689.39,42.46,38.32,98.87,40.15,125.27,0,0,24.4,37.41,24.99,0,24.23,0,97.47,79.43,44.52,0,0,667.27,45.53,0,0,0,21.65,2.94,0,0,82.48,19.56,42.15,47.12,0,38.71,0,13.11,52.6,0,6.97,8.63,45.08,0,130.84,77.27,27.38,0,0,0

