Block,Time Block,TANDA2,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TALST2,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,TALA,UNCHAHAR2,URI,SINGRAULI_HYDRO,TEHRI,MAPS,JHAJJAR,KOTESHWR,KKNP,KISHANGANGA,KKNPPU2,KHSTPP-I,KOLDAM,KUDGI,KHSTPP-II,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,CHAMERA1,CHAMERA3,BRBCL,CHAMERA2,BSIUL,ANTA_GF,ANTA_CRF,SIMHST2,RSTPSU7,RIHAND3,SEWA2,SINGRAULI,SALAL,SASAN,RIHAND2,RSTPSU1TO6,SIMHST1,NLCIIST2,RAMPUR,NLCTS2EXP,NAPP,RAPPC,NNTPP,NTPL,PARBATI3,RAPPB,NLCEXP,NJPC,NLCIIST1,RIHAND1,KGSU3AND4,KGSU1AND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,11.85,0,0,0,35.2,0,3.73,0,12.21,23.76,43.3,0,74.48,0,141.4,28.07,0,1.39,0,37.5,3.88,0,82.55,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,40.82,20.7,17.93,26,6.31,0,0,0,0,117.3,16.82,127.3,74.27,333.41,112.28,0,0,0,2.65,0,44.03,58.33,0,0,14.97,0,0,123.75,0,43.28,0,0,0,0,0,0,0

2,00:15-00:30,0,11.85,0,0,0,35.2,0,3.73,0,12.21,23.28,43.3,0,74.48,0,138.87,28.07,0,1.39,0,37.5,3.88,0,82.55,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,40.82,20.7,18.53,26,6.31,0,0,0,0,117.38,16.82,127.3,74.27,333.41,112.28,0,0,0,2.65,0,44.03,58.33,0,0,14.97,0,0,123.75,0,43.32,0,0,0,0,0,0,0

3,00:30-00:45,0,11.85,0,0,0,35.2,0,3.73,0,12.21,23.28,43.3,0,74.48,0,138.87,28.07,0,1.39,0,29.05,3.88,0,63.73,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,27.21,20.7,14.09,26,6.31,0,0,0,0,117.38,16.82,116.74,74.27,333.41,112.28,0,0,0,2.65,0,44.03,58.33,0,0,14.97,0,0,123.75,0,43.31,0,0,0,0,0,0,0

4,00:45-01:00,0,11.85,0,0,0,35.2,0,3.73,0,12.21,23.28,48.65,0,74.48,0,138.87,28.07,0,1.39,0,29.05,3.88,0,63.73,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,27.21,20.7,12.61,26,6.31,0,0,0,0,96.89,16.82,116.68,74.27,333.41,96.83,0,0,0,2.65,0,44.03,58.33,0,0,14.97,0,0,123.75,0,34.43,0,0,0,0,0,0,0

5,01:00-01:15,0,11.85,0,0,0,35.2,0,10.55,0,12.21,23.28,48.65,0,74.48,0,138.87,28.07,0,1.39,0,29.05,3.88,0,63.73,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,27.21,20.7,12.43,26,6.31,0,0,0,0,87.52,11.22,116.68,74.27,333.41,91.05,0,0,0,2.65,0,44.03,58.33,0,0,3.4,0,0,123.75,0,30.73,0,0,0,0,0,0,0

6,01:15-01:30,0,11.85,0,0,0,35.2,0,11.17,0,12.21,23.28,48.65,0,74.48,0,138.87,28.07,0,1.39,0,29.05,3.88,0,63.73,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,27.21,20.7,11.33,26,6.31,0,0,0,0,87.52,11.22,116.68,74.27,333.41,91.05,0,0,0,2.65,0,44.03,58.33,0,0,3.4,0,0,123.75,0,30.73,0,0,0,0,0,0,0

7,01:30-01:45,0,11.85,0,0,0,35.2,0,12.59,0,12.36,23.28,48.65,0,74.48,0,138.87,28.07,0,1.39,0,24.72,3.88,0,52.97,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,27.21,20.7,11.3,26,6.31,0,0,0,0,87.52,11.22,116.68,74.27,333.41,91.05,0,0,0,2.65,0,44.03,58.33,0,0,3.4,0,0,123.75,0,30.73,0,0,0,0,0,0,0

8,01:45-02:00,0,11.85,0,0,0,35.2,0,12.59,0,12.36,23.28,43.3,0,74.48,0,138.87,28.07,0,1.39,0,24.72,3.88,0,52.97,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,27.21,20.7,9.99,26,6.31,0,0,0,0,87.52,11.22,116.68,74.27,333.41,91.05,0,0,0,2.47,0,44.03,58.33,0,0,3.4,0,0,115.23,0,30.73,0,0,0,0,0,0,0

9,02:00-02:15,0,11.85,0,0,0,35.2,0,12.59,0,12.36,23.28,43.3,0,74.48,0,138.87,37.42,0,1.39,0,24.72,3.88,0,52.97,39.13,10.25,52.1,365.45,0,0,0,0,0,0,0,0,0,0,27.21,20.7,11.26,26,6.31,0,0,0,0,87.52,11.22,116.68,74.27,333.41,91.05,0,0,0,2.47,0,44.03,58.33,0,0,3.4,0,0,115.23,0,30.73,0,0,0,0,0,0,0

