Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/NR/2024/08/24/6404,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/31082024/SKS-Raigarh,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/08/24/7149,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/22052037/LT-59,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01102023/30042040/GNA_LT_36,NR/01082024/31082024/jitpl,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30092024/LT_MEJA_DELHI
1,00:00-00:15,0,0,0,0,0,13.61,18.34,0,18.33,46.67,46.67,0,0,0,0,0,0,55,13,0,0,30.78,273.05,4.93,32,0,100.61,12.44,98.4,0,0,125.54,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,87.11,262.19,0,96.57,32,48.28,6.39

2,00:15-00:30,0,0,0,0,0,14.01,18.34,0,18.33,46.33,46.33,0,0,0,0,0,0,55,13,0,0,30.78,273.05,4.93,32,0,100.61,12.44,70.37,0,0,125.54,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,87.11,262.19,0,96.57,32,48.28,6.39

3,00:30-00:45,0,0,0,0,0,15,18,0,18,45.67,45.67,0,0,0,0,0,0,54,13,0,0,30.27,273.05,4.93,32,0,100.61,12.44,70.37,0,0,125.54,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,87.11,262.19,0,96.57,32,48.28,6.39

4,00:45-01:00,0,0,0,0,0,14.8,17.66,0,17.67,44.67,44.67,0,0,0,0,0,0,53,13,0,0,30.27,273.05,4.93,32,0,100.61,12.44,70.37,0,0,125.54,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,87.11,262.19,0,96.57,32,48.28,6.39

5,01:00-01:15,0,0,0,0,0,14.6,17.5,0,17.5,44.33,44.33,0,0,0,0,0,0,52.5,12.66,0,0,30.27,273.05,4.73,32,0,100.61,12.44,70.37,0,0,0,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,68.11,235.2,0,96.57,32,48.28,6.39

6,01:15-01:30,0,0,0,0,0,14.4,17.16,0,17.17,43.67,43.67,0,0,0,0,0,0,51.5,12.66,0,0,30.27,273.05,4.73,32,0,100.61,12.44,70.37,0,0,0,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,57.65,199.55,0,96.57,32,48.28,6.39

7,01:30-01:45,0,0,0,0,0,14.4,17.34,0,17.33,43.33,43.33,0,0,0,0,0,0,52,12.66,0,0,30.27,273.05,4.73,32,0,71.64,12.44,70.37,0,0,0,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,57.65,199.55,0,96.57,32,48.28,6.39

8,01:45-02:00,0,0,0,0,0,14.4,17.66,0,17.67,43.67,43.67,0,0,0,0,0,0,53,12.66,0,0,30.27,273.05,4.73,32,0,53.11,12.44,70.37,0,0,0,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,57.65,170.58,0,96.57,32,48.28,6.39

9,02:00-02:15,0,0,0,0,0,14.6,17.84,0,17.83,53.33,53.33,0,0,0,0,0,0,53.5,13.34,0,0,30.27,273.05,4.55,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,57.65,170.58,0,96.57,26.9071,48.28,6.39

10,02:15-02:30,0,0,0,0,0,14.6,17.84,0,17.83,54,54,0,0,0,0,0,0,53.5,13.34,0,0,30.27,273.05,4.55,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,57.65,170.58,0,96.57,26.9071,48.28,6.39

11,02:30-02:45,0,0,0,0,0,18.6,18,0,18,54,54,0,0,0,0,0,0,54,13.34,0,0,30.27,273.05,4.55,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,57.65,170.58,0,96.57,26.9071,48.28,6.39

12,02:45-03:00,0,0,0,0,0,18,18.16,0,18.17,53.67,53.67,0,0,0,0,0,0,54.5,13,0,0,30.27,273.05,4.55,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,38.63,0,0,24.14,0,24.68,96.57,15.76,57.65,170.58,0,96.57,26.9071,48.28,6.39

13,03:00-03:15,0,0,0,0,0,17.2,21,0,21,53.67,53.67,0,0,0,0,0,0,63,16.66,0,0,30.27,231.77,4.36,26.9071,0,53.11,12.44,70.37,0,0,0,21.25,0,0,0,24.14,0,24.68,96.57,15.31,57.65,170.58,0,96.57,26.9071,48.28,6.39

