Column1,Time,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2025/04/01/8964,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8510,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/8954,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/4138,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/6363,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/5800,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/7791,GNA/NR/2025/04/01/8456
1,00:00-00:15,0,51.67,22.67,0,0,0,0,17.5,0,52.5,0,17.5,0,51.66,0,7.6,0,7.25,17.48,7.81,6.54,0,19.59,85.82,30,5.92,27.75,5.79,86.42,0,0,17.38,28.96,0,0,0,0,0,0,164.1,164.1,258.61,14.48,272.94,67.57,3.93,13.51,14.48,0,28.96,10.62,123.08,0,6.76

2,00:15-00:30,0,50.67,22,0,0,0,0,17.33,0,52.01,0,17.33,0,50.66,0,7.6,0,7.25,17.48,7.81,6.54,0,15.33,85.82,30,5.92,27.75,5.79,86.42,0,0,17.38,28.96,0,0,0,0,0,0,164.1,164.1,258.61,14.48,272.94,67.57,3.93,13.51,14.48,0,28.96,10.62,123.08,0,6.76

3,00:30-00:45,0,50,21.33,0,0,0,0,17.17,0,51.49,0,17.17,0,50,0,7.6,0,7.25,23.14,9.02,6.54,0,11.07,85.82,30,5.92,27.75,5.79,86.42,0,0,17.38,28.96,0,0,0,0,0,0,164.1,164.1,258.61,14.48,272.94,67.57,3.93,13.51,14.48,0,28.96,10.62,123.08,0,6.76

4,00:45-01:00,0,49.33,21,0,0,0,0,17,0,51,0,17,0,49.34,0,7.6,0,7.25,23.14,9.02,6.54,0,6.82,85.82,30,5.92,27.75,5.79,86.42,0,0,17.38,28.96,0,0,0,0,0,0,164.1,164.1,258.61,14.48,272.94,67.57,3.93,13.51,14.48,0,28.96,10.62,123.08,0,6.76

5,01:00-01:15,0,49,20,0,0,0,0,17,0,51,0,17,0,49,0,7.6,0,7.25,23.14,9.21,6.47,0,2.56,85.82,30,5.76,27.75,5.79,86.42,0,0,17.38,28.96,0,0,0,0,0,0,164.1,164.1,258.61,14.48,272.94,67.57,3.93,13.51,14.48,0,28.96,10.62,123.08,0,6.76

