Column1,Block,NR/2025/27968/A/85802,NR/2025/30492/A/85589,NR/2025/30083/A/85820,NR/2025/30724/C,NR/2025/30731/C,NR/2025/29440/A/85487,NR/2025/30732/C,NR/2025/30631/C,NR/2025/30191/A/85380,NR/2025/29352/A/85463,NR/2025/30668/C,NR/2025/30101/A/85928,NR/2025/30669/C,NR/2025/30742/C,NR/2025/30657/C,NR/2025/30689/C,NR/2025/30719/C,NR/2025/27962/A/85799,NR/2025/30727/C,NR/2025/30720/C,NR/2025/30732/C/Alternate/1,NR/2025/30735/C,NR/2025/30082/A/85867,NR/2025/30736/C,NR/2025/30121/A/85384,NR/2025/30738/C,NR/2025/29167/A/85481,GNARE/NR/2024/12/20/3668,NR/2025/29439/A/85531,NR/2025/30666/C,NR/2025/30612/C,NR/2025/29985/A/85789,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2236,NR/2025/30334/A/85378,NR/2025/30757/C,NR/2025/29915/A/85482,NR/2025/27970/A/85803,NR/2025/30086/A/85818,NR/2025/29628/A/85826,NR/2025/30084/A/85819,NR/2025/27964/A/85801,NR/2025/27978/A/85881,NR/2025/27963/A/85800,NR/2025/30734/C,NR/2025/28725/A/85770,NR/2025/30105/A/85817,GNA/NR/2025/07/01/3109,NR/2025/30067/A/85918,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2997,NR/2025/29910/A/85823,GNA/NR/2025/07/01/8230,NR/2025/29992/A/85524,NR/2025/26975/A/85843,NR/2025/29353/A/85461,GNA/NR/2025/07/01/8154,NR/2025/29986/A/85791,NR/2025/30660/C,NR/2025/30217/A/85816,Total
,,PowerPulse,DIAPL,APPCPL,NVVNL,NVVNL,ITCLH,NVVNL,BYPL,IEXL,PTC,PowerPulse,NVVNL,PowerPulse,APPCPL,PowerPulse,ITCLH,APPCPL,PowerPulse,NVVNL,APPCPL,NVVNL,APPCPL,HPXL,APPCPL,IEXL,APPCPL,TPTCL,SECI_Trader,IVPL_Trader,PowerPulse,IEXL,BRPL,PTC,BAWANA_GAS,PowerPulse,DELHI,PUNJAB,PowerPulse,IEXL,MES_Delhi,TPTCL,PowerPulse,APPCPL,APPCPL,APPCPL,PowerPulse,NVVNL,PowerPulse,APPCPL,PowerPulse,APPCPL,APPCPL,MANIKARAN,NDMC,APPCPL,APPCPL,PowerPulse,BYPL,APPCPL,PTC,MANIKARAN,BRPL,HPXL,APPCPL,
,,NA,HIMACHAL_STATE,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,KERALA_State,NA,GoHP_Chamera1_STATE,NA,MP_State,NA,NA,NA,ANDHRA_PRADESH_STATE,MSEB_State,NA,MP_State,KERALA_State,NA,NA,NA,NA,TAMILNADU_State,NA,MSEB_State,NA,MSEB_State,NA,NA,NA,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,UTTARPRADESH_STATE,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,NA,GOA_State,NA,NA,GOA_State,KERALA_State,NA,KERALA_State,Manipur_State,GoHP_NJPC_STATE,MSEB_State,NA,NA,NA,
,,APL_Raigarh_TPP,GBHHPL,SKS_Raigarh,JPNIGRIE_JNSTPP,SORANG_HEP,ITCWIND,Kameng,KSEB,IND_BHARAT,GoHP_Chamera1,APL_Raigarh_TPP,JP_BINA,APL_Raipur_TPP,RKM_POWER,MAHAN_ENERGEN,ITCWIND,AEML,APL_Raipur_TPP,JP_BINA,KSEB,Kameng,RKM_POWER,SKS_Raigarh,JIPL,PCBLTNLTD_UNIT2,TRN_ENERGY,TPC_MSEB,APSEPL_FTG,TPC_MSEB,MAHAN_ENERGEN,IND_BHARAT,TS1PL_BKN,MEENAKSHI,BAWANA_GAS,APL_Raipur_TPP,CHANJUII,BAWANA_GAS,MAHAN_ENERGEN,TPSL_BKN2,NTPCREL_PSS2_KPS2_S,PPGCL,APL_Raigarh_TPP,RKM_POWER,AEML,RKM_POWER,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,SKS_Raigarh,MAHAN_ENERGEN,JIPL,GOA_Beneficiary,MBMP,JPL2,GOA_Beneficiary,KSEB,APL_Raipur_TPP,KSEB,Manipur_Ben,GoHP_NJPC,AEML,DADRT2,SKS_Raigarh,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,DIAPL,NDMC,TPDDL,TPDDL,ITCLH,TPDDL,BYPL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,NDMC,BRPL,ITCLH,BYPL,TPDDL,TPDDL,BYPL,TPDDL,NDMC,BRPL,NDMC,MES_Delhi,NDMC,BYPL,TPDDL,BYPL,TPDDL,BRPL,BRPL,BRPL,HARYANA,BRPL,TPDDL,PUNJAB,BRPL,MES_Delhi,MES_Delhi,BRPL,TPDDL,NDMC,BYPL,NDMC,TPDDL,TPDDL,TPDDL,NDMC,BRPL,NDMC,BRPL,BRPL,NDMC,BRPL,BYPL,BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,BRPL,NDMC,
,,West-North,North-North,West-North,West-North,North-North,South-West-North,North East-East-North,South-West-North,East-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,North East-East-West-North,West-North,West-North,East-North,South-West-North,West-North,West-North,North-North,West-North,West-North,East-North,North-North,South-East-North,North-North,West-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,North East-East-North,North-North,West-North,North-North,West-North,West-North,
1,00:00-00:15,0,12.51,4.37,0,27.91,0.91,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,49.09,6,134.99,15.02,32,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2138.1800000000003

2,00:15-00:30,0,12.51,4.37,0,27.91,0.91,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,49.09,6,134.99,15.02,32,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2138.1800000000003

3,00:30-00:45,0,12.51,4.37,0,27.91,0.91,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,49.09,6,134.99,15.02,32,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2138.1800000000003

4,00:45-01:00,0,12.51,4.37,0,27.91,0.91,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,49.09,6,134.99,15.02,32,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2138.1800000000003

5,01:00-01:15,0,12.51,4.37,0,27.91,0.77,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,49.09,14.25,134.99,15.02,32,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2146.29

6,01:15-01:30,0,12.51,4.37,0,27.91,0.77,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,49.09,14.25,134.99,15.02,32,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2146.29

7,01:30-01:45,0,12.51,4.37,0,27.91,0.77,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,49.09,14.25,134.99,15.02,32,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2146.29

8,01:45-02:00,0,12.51,4.37,0,27.91,0.77,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,25.1,0,0,0,49.09,14.25,134.99,15.02,32,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2146.29

9,02:00-02:15,0,12.51,4.37,0,27.91,0.67,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,0,0,0,0,49.09,26.5,134.99,12.71,26.5,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2125.5299999999997

10,02:15-02:30,0,12.51,4.37,0,27.91,0.67,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,0,0,0,0,49.09,26.5,134.99,12.71,26.5,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2125.5299999999997

11,02:30-02:45,0,12.51,4.37,0,27.91,0.67,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,0,0,0,0,49.09,26.5,134.99,12.71,26.5,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2125.5299999999997

12,02:45-03:00,0,12.51,4.37,0,27.91,0.67,0,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,163.87,0,24.06,0,6.74,0,54.14,0,0,0,0,0,49.09,26.5,134.99,12.71,26.5,81.81,0,0,20.45,0,26.25,105.88,26.25,0,96.25,0,0,143.17,17.5,19.25,204.53,43.75,15.26,19.25,224.98,44.28,26.47,81.81,20.76,134.75,0,7.7,2125.5299999999997

13,03:00-03:15,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,1801.48

14,03:15-03:30,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,1801.48

15,03:30-03:45,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,1801.48

16,03:45-04:00,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,54.14,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,1801.48

17,04:00-04:15,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,1747.34

18,04:15-04:30,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,1747.34

19,04:30-04:45,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,1747.34

20,04:45-05:00,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,19.25,224.98,44.28,5.78,81.81,20.76,134.75,0,7.7,1747.34

21,05:00-05:15,0,12.51,4.37,0,27.91,0.63,93.64,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,70.22,0,24.06,0,6.74,0,0,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1609.9199999999998

22,05:15-05:30,0,12.51,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1609.9299999999998

23,05:30-05:45,0,11.55,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0,0,0,0,0,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1608.9699999999998

24,05:45-06:00,0,11.55,4.37,0,27.91,0.63,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,0.59,0,0,0,1,0,26.5,134.99,12.71,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1610.5599999999997

25,06:00-06:15,0,11.55,4.37,0,27.91,0.82,163.87,0,48.12,28.63,0,48.12,0,0,0,0,0,96.25,0,0,0,0,24.06,0,6.74,0,0,1.78,0,0,0,3,0,26.5,134.99,16.85,26.5,81.81,0,0,0,0,26.25,76.63,26.25,0,96.25,0,0,143.17,17.5,19.25,0,43.75,15.26,16.59,224.98,44.28,5.78,81.81,20.76,0,0,7.7,1618.08

