Column1,Time,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/4503,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/5428,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/9042,NR/01102023/31052040/LT-31,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/9061,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/1868,NR/01102023/30042040/GNA_LT_35,L_NR_2019_19,NR/30092023/26122029/SH-06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,0,0,0,66.86,8.64,25.23,25.93,0,195.58,1.16,17.29,0,142.69,25.93,47.56,1.6,25.93,35.02,0,2.2,1.61,52.82,8.64,0,0,0,16,0,7.5,6.67,22.5,7.5,16,7.2,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,66.86,8.64,25.23,25.93,0,195.58,1.16,17.29,0,142.69,25.93,47.56,1.6,25.93,35.02,0,2.2,1.61,52.82,8.64,0,0,0,15.66,0,7.5,6.67,22.5,7.5,15.67,7.2,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,66.86,8.64,25.74,25.93,0,195.58,1.16,17.29,0,142.69,25.93,47.56,1.6,25.93,35.02,0,2.2,1.61,52.82,8.64,0,0,0,15.34,0,7.5,6.67,22.5,7.5,15.33,7.2,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,66.86,8.64,26.24,25.93,0,195.58,1.16,17.29,0,142.69,25.93,47.56,1.6,25.93,35.02,0,2.2,1.61,52.82,8.64,0,0,0,15,0,7.33,6.67,22.01,7.33,15,7.2,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,57.34,8.64,26.24,25.93,0,183.44,1.16,17.29,0,142.69,25.93,47.56,1.6,25.93,35.02,0,2.2,1.61,52.82,8.64,0,0,0,14.34,0,7.33,6.67,22.01,7.33,14.33,7.2,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,57.34,8.64,26.24,25.93,0,154.62,1.16,17.29,0,142.69,25.93,47.56,1.6,25.93,35.02,0,2.2,1.61,52.82,8.64,0,0,0,13.66,0,7.33,6.67,22.01,7.33,13.67,7.2,0,0,0,0,0,0,0,0,0,0

