Time,Block,NR/2023/12923/F,NR/2023/14086/D,NR/2023/11507/A,NR/2023/12706/A,NR/2023/10651/A,NR/2023/13985/F,NR/2023/10432/A,NR/2023/12922/F,NR/2023/11953/A,NR/2023/10956/A,NR/2023/12919/F,NR/2023/10786/A,NR/2023/14101/C,NR/2023/10436/A,NR/2023/12921/F,NR/2023/13679/F,NR/2023/11068/A,NR/2023/10959/A,NR/2023/11712/A,NR/2023/12924/F,NR/2023/12814/F,NR/2023/10488/A,NR/2023/10561/A,NR/2023/12813/F,NR/2023/10705/A,NR/2023/13369/F,NR/2023/12920/F,NR/2023/14087/D,NR/2023/12872/F,NR/2023/12169/A,NR/2023/10947/A,NR/2023/10460/A,NR/2023/14099/C,NR/2023/10720/A,NR/2023/12916/F,NR/2023/12917/F,NR/2023/10435/A,NR/2023/14085/D,NR/2023/14092/C,NR/2023/11709/A,NR/2023/10650/A,ER/2023/8673/C,NR/2023/12915/F,NR/2023/12661/A,NR/2023/11266/A,NR/2023/14088/D,NR/2023/14083/D,NR/2023/14089/D,Total
,,SHPPBPL,KEIPL,TPTCL,HPXL,KEIPL,GMRETL,TPTCL,SHPPBPL,KEIPL,NVVNL,SHPPBPL,STATKRAFT,PXIL,APPCPL,SHPPBPL,IEXL,APPCPL,NVVNL,MANIKARAN,SHPPBPL,MANIKARAN,TPTCL,PTC,MANIKARAN,KEIPL,SJVNL,SHPPBPL,NVVNL,ITCLH,APPCPL,APPCPL,GMRETL,TPDDL,KEIPL,SHPPBPL,SHPPBPL,NVVNL,KEIPL,GBHHPL,MANIKARAN,KEIPL,HPXL,SHPPBPL,NVVNL,TPTCL,TS1PL_BKN,NVVNL,TS1PL_BKN,Total

,,HIMACHAL PRADESH,UTTAR PRADESH,NA,MAHARASHTRA,MEGHALAYA,GOA,ODISHA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,TAMIL NADU,DELHI,MEGHALAYA,HIMACHAL PRADESH,JAMMU AND KASHMIR,UTTARAKHAND,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,KERALA,WEST BENGAL,HIMACHAL PRADESH,NA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,WEST BENGAL,HIMACHAL PRADESH,TAMIL NADU,KERALA,DELHI,HIMACHAL PRADESH,NA,NA,NA,NA,NA,
,,SHPPBPL,LAPL-UP,JPL,B_S_ISPAT_MH,Meghalaya_Ben,GOA_Beneficiary,NBVLIPP,SHPPBPL,Meghalaya_Ben,JPNIGRIE_JNSTPP,SHPPBPL,TANGEDCO,BYPL,Meghalaya_Ben,SHPPBPL,SAPU1234,UTTARAKHAND,KAMENG,TANGEDCO,SHPPBPL,HP,APNRL,JPNIGRIE_JNSTPP,HP,KSEB,IPCL_WB,SHPPBPL,KAMENG,ITCWIND,HP,HP,Meghalaya_Ben,CHANJUII,TANGEDCO,SHPPBPL,SHPPBPL,SEIL,IPCL_WB,GBHHPL,TANGEDCO,KSEB,BYPL,SHPPBPL,SKS Raigarh,KWHEP,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MHIL,BYPL,BRPL,NDMC,BYPL,TPDDL,TPDDL,JHPL-DL,BYPL,BRPL,AISHER,BYPL,ASIL_UP,BYPL,MAX-HPTL,MES (Delhi),BYPL,BRPL,BRPL,UHL,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,BMDRC,TPDDL,ITCLH,BRPL,BYPL,BYPL,TPDDL,BYPL,BAL224,BAL234,TPDDL,BYPL,DIAPL,BRPL,BYPL,VLSEZ,BAL184,NDMC,BRPL,BRPL,MES (Delhi),BYPL,
,,North-North,North-North,West-North,West-North,North East-East-North,West-North,East-North,North-North,North East-East-North,West-North,North-North,South-West-North,North-North,North East-East-North,North-North,North-North,North-North,North East-East-North,South-West-North,North-North,North-North,East-North,West-North,North-North,South-West-North,East-North,North-North,North East-East-North,South-West-North,North-North,North-North,North East-East-North,North-North,South-West-North,North-North,North-North,South-West-North,East-North,North-North,South-West-North,South-West-North,North-East,North-North,West-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.04

2,00:15-00:30,0.610000,38.720000,255.460000,6.780000,63.160000,24.200000,43.560000,1.020000,36.520000,85.150000,0.820000,98.740000,0.000000,24.200000,0.930000,4.840000,48.400000,21.280000,64.370000,0.610000,85.670000,48.400000,48.400000,62.920000,232.430000,0.000000,0.930000,147.880000,0.480000,54.210000,23.230000,23.230000,19.590000,23.720000,0.520000,0.920000,24.200000,0.000000,32.610000,23.170000,83.250000,0.000000,0.370000,62.920000,63.620000,0,0,0,1882.04
