Block,Time Block,ANTA_LF,ANTA_GF,ANTA_CRF,URI,UNCHAHAR4,VALLURNTECL,UNCHAHAR3,URI2,UNCHAHAR2,DADRI_RF,DADRI_LF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,TEHRI,SASAN,TANDA2,SIMHST1,SIMHST2,SINGRAULI_HYDRO,TALST2,SEWA2,TANAKPUR,UNCHAHAR1,SINGRAULI,TelanganaSTPP,TALA,BSIUL,CHAMERA3,BRBCL,CHAMERA2,DHAULIGNGA,DADRT2,DULHASTI,CHAMERA1,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,FSTPP I & II,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,NLCIIST1,MAPS,NJPC,NLCIIST2,NLCTS2EXP,KOTESHWR,NAPP,NNTPP,KUDGI,NLCEXP,SALAL,RIHAND1,RAMPUR,RAPPC,RSTPSU1TO6,RSTPSU7,NTPL,RIHAND3,PARBATI3,RAPPB,RIHAND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,8.53,0,0,0,24.18,40.98,0,0,0,0,0,0,0,0,0,45.12,402.08,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,17.62,330.09,47.77,13.58,42.78,458.37,0,0,20.1,95.55,0,0,0,0,0,0,82.37,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

2,00:15-00:30,0,0,0,8.53,0,0,0,24.18,40.98,0,0,0,0,0,0,0,0,0,45.12,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,17.62,330.09,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,76.71,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

3,00:30-00:45,0,0,0,8.53,0,0,0,24.18,40.98,0,0,0,0,0,0,0,0,0,45.12,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,17.62,330.09,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,76.71,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

4,00:45-01:00,0,0,0,8.53,0,0,0,24.18,40.98,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,17.62,330.09,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,76.71,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

5,01:00-01:15,0,0,0,8.53,0,0,0,24.18,40.98,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,26.56,330.09,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,76.71,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

6,01:15-01:30,0,0,0,8.53,0,0,0,24.18,40.98,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,26.56,330.09,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

7,01:30-01:45,0,0,0,8.53,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,26.56,330.09,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

8,01:45-02:00,0,0,0,8.53,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,26.56,330.09,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

9,02:00-02:15,0,0,0,8.53,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

10,02:15-02:30,0,0,0,8.53,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

11,02:30-02:45,0,0,0,8.53,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

12,02:45-03:00,0,0,0,8.53,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,12.62,19.87,123.22,0,10.09,0,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,458.37,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

13,03:00-03:15,0,0,0,8.53,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,11.14,16.67,123.22,0,10.09,0,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,371.19,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

14,03:15-03:30,0,0,0,8.53,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,11.14,16.67,123.22,0,10.09,0,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,371.19,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

15,03:30-03:45,0,0,0,6.41,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,10.09,0,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,332.54,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

16,03:45-04:00,0,0,0,6.41,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,10.09,1.06,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,313.21,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,37.06,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

17,04:00-04:15,0,0,0,5.33,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.94,6.3,9.35,14.5,10.31,26.56,328.47,47.77,0,43.41,313.21,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

18,04:15-04:30,0,0,0,5.33,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.94,6.3,9.35,14.5,10.31,26.56,328.47,47.77,11.45,43.41,293.88,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

19,04:30-04:45,0,0,0,5.33,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,14.43,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.94,6.3,9.35,14.5,10.31,26.56,328.47,47.77,11.45,43.41,264.89,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

20,04:45-05:00,0,0,0,5.33,0,0,0,9.1,40.98,0,0,0,0,0,0,0,0,0,15.04,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.8,6.3,9.35,14.5,10.31,26.56,328.47,47.77,11.45,43.41,264.89,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

21,05:00-05:15,0,0,0,5.33,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.8,6.3,9.35,14.5,10.31,26.56,316.8,47.77,13.58,43.41,206.91,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,3.44,0,114.77,0,0,0,0,0

22,05:15-05:30,0,0,0,5.33,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,30.08,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.66,6.3,9.35,14.5,10.31,26.56,316.8,47.77,13.58,43.41,206.91,0,0,20.1,95.55,0,0,0,0,0,0,67.81,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,4.92,0,114.77,0,0,0,0,0

23,05:30-05:45,0,0,0,5.33,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,15.04,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.37,6.3,9.35,14.5,11.6,26.56,328.47,47.77,13.58,43.41,206.91,0,0,20.1,95.55,0,0,0,0,0,0,76.87,0,0,17.15,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,7.38,0,114.77,0,0,0,0,0

24,05:45-06:00,0,0,0,5.33,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,15.04,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.23,6.3,18.71,14.5,16.11,26.56,328.47,47.77,13.58,43.41,206.91,0,0,20.1,95.55,0,0,0,0,0,0,76.87,0,0,25.73,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,47.36,0,114.77,0,0,0,0,0

25,06:00-06:15,0,0,0,5.33,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,15.04,402.26,0,0,0,0,0,0,12.51,16.67,128.29,0,8.96,18.9,29.53,14.5,39.42,26.81,293.02,48.25,13.58,43.41,206.91,0,0,20.1,95.55,0,0,0,0,0,0,113.02,0,0,38.11,39.01,0,0,0,76.71,44.45,0,49.66,0,0,0,120.14,47.36,0,114.77,0,0,0,0,0

26,06:15-06:30,0,0,0,5.33,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,15.04,402.26,0,0,0,0,0,0,12.51,16.67,128.29,0,8.66,18.9,29.53,14.5,39.42,26.81,287.8,48.25,12.98,43.41,206.91,0,0,20.1,95.55,0,0,0,0,0,0,113.02,0,0,38.11,39.01,0,0,0,76.71,44.45,0,49.66,0,0,0,120.14,47.36,0,114.77,0,0,0,0,0

27,06:30-06:45,0,0,0,49.08,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,15.04,402.26,0,0,0,0,0,0,12.51,16.67,128.29,0,8.39,18.9,29.53,14.5,39.42,26.81,317.86,48.25,0,43.41,206.91,0,0,17.32,95.55,0,0,0,0,0,0,113.02,0,0,38.11,39.01,0,0,0,76.71,44.45,0,49.66,0,0,0,120.14,47.36,0,114.77,0,0,0,0,0

28,06:45-07:00,0,0,0,49.08,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,15.04,402.26,0,0,0,0,0,0,12.51,16.67,128.29,0,8.39,18.9,29.53,14.5,39.42,26.81,328.47,48.25,0,43.41,206.91,0,0,17.32,95.55,0,0,0,0,0,0,113.02,0,0,38.11,39.01,0,0,0,76.71,44.45,0,49.66,0,0,0,120.14,47.36,0,114.77,0,0,0,0,0

29,07:00-07:15,0,0,0,12.8,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,0,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,8.39,6.3,18.71,14.5,38.18,26.56,328.47,47.77,0,43.41,206.91,0,0,17.32,95.55,0,0,0,0,0,0,113.02,0,0,19.06,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,47.36,0,114.77,0,0,0,0,0

30,07:15-07:30,0,0,0,8.53,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,0,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,8.39,6.3,9.35,14.5,25.45,26.56,328.47,47.77,0,43.41,206.91,0,0,17.32,95.55,0,0,0,0,0,0,113.02,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,6.15,0,114.77,0,0,0,0,0

31,07:30-07:45,0,0,0,8.53,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,0,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,8.52,6.3,9.35,14.5,25.45,26.56,328.47,47.77,0,43.41,206.91,0,0,17.32,95.55,0,0,0,0,0,0,82.37,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,3.44,0,114.77,0,0,0,0,0

32,07:45-08:00,0,0,0,8.53,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,0,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,8.8,6.3,9.35,14.5,25.45,26.56,328.47,47.77,0,43.41,206.91,0,0,17.32,95.55,0,0,0,0,0,0,82.37,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

33,08:00-08:15,0,0,0,5.87,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,0,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.37,6.3,9.35,14.5,2.58,26.56,297.47,47.77,0,43.41,158.39,0,0,17.32,95.55,0,0,0,0,0,0,82.37,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

34,08:15-08:30,0,0,0,5.87,0,0,0,9.1,35.31,0,0,0,0,0,0,0,0,0,0,402.26,0,0,0,0,0,0,11.14,16.67,128.29,0,9.37,6.3,0,14.5,2.58,26.56,301.35,47.77,0,43.41,158.39,0,0,17.32,95.55,0,0,0,0,0,0,82.37,0,0,8.57,39.01,0,0,0,49.41,44.45,0,49.66,0,0,0,120.14,0,0,114.77,0,0,0,0,0

