Column1,Block,NR/2024/22898/A/35480,NR/2024/22899/A/35482,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/03/9052,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,NR/2024/22833/A/35563,NR/2024/22753/A/35518,GNA/NR/2024/09/01/4802,NR/2024/22872/A/35314,NR/2024/22754/A/35517,NR/2024/21658/A/35241,NR/2024/22734/A/35498,NR/2024/22848/A/35530,NR/2024/22802/A/35565,NR/2024/22888/A/35522,NR/2024/22957/C,NR/2024/22874/A/35566,NR/2024/22860/A/35528,NR/2024/22837/A/35562,NR/2024/22954/C,NR/2024/22835/A/35575,NR/2024/22816/A/35266,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/3451,NR/2024/22820/A/35288,GNA/NR/2024/09/01/2171,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2024/22958/C,GNA/NR/2024/09/01/9821,NR/2024/22832/A/35564,NR/2024/22839/A/35561,NR/2024/22955/C,NR/2024/22961/C,Total
86,21:15-21:30,0,0,12.47,48.4,145.18,15.53,96.79,24.2,24.74,37.39,0,62.08,11.61,0,0.77,96.79,84.38,0,43.56,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,32,32,28.07,0,37.39,12.47,0,0,1504.31

87,21:30-21:45,0,0,12.47,48.4,145.18,15.53,96.79,24.2,24.74,37.39,0,62.08,11.61,0,0.77,96.79,84.38,0,43.56,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,32,32,28.07,0,37.39,12.47,0,0,1504.31

88,21:45-22:00,0,0,12.47,48.4,145.18,15.53,96.79,24.2,24.74,37.39,0,62.08,11.61,0,0.77,96.79,84.38,0,43.56,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,32,32,28.07,0,37.39,12.47,0,0,1504.31

89,22:00-22:15,0,0,12.47,48.4,145.18,12.29,96.79,24.2,24.74,37.39,179.67,62.08,10.65,59.89,0.77,96.79,84.38,0,43.56,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,30.5,30.5,28.07,0,37.39,12.47,0,0,1736.67

90,22:15-22:30,0,0,12.47,48.4,145.18,12.29,96.79,24.2,24.74,37.39,179.67,62.08,10.65,59.89,0.77,96.79,84.38,0,43.56,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,30.5,30.5,28.07,0,37.39,12.47,0,0,1736.67

91,22:30-22:45,0,0,12.47,48.4,145.18,12.29,96.79,24.2,24.74,37.39,179.67,62.08,9.68,59.89,0.77,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,30.5,30.5,28.07,0,37.39,12.47,0,0,1759.89

92,22:45-23:00,0,0,12.47,48.4,145.18,12.29,96.79,24.2,24.74,37.39,179.67,62.08,9.68,59.89,0.77,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,90.98,0,21.78,48.4,4.84,2.42,30.5,30.5,28.07,0,37.39,12.47,0,0,1759.89

93,23:00-23:15,0,0,12.47,48.4,0,12.29,96.79,24.2,24.74,37.39,179.67,62.08,9.68,59.89,0.77,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,94.27,0,21.78,48.4,4.84,2.42,30.5,30.5,28.07,0,37.39,12.47,0,0,1618

94,23:15-23:30,0,0,12.47,48.4,0,12.29,96.79,24.2,24.74,37.39,179.67,62.08,9.68,59.89,0.77,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,94.27,0,21.78,48.4,4.84,2.42,30.5,30.5,28.07,0,37.39,12.47,0,0,1618

95,23:30-23:45,0,0,12.47,48.4,0,12.29,96.79,24.2,24.74,37.39,179.67,62.08,9.68,59.89,0.77,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,94.27,0,21.78,48.4,4.84,2.42,0,0,28.07,0,37.39,12.47,0,0,1557

96,23:45-24:00,0,0,12.47,48.4,0,12.29,96.79,24.2,24.74,37.39,179.67,62.08,9.68,59.89,0.77,96.79,84.38,0,67.75,164.78,32.37,13.55,37.39,241.98,94.27,0,21.78,48.4,4.84,2.42,0,0,28.07,0,37.39,12.47,0,0,1557

