Column1,Block,NR/2025/26335/A/73886,NR/2025/26755/A/73251,GNARE/NR/2024/12/20/3668,NR/2025/27055/C,NR/2025/27061/C,GNA/NR/2025/05/01/3877,NR/2025/26291/A/73728,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,NR/2025/27111/C,GNA/NR/2025/05/01/7791,NR/2025/27076/C,NR/2025/27118/C,NR/2025/26232/A/73732,NR/2025/26004/A/73305,NR/2025/27087/C,NR/2025/25861/A/73680,NR/2025/26101/A/73420,NR/2025/26153/A/73253,NR/2025/26289/A/73729,NR/2025/25860/A/73681,NR/2025/26959/A/73397,NR/2025/26005/A/73306,NR/2025/26785/A/73252,NR/2025/27082/C,NR/2025/25859/A/73682,NR/2025/26085/A/73210,NR/2025/26828/A/73848,NR/2025/26336/A/73876,NR/2025/26827/A/73849,NR/2025/26879/A/73881,NR/2025/26265/A/73730,NR/2025/27025/C,NR/2025/26233/A/73731,NR/2025/27089/C,NR/2025/27031/C,NR/2025/25967/A/73674,NR/2025/27092/C,NR/2025/27033/C,NR/2025/27093/C,NR/2025/27028/C,NR/2025/26379/A/73673,NR/2025/27029/C,NR/2025/27117/C,NR/2025/27084/C,NR/2025/26082/A/73771,NR/2025/26825/A/73850,NR/2025/27161/C,NR/2025/26822/A/73851,NR/2025/27094/C,NR/2025/26202/A/73769,NR/2025/27095/C,NR/2025/27023/C,NR/2025/26829/A/73847,NR/2025/26191/A/73303,NR/2025/27086/C,NR/2025/27096/C,GNA/NR/2025/05/20/6516,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/20/8885,GNA/NR/2025/05/01/7902,NR/30092023/31122025/SH-07,Total
,,BRPL,IEXL,SECI_Trader,PXIL,PowerPulse,PXIL,HPXL,DELHI,IEXL,PowerPulse,PXIL,HPXL,DIAPL,IEXL,TPDDL,IEXL,HPXL,PXIL,NVVNL,PowerPulse,GMRETL,IEXL,HPXL,PowerPulse,DIAPL,PXIL,IEXL,GEPL_Trader,PowerPulse,ITCLH,APPCPL,BRPL,APPCPL,BRPL,HPXL,HPXL,HPXL,GEPL_Trader,IEXL,PowerPulse,APPCPL,IEXL,APPCPL,HPXL,PowerPulse,HPXL,HPXL,NVVNL,NVVNL,APPCPL,HPXL,APPCPL,APPCPL,NVVNL,APPCPL,HPXL,APPCPL,PXIL,NVVNL,APPCPL,IEXL,PowerPulse,SIMHAPURI,PXIL,PXIL,JPL,PUNJAB,HPXL,HPXL,PXIL,NDMC,PXIL,PXIL,BAWANA_GAS,
,,NA,NA,NA,NA,NA,UTTARPRADESH_STATE,MP_State,HIMACHAL_STATE,JK_and_LADAKH_UT,NA,Meghalaya_State,HIMACHAL_STATE,HIMACHAL_STATE,ODISHA_STATE,NA,HIMACHAL_STATE,GEB_State,NA,NA,NA,HIMACHAL_STATE,TAMILNADU_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,NA,TAMILNADU_State,NA,GEB_State,NA,GEB_State,MP_State,NA,NA,NA,KARNATAKA_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,ODISHA_STATE,CSEB_State,NA,DELHI_UT,MSEB_State,NA,ODISHA_STATE,NA,NA,NA,DELHI_UT,
,,TS1PL_BKN,TPSL_BKN2,APSEPL_FTG,JPNIGRIE_JNSTPP,COASTGEN,LAPL_UP,Ultratech_Sidhi_MP,CHANJUII,O2ZTPL,COASTGEN,Meghalaya_Ben,KGEPL_HP,GBHHPL,VSL,JHAJJAR,HP,PCBL_PALEJ,ILFS,SORANG_HEP,APL_Raipur_TPP,GBHHPL,SURYADEV_ALLOYSTN,SIMHAPURI,APL_Raipur_TPP,GBHHPL,SKS_Raigarh,MBMP,DIKCHU,APL_Raipur_TPP,ITCWIND,TRN_ENERGY,DADRT2,JPL2,RIHAND3,JPL,SIMHAPURI,PCBL_MUNDRA,SORANG_HEP,MBMP,MAHAN_ENERGEN,SKS_Raigarh,SURYADEV_ALLOYSTN,RKM_POWER,PCBL_PALEJ,COASTGEN,PCBL_MUNDRA,Ultratech_Sidhi_MP,JPNIGRIE_JNSTPP,SKS_Raigarh,RKM_POWER,PCKL,SKS_Raigarh,JPL2,JPNIGRIE_JNSTPP,TRN_ENERGY,JPL,RKM_POWER,JPNIGRIE_JNSTPP,Kameng,RKM_POWER,HP,APL_Raipur_TPP,SIMHAPURI,FACORPOWER,SKSIPL,JPL2,BAWANA_GAS,GRETAENERGY,JPL,FACORPOWER,JIPL,KWHEP,SINGOLI,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,
,,BRPL,MES_Delhi,TPDDL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,DIAPL,BRPL,TPDDL,BRPL,BRPL,BYPL,TPDDL,TPDDL,TPDDL,BRPL,BRPL,TPDDL,DIAPL,BYPL,NDMC,BYPL,TPDDL,ITCLH,NDMC,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BYPL,NDMC,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,TPDDL,BYPL,NDMC,BYPL,NDMC,NDMC,TPDDL,NDMC,BRPL,NDMC,BRPL,TPDDL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,HARYANA,
,,North-North,North-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,South-East-North,North East-East-North,North-North,North-North,East-North,North-North,North-North,West-North,South-West-North,North-North,West-North,North-North,South-West-North,South-West-North,West-North,North-North,West-North,West-North,East-North,West-North,South-West-North,West-North,North-North,West-North,North-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,South-West-North,East-North,West-North,West-North,North-North,West-North,West-North,East-North,East-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,0,0,0,28.98,7.73,14.14,0,0,67.62,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,193.2,193.2,22.91,14.49,10.63,96.6,30,5.8,0,14.49,29.1,42.02,28.98,30,2800.479999999999

2,00:15-00:30,0,0,0,0,0,28.98,7.73,14.14,0,0,67.62,13.52,1.93,0,204.79,0,4.83,48.3,0,0,0,62.79,45.83,144.9,6.76,48.3,0,88.6,96.6,0.77,14.63,222.18,43.9,33.81,96.6,0,4.83,57.96,0,193.2,0,0,0,0,193.2,0,0,0,47.33,43.9,0,14.63,0,96.6,0,0,37.33,48.3,54.27,0,193.2,193.2,22.91,14.49,10.63,96.6,30,5.8,0,14.49,29.1,42.02,28.98,30,2800.479999999999

