Block,Time,DADRI_RF,DADRI_GF,SINGRAULI,DULHASTI,RAMPUR,KOTESHWR,DHAULIGNGA,AURY_CRF,RIHAND1,CHAMERA2,RIHAND3,RAPPC,UNCHAHAR2,ANTA_LF,ANTA_GF,UNCHAHAR1,TEHRI,BSIUL,AURY_GF,TANAKPUR,ANTA_RF,NJPC,SINGRAULI_HYDRO,AURY_LF,PARBATI3,AURY_RF,URI2,DADRI_CRF,DADRT2,RIHAND2,KOLDAM,NAPP,KISHANGANGA,JHAJJAR,SALAL,FSTPP I & II,KUDGI,UNCHAHAR4,UNCHAHAR3,TALA,URI,CHAMERA1,KHSTPP-II,ANTA_CRF,RAPPB,SASAN,SEWA2,BRBCL,KHSTPP-I,TANDA2,CHAMERA3,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,8.033187,0.000000,0.000000,0.000000,3.960647,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,30.819250,0.000000,299.332432,54.783540,0.000000,19.502940,0.000000,339.136200,2.469994,9.900082,45.29,0.000000,5.797200,0.284063,48.000816,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,19.324022,43.691564,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,3.864800,0.000000,0.000000,0.000000,3.960647,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,30.819250,0.000000,285.995200,54.783540,0.000000,19.502940,0.000000,339.136200,12.349968,12.540261,45.29,0.000000,5.797200,0.284063,48.000816,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,19.324022,43.691564,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,3.864800,0.000000,0.000000,0.000000,11.519294,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,30.819250,0.000000,268.603600,54.783540,0.000000,19.502940,0.000000,339.136200,68.486188,8.796865,45.29,0.000000,5.797200,0.284063,8.533478,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,19.324022,43.691564,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,3.864800,0.000000,0.000000,0.000000,11.519294,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,30.819250,0.000000,255.076800,54.783540,0.000000,19.502940,0.000000,339.136200,68.486188,8.796865,45.29,0.000000,5.797200,0.284063,6.400109,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,16.773095,43.691564,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,3.864800,0.000000,0.000000,0.000000,11.519294,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,11.697590,0.000000,252.178200,54.783540,0.000000,19.502940,0.000000,339.136200,68.486188,8.796865,45.29,0.000000,5.797200,0.284063,6.400109,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,18.224285,37.424887,0.000000,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,3.864800,0.000000,0.000000,0.000000,11.519294,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,9.098126,0.000000,245.414800,54.783540,0.000000,19.502940,0.000000,339.136200,68.486188,8.796865,45.29,0.000000,5.797200,0.284063,6.400109,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,16.370815,37.424887,0.000000,0.000000,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,3.864800,0.000000,0.000000,0.000000,4.331958,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,9.098126,0.000000,231.888000,54.783540,0.000000,19.502940,0.000000,339.136200,12.349968,8.796865,45.29,0.000000,5.797200,0.284063,6.400109,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,13.938585,37.424887,0.000000,0.000000,0.000000,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,3.864800,0.000000,0.000000,0.000000,4.331958,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,9.098126,0.000000,222.226000,54.783540,0.000000,19.502940,0.000000,339.136200,12.349968,8.796865,45.29,0.000000,5.797200,0.284063,6.400109,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,13.986185,37.424887,0.000000,0.000000,0.000000,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,99.277050,15.921867,0.000000,8.574059,0.000000,0.000000,88.890400,0.000000,119.485727,25.380431,7.729600,0.000000,0.000000,3.864800,0.000000,0.000000,0.000000,4.331958,0.000000,0.000000,0.572986,0.000000,0.000000,0.000000,9.098126,0.000000,214.496400,54.783540,0.000000,19.502940,0.000000,339.136200,12.349968,8.796865,45.29,0.000000,5.797200,0.284063,6.400109,0.000000,95.016108,0.000000,0.000000,404.615574,0.000000,13.153288,37.424887,0.000000,0.000000,0.000000,0,0,0,0,0

