Block,Time,KISHANGANGA,RIHAND2,CHAMERA3,JHAJJAR,KOLDAM,NJPC,NLCEXP,TEHRI,VALLURNTECL,AURY_CRF,DADRI_LF,CHAMERA2,TelanganaSTPP,UNCHAHAR4,AURY_GF,KOTESHWR,NAPP,NLCIIST1,NLCTS2EXP,NTPL,RIHAND1,SEWA2,SINGRAULI,UNCHAHAR1,UNCHAHAR3,URI2,DADRI_CRF,DULHASTI,NLCIIST2,RAMPUR,TALA,TANAKPUR,ANTA_RF,AURY_LF,DADRI_RF,CHAMERA1,FSTPP I & II,KGSU3AND4,KHSTPP-II,KUDGI,NNTPP,PARBATI2,RIHAND3,SALAL,SASAN,ANTA_CRF,ANTA_GF,BSIUL,DADRT2,DHAULIGNGA,KGSU1AND2,KHSTPP-I,KKNP,MAPS,RAPPB,RAPPD,RSTPSU1TO6,RSTPSU7,SIMHST2,SINGRAULI_HYDRO,TALST2,UNCHAHAR2,URI,ANTA_LF,DADRI_GF,BRBCL,KKNPPU2,PARBATI3,RAPPC,SIMHST1,TANDA2,AURY_RF
1,00:00-00:15,8.63,124.58,23.33,448.67,2.4,75.04,0,36.11,0,0,0,48.81,0,2.3,0,10.43,25.77,0,0,0,46.5,18.9,150.34,21.64,27.68,38.56,0,59.5,0,2.98,0,0,51.17,0,98.41,28.05,20.8,0,148.3,0,0,18.78,130.79,40.68,340.88,0,0,19.56,688.59,10.95,0,45.53,0,0,0,30,0,0,0,1,0,44.5,49.68,0,0,15,0,23.02,69.07,0,5.7,76.73

2,00:15-00:30,8.63,124.58,23.33,448.67,2.4,75.04,0,36.11,0,0,0,48.81,0,2.3,0,10.43,25.77,0,0,0,46.5,18.9,150.34,21.64,27.68,38.56,0,59.5,0,2.98,0,0,51.17,0,98.41,28.05,20.8,0,148.3,0,0,18.78,130.79,40.68,340.88,0,0,19.56,688.59,10.95,0,45.53,0,0,0,30,0,0,0,1,0,44.5,49.68,0,0,15,0,23.02,69.07,0,5.7,76.73

3,00:30-00:45,8.63,124.58,23.33,448.67,2.4,75.04,0,36.11,0,0,0,48.81,0,2.3,0,10.43,25.77,0,0,0,46.5,18.9,150.34,21.64,27.68,38.56,0,59.5,0,2.98,0,0,51.17,0,98.41,28.05,20.8,0,148.3,0,0,18.78,130.79,40.68,340.88,0,0,19.56,688.59,10.95,0,45.53,0,0,0,30,0,0,0,1,0,44.5,49.68,0,0,15,0,19.64,69.07,0,5.7,76.73

4,00:45-01:00,8.63,124.58,23.33,448.67,0,75.04,0,36.11,0,0,0,48.81,0,2.3,0,10.43,25.77,0,0,0,46.5,18.9,150.34,21.64,27.68,38.56,0,59.5,0,2.98,0,0,51.17,0,98.41,28.05,20.8,0,148.3,0,0,18.78,130.79,41.83,340.88,0,0,19.56,688.59,10.95,0,45.53,0,0,0,30,0,0,0,1,0,44.5,52.36,0,0,15,0,19.64,69.07,0,5.7,76.73

5,01:00-01:15,8.63,124.58,23.33,448.67,0,75.04,0,34.67,0,0,0,32.53,0,2.3,0,10.43,25.77,0,0,0,46.5,18.9,150.34,21.64,27.68,38.56,0,59.5,0,2.98,0,0,51.17,0,98.41,28.05,20.8,0,148.3,0,0,18.78,130.79,79.38,340.88,0,0,19.56,688.59,10.95,0,45.53,0,0,0,30,0,0,0,1,0,44.5,52.36,0,0,15,0,19.64,69.07,0,5.7,76.73

