Block,Time Block,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,CHAMERA3,DADRT2,DHAULIGNGA,DULHASTI,FSTPP I & II,CHAMERA2,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,TALST2,TANDA2,TALA,UNCHAHAR1,TelanganaSTPP,TANAKPUR,TEHRI,ANTA_CRF,ANTA_RF,URI,AURY_LF,ANTA_LF,VALLURNTECL,AURY_GF,UNCHAHAR4,UNCHAHAR3,ANTA_GF,URI2,AURY_CRF,UNCHAHAR2,BRBCL,CHAMERA1,BSIUL,RIHAND2,SASAN,RIHAND1,SINGRAULI_HYDRO,RAMPUR,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPC,RSTPSU7,SINGRAULI,SALAL,SEWA2,RIHAND3,RAPPB,KGSU3AND4,KHSTPP-II,JHAJJAR,KHSTPP-I,KGSU1AND2,NLCEXP,NLCIIST1,NLCTS2EXP,NNTPP,NTPL,PARBATI3,NLCIIST2,MAPS,NJPC,NAPP,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,37.42,0,0,5.18,2.79,31.07,585.56,39.13,52.1,13.85,42.83,0,0,0,0,0,0,0,10.11,17.76,0,12.53,68.64,0,0,47.58,0,0,0,0,0,22.94,0,35.2,0,36.44,16.27,40.82,6.31,117.88,403.14,0,0,3.43,0,0,0,58.33,0,137.31,81.03,11.22,123.58,0,0,95.76,274.39,32.63,0,0,0,0,0,0,17.01,0,0,161.84,43.68,0,0,0,0,0,0

2,00:15-00:30,37.42,0,0,5.18,2.79,31.07,567.54,39.13,52.1,13.85,42.83,0,0,0,0,0,0,0,10.11,17.76,0,12.53,68.64,0,0,47.58,0,0,0,0,0,22.94,0,35.2,0,36.44,15.27,40.82,6.31,117.88,403.14,0,0,3.43,0,0,0,58.33,0,137.31,81.03,5.61,123.58,0,0,95.76,185.28,32.63,0,0,0,0,0,0,17.01,0,0,161.84,43.68,0,0,0,0,0,0

3,00:30-00:45,37.42,0,0,5.18,2.79,31.07,540.42,39.13,52.1,13.85,42.83,0,0,0,0,0,0,0,10.11,17.76,0,12.53,68.64,0,0,42.77,0,0,0,0,0,22.94,0,35.2,0,36.44,13.71,40.82,6.31,117.88,403.14,0,0,3.43,0,0,0,58.33,0,137.31,81.03,5.61,123.58,0,0,95.76,111.47,29.18,0,0,0,0,0,0,3.82,0,0,161.84,43.68,0,0,0,0,0,0

4,00:45-01:00,37.42,0,0,5.18,2.79,31.07,509.43,39.13,52.1,13.85,42.83,0,0,0,0,0,0,0,10.16,17.76,0,12.53,68.64,0,0,42.77,0,0,0,0,0,22.94,0,35.2,0,36.44,12.74,40.82,6.31,117.88,403.14,0,0,3.43,0,0,0,58.33,0,137.31,81.03,5.61,123.58,0,0,95.76,111.47,29.18,0,0,0,0,0,0,3.82,0,0,161.84,43.68,0,0,0,0,0,0

5,01:00-01:15,37.42,0,0,5.18,2.79,31.07,479.41,39.13,52.1,13.85,42.83,0,0,0,0,0,0,0,10.14,15.53,0,12.53,68.64,0,0,42.77,0,0,0,0,0,18.97,0,35.2,0,30.62,11.35,40.82,6.31,117.88,403.14,0,0,3.43,0,0,0,58.33,0,137.31,81.03,5.61,123.58,0,0,84.03,111.47,29.18,0,0,0,0,0,0,3.82,0,0,161.84,43.68,0,0,0,0,0,0

6,01:15-01:30,37.42,0,0,5.18,2.79,31.07,449.38,39.13,52.1,13.85,42.83,0,0,0,0,0,0,0,10.14,15.53,0,12.53,68.64,0,0,42.77,0,0,0,0,0,18.97,0,35.2,0,30.62,10.77,40.82,6.31,117.88,403.14,0,0,3.43,0,0,0,58.33,0,137.31,81.03,5.61,123.58,0,0,84.03,111.47,29.18,0,0,0,0,0,0,17.01,0,0,161.84,43.68,0,0,0,0,0,0

7,01:30-01:45,37.42,0,0,5.18,2.79,31.07,419.36,39.13,52.1,13.85,42.83,0,0,0,0,0,0,0,10.2,15.53,0,12.53,68.64,0,0,47.58,0,0,0,0,0,18.97,0,35.2,0,30.62,13.67,40.82,6.31,117.88,403.14,0,0,3.43,0,0,0,58.33,0,137.31,81.03,0,123.58,0,0,84.03,111.47,29.18,0,0,0,0,0,0,17.01,0,0,161.84,43.68,0,0,0,0,0,0

8,01:45-02:00,37.42,0,0,5.18,2.79,31.07,393.21,39.13,52.1,12.73,42.83,0,0,0,0,0,0,0,10.2,15.53,0,12.53,68.64,0,0,47.58,0,0,0,0,0,18.97,0,35.2,0,30.62,10.66,40.82,6.31,117.88,403.14,0,0,3.43,0,0,0,58.33,0,137.31,81.03,0,123.58,0,0,84.03,111.47,29.18,0,0,0,0,0,0,17.01,0,0,161.84,43.68,0,0,0,0,0,0

